grupo,comentario_p1
MAQUEIRO,"Houve muita demora em relação ao maqueiro. Pelo visto só tinha um, pra atender todos os 6 ou 7 andares. A recepcionista foi muito bem e os porteiros fizeram a parte deles."
ADMINISTRATIVO,"Ficamos esperando em um lugar desconfortável, do começo ao final."
ADMINISTRATIVO,Orientação muito confusa
RECEPÇAO,"Fui internada para fazer uma colonoscopia, e fiquei das 6:00hs da manhã até às 20:00hs sem fazer o procedimento só foi feito porque pedir para ir embora, aí então me atenderam. "
ADMINISTRATIVO,"Ninguém conseguiu indicar pra onde eu iria também não tinha ,tive que me virar sozinha andando pra todos lados até achar e quando alguém indica estava errado o lugar"
ADMINISTRATIVO,"A demora para efetuar minha internação, eu cheguei no hospital setor de internação por volta das 14 hs
Só fui encaminhada pro 3 andar já era mais de 15 hs lembrando que estava de jejum de 8hs"
ADMINISTRATIVO,Ficamos aguardando por horas para liberação do quarto
ADMINISTRATIVO,Cheguei bem antes do meu horário de internação
ADMINISTRATIVO,Não tivemos acesso a apartamento.  E não pude ver as instalações que meu filho ficou
ADMINISTRATIVO,Espera
RECEPÇAO,Sempre o atendimento na recepção e sempre muito estressada parece que estão sempre sobrecarregados
ADMINISTRATIVO,"Demorou mais do que esperado, o bebê estava em jejum"
ADMINISTRATIVO,"Após a cirurgia eu fiquei jogado lá no corredor, porque não tinha vaga na enfermaria, direito meu ter ido para enfermaria, mas por falta de vaga fiquei jogado no corredor, vergonha. "
RECEPÇAO,"Estão. Solicitaram para que chegássemos um certo horário para dá entrada, fizemos dá forma que orientaram, contudo, a cirurgia atrasou bastante, Davi, uma criança autista, ficou extremamente agitado, informei a condição dele, ainda assim, o horário da cirurgia dele estava muito além do horário previamente agendado. "
ADMINISTRATIVO,A demora no atendimento.
ADMINISTRATIVO,Mandaram chegar muito cedo e so fui ser atendida pra fazer ficha mais de 2 horas depois. Fiquei em quarto coletivo e nao em apartamento como eh do meu plano.
ADMINISTRATIVO,"Na verdade ainda não cheguei no hospital. Era para eu estar a caminho da cidade de Belém, porém a incompetência das funcionárias do Hapvida, me impediu de sair esta manhã. Agora terei que ir durante a noite, irei me atrasar para encontrar a moça da autorização, a hospedagem só estará disponível às 14:00. Foi solicitado a minha saída da cidade de Parauapebas, as sete da manhã, porém a moça, talvez possuindo algum problema de memória, não realizou o pedido adequadamente. Agora a preocupação, a ansiedade está me incomodando, pois não tenho certeza se irei conseguir chegar a tempo em Belém para falar com quem devo falar antes da cirurgia. Isso é realmente me deixa insatisfeita, pois confiamos em uma empresa, confiamos em um plano de saúde e é assim que somos tratados."
ADMINISTRATIVO,"Foi solicitada a chegada para internação às 6h da manhã e depois de muitos desencontros e acionar a coordenação médica, a paciente idosa e há quase 48h sem se alimentar foi internada quase meio-dia. 

Depois de internada houve mais demora para iniciar o preparo que começou quase às 14h

Foram muitos desencontros e falhas no atendimento de todos os setores envolvidos. Chegando ao ponto do médico subir para  pegar a paciente.

Após o exame mais espera para liberar a alimentação, retirar o acesso e efetivar  a alta que já estava prescrita pelo médico.

Saímos do hospital mais de 21h"
ADMINISTRATIVO,"Sim, com relação ao leito compartilhado o que deixa o paciente e acompanhante um pouco incomodados. No meu caso tinha outra paciente com uma acompanhante mulher e eu com meu esposo. "
RECEPÇAO,Demora para realizar o cadastro de entrada
ADMINISTRATIVO,Desorganizado
ADMINISTRATIVO,"Uma demora de quase 3 horas esperando e meu Filho chorando com fome, porém ele não podia comer por conta da cirurgia"
ADMINISTRATIVO,Tem que melhorar a ajuda para o aleitamento materno
ADMINISTRATIVO,Porque ainda não consegui fazer acupuntura
RECEPÇAO,"A única coisa que me deixou muito insatisfeita foi com a demora, estava marcada para 11 horas foi feita as 5 da tarde, meu filho passou mal de tanta fome e sede. Fora isso foi tudo ótimo. Mas a demora sem explicação foi o mais revoltante. "
ADMINISTRATIVO,Demorou um pouco
ADMINISTRATIVO,Foi porque meu plano é pra apartamento eles me colocaram em enfermaria eu só não gostei disso
ADMINISTRATIVO,Fique mais de uma hora na recepção e depois que fui liberado só fui atendido depois das 17h
ADMINISTRATIVO,Muita Demora pra ser chamada para ser chamada no centro cirúrgico
ADMINISTRATIVO,"Sim foi muita demora pra atender cheguei lá 9 horas eso fui atendida as13:00 fiquei todo esse tempo e jejum 
Sendo que fiquei de jejum em casa das 20 horas do dia anterior 
Estava com muita fome e só fui atendidaad13:00 porque fui reclamar que estava passando mal por tá muito tempo de jejum"
ADMINISTRATIVO,"Marcou as 5:00 da manhã
Entrei para o bloco às 11:00
Jejum foi muito longo, fome, cede, passando mal. 
Deveria ver essa questão e marcar no horário mesmo 
6 horas de atraso"
RECEPÇAO,"Despreparo dos funcionários na recepção, falta de banheiro. Fiquei ao ponto de desistir da cirurgia pois o lugar me passou insegurança"
ADMINISTRATIVO,Foi preciso entrar pelo P. S. Apoio nenhum
ADMINISTRATIVO,"Chegamos às 3hs antes como foi pedido e ficamos esperando por muito tempo sem nenhuma informação.
Cirurgia deveria ocorrer 11hs. Foi para o centro cirúrgico as 15hs. Operado as 17hs. Chegou no quarto as 19hs. Solicitado para deixar o hospital a meia noite do mesmo dia.
"
ADMINISTRATIVO,"Tinha uma consulta no proctologista, porém não encontrei a clínica e só gastei dinheiro com app ##1f621## sacanagem ..."
ADMINISTRATIVO,Me veio uma moça quando eu havia subido pro terceiro andar se não me engano me informa que meu filho não estava com cirurgia agendada não lembro como ela se apresento falei como não se o hospital me ligou ontem me confirmou tudo correto só vou sair daqui com meu filho operado é uma cirurgia necessária
ADMINISTRATIVO,Cordialidade de todos
ADMINISTRATIVO,A demora no atendimento
ADMINISTRATIVO,"Era pra eu ter ficado em um quarto antes e depois da cirurgia. Mau acompanhante simplesmente não teve notícias minhas das 6 da manhã até quase 22 da noite. A cirurgia terminou, o médico deu alta, o plantão das 19 chegou e só me liberou as 22hs. Ainda perderam meu atestado."
RECEPÇAO,Falta de empatia e organização de colaboradores na recepção
ADMINISTRATIVO,"A rapidez no atendimento
Local muito cheio e tbm não  agravel"
ADMINISTRATIVO,Por que foi tudo em cima da hora e nem explicaram muito as coisas
ADMINISTRATIVO,Tem vez que não tem lugar pra sentar de tão cheio fora a demora pra atender
ADMINISTRATIVO,A espera
ADMINISTRATIVO,"Muita demora na recepção para realizar o internamento, profissionais mal educadas, ambiente desagradável, ar condicionado fazendo barulho. Pior que um hospital do Sus."
RECEPÇAO,"Demora no atendimento na chegada ao guichê,na recepção"
ADMINISTRATIVO,"3. Passei dor ,fome, falta de água"
ADMINISTRATIVO,"E tempo de espera para abertura de ficha 
Tendo em vista que a paciente é totalmente acamada e ficamos na sala aguardado por mais de 30 min a abertura da ficha 
Sem contar que biometria fácil não fazia o reconhecimento"
ADMINISTRATIVO,Excelente
ADMINISTRATIVO,Então cheguei muito cedo com minha acompanhante 1 hora antes do horário marcado da cirurgia porém quando fui internado no quarto demorou muito para nós atender fora que a cirurgia estava marcada para de manhã fui fazer já era quase noite compreendo que nesse dia tinha muitas cirurgias para ser realizadas porém é uma falta de organização do hospital por isso minha insatisfação
ADMINISTRATIVO,"Desculpe, apertei o botão errado, o correto é muito satisfeito, a cirurgia foi um sucesso e fomos maravilhosamente bem recebidos, do começo ao fim!"
ADMINISTRATIVO,Bem atendida
ADMINISTRATIVO,"Achei demorado e sem informação,  me marcaram para chegar lá as 9h em jejum e no entanto so consegui dar entrada depois das 11h mesmo tendo chegado antes das 9h. E so fui operada após as 13h"
RECEPÇAO,"Tenho dificuldade em usar o totem, quanto os porteiros e recepcionistas são muito bons e educados"
ADMINISTRATIVO,"Pq fui mal informada sobre onde esperar, daí eu fui a primeira a chegar, e a última a fazer a cirurgia."
ADMINISTRATIVO,"Falta de organização, ps junto com quem já está  agendado, sempre sem leito, já estava com minha cirurgia agendada, porém tive que ficar internado no centro de recuperação por falta de leitos
"
ADMINISTRATIVO,"Quando eu cheguei no hospital nem as recepcionista e porteiro nem olharam pra minha cara   cheguei com muita dor , mais graças a Deus minha filha estava comigo me dando apoio ."
RECEPÇAO,"O médico já estava esperando no centro cirúrgico e a recepcionista enrolando para me subir, ao subir tive que sair correndo para o centro cirúrgico"
RECEPÇAO,Não sabíamos para onde ir não conhecíamos o hospital e o atendente não nos deu uma direção apenas mandou aguardar
RECEPÇAO,"A equipe da recepção atendeu bem, porém Ocorreu falhas, não me foi entregue o comprovante de internação"
ADMINISTRATIVO,"A acomodação.
Pago plano com apartamento e ficamos na infermaria."
ADMINISTRATIVO,"Bem, minha ficha teve um erro, terminei o procedimento mas fiquei esperando porque errou então achei um pouco insatisfeito com isso, quando fui trocar a roupa fiquei só como pede pra levar acompanhante e não deixa ele com vc pra ajudar vc ."
RECEPÇAO,"Ótimo atendimento, fui bem recebido pela equipe medica"
ADMINISTRATIVO,"Mandaram chegar antes das 06:00 e demoraram muito para chamar , subir para sala de preparação mais de 07:00 ."
ADMINISTRATIVO,"Não consegue ter o atendimento, a central marcou o dia da fisioterapia após a cirurgia, quando cheguei na clínica fui informada que não poderia ser atendida que a marcação tinha sido um erro. Fiquei muito chateada com toda a situação, além que estava com os pontos e sentindo dor, sair de casa me esforçando para poder ter a consulta e fui frustada"
RECEPÇAO,Pessoal da recepção bem grossos. Você chega lá nervosa 6h da manhã para fazer cirurgia e parece que as mulheres da recepção estão trabalhando por obrigação.  Cara fechada e sem educação.
ADMINISTRATIVO,"demora do atendimento até a ida para o quarto.
a nutricionista passou somente 1 vez, e a dieta tive que reclamar por duas vezes que estava errada."
RECEPÇAO,Demora no atendimento da recepção somente 2pessoas pra atender
ADMINISTRATIVO,Poucas informações
RECEPÇAO,Não tive acolhimento de psicólogos e fisioterapeutas então não tem como avaliar e só tenho uma reclamação que é com o recepcionista na hora da minha saída quando fui pedi uma declaração para meu acompanhante e ele foi super rude e ignorante fora isso eu dou sim para os outros
RECEPÇAO,"As recepcionista de cara feia, dá um bom dia, quase não responde"
ADMINISTRATIVO,"Minha insatisfação não é com os profissionais em específico, pois foram todos muito gentis. O problema é que me foi dito por mensagem e me foi entregue uma folha no hospital pedindo pra chegar 3 horas antes da cirurgia, que aconteceria às 6h. Cheguei de madrugada e apoia minha chegada falaram que eu só poderia entrar no hospital depois das 6h. Tive que ficar na recepção esperando autorizarem a minha entrada. Por que me pedir pra chegar 3h da manhã se bem entrar no hospital eu poderia?"
RECEPÇAO,"Me informaram para chegar no hospital as 11h, dei entrada com a recepcionista que solicitou que eu aguardasse e somente as 13h quando fui perguntar se teria algum retorno sobre a minha cirurgia, fui informado que na verdade a minha cirurgia estava agendada para as 15h, ou seja, eu poderia ter sido avisado antes"
ADMINISTRATIVO,"Cheguei antes das 3 horas previstas, e mesmo assim, só me atenderam 3 horas dps, fiquei 3 horas esperando na recepção para ser atendida e me levarem para o quarto. Só subi pro quarto dps do horário previsto da cirurgia o que fez atrasar tudo"
RECEPÇAO,Demora na recepção
ADMINISTRATIVO,"Cirurgia agendada para às 13h, só fez a cirurgia às 18h, fiquei 5 horas sentado em uma cadeira de rodas desconfortável, com dores de cabeça, pois estava de jejum desde o dia anterior."
ADMINISTRATIVO,"OK. ""Tenho só a reclamar com esse plano horrível 
Não responder a gente 
Preciso do meu exame que não me deram"""
ADMINISTRATIVO,"Não acharam vaga no quarto pra mim então não tenho como havaliar melhoro serviço de enxoval,as enfermeiras disse que não poderiam me dá nada pra comer em quanto eu não fosse pra o quarto então não posso havaliar também, eu acredito é que Teresa de Lisie é um hospital grande que tem condições financeiras mas precisa de uma equipe interna mas organizada falta equipe organizacional mas treinada ,equipamentos modernos e um leitos menos lotados.( hoje tenho medo de fazer outra cirurgia lá e passar pelas mesma coisas ou pior)"
ADMINISTRATIVO,Demorou pra subir pra cirurgia
ADMINISTRATIVO,Não aparece minha biometria e tenho que passar pela recepção.
RECEPÇAO,"Descaso no atendimento da recepção.Aguardei mais que o tempo informado de espera e quando ultrapassou o horário ainda tive que ficar perguntando ,só assim me chamou para fazer a ficha ,sendo que poderia ter feito no momento que cheguei pois eu  era a única esperando.Mas aguardou ultrapassar o horário depois da 5hs e mesmo assim não chamou e continuava sendo a única esperando ,só fez quando fui reclamar e já era quase 6hs."
ADMINISTRATIVO,"No geral estou satisfeito com o plano Hapvida, mas se vc precisar de algum apoio de funcionários dos hospitais aí deixa um pouco a desejar."
RECEPÇAO,MTA espera pra vir um recepcionista atender
ADMINISTRATIVO,"Cheguei para operar não tinha leito, tive de ficar praticamente os 2 dias no repouso da cirurgia lotado sem acesso a visitas"
ADMINISTRATIVO,Demora pra subir pro internamento
RECEPÇAO,"Quando eu fui fala com uma recepcionista, não gostei do tratamento dela com a minha pessoa. Gostaria que as recepcionistas fossem mais atenciosas e simpática com o melhor atendimento possível para os pacientes."
ADMINISTRATIVO,"Hospital muito pequeno, não suporta a capacidade de pessoas que tem o plano de saúde, superlotação, tanto eu quanto a minha filha passamos por cirurgia no guarás e foi terrível, bloco cirurgico super lotado, atrasamos horassss a cirurgia marcada, e depois de operada ainda tivemos que ficar esperando desocupar um leite pra ser transferida pra a enfermaria ##1f926-1f3fd-200d-2640-fe0f####1f926-1f3fd-200d-2640-fe0f## sinceramente muito ruim o serviço aqui"
MAQUEIRO,"Tive um aborrecimento com a demora do maqueiro no dia da minha alta,fora isso na a reclamar."
PORTEIRO,Não me recordo de ter um porteiro no momento da minha chegada.
RECEPÇAO,QUASE PERDI O HORÁRIOP DA CIRURGIA PÓR FALTA DE COMUNICAÇÃO DA RECEPCIONISTA
ADMINISTRATIVO,"""internação é muito cedo para quem Mora longe 
E uma atendente só para quem está em jejum que chega no horário marcado que é 6 horas da manhã"""
ADMINISTRATIVO,"""Depois da cirurgia não fui medicada após cirurgia para dor , como foi cirurgia ortopédica tive muita dor 
Só fui medicada após reclamar 
A preocupação foi com a saída que estava programada para a tarde"""
ADMINISTRATIVO,"Muita demora até subir para o quarto, mais de 5 horas esperando na recepção"
ADMINISTRATIVO,Eu cheguei as 4 da manhã e fiquei muito tempo esperando.
ADMINISTRATIVO,Fui bem atendido
ADMINISTRATIVO,Muita demora
ADMINISTRATIVO,"Depois que tiraram as senhas ninguém te atende, tem que ficar pedindo licença pra atendente pra poder ser atendido, as 3 horas de antecedência são gastas logo na chegada"
ADMINISTRATIVO,Muita demora pra localizar o que é necessário ser feito
ADMINISTRATIVO,"Nós viemos de fora aguardamos a última pessoa ser atendida Quando chegou nossa vez tivemos que aguardar mais 30minutos para sermos atendidos, alegando que estava cedo sendo que falarmos para nós  chegarmos 3horas antes para fazer o procedimento."
ADMINISTRATIVO,"A estrutura foi improvisada, muitas reclamações em relação a organização dos leitos. Demora para descer da cirurgia por falta de leito"
ADMINISTRATIVO,Bom atendimento
ADMINISTRATIVO,Pessoal muito educados
ADMINISTRATIVO,"A insatisfação não se deu por conta da equipe de enfermagem, eles foram ótimos. E sim pela a superlotação só hospital. Temos direito a apartamento e neste dia, não havia vaga, meu filho realizou a cirurgia e a noite tivemos que sair do hospital. Além de que, somos do interior do estado. Por isso não sentimos o acolhimento."
ADMINISTRATIVO,"me deixaram esperando muito tempo em um box, pós o banho"
ADMINISTRATIVO,"Fui informado que deveria me internar as 4 horas da manhã, fui para o quarto já eram mais de 9 da manhã"
ADMINISTRATIVO,Muito bem atendido
ADMINISTRATIVO,Muita demora para todo o processo de intervenção e pré-operatório
ADMINISTRATIVO,Fila de espera enorme
ADMINISTRATIVO,"Ao chegar na recepção era bem na troca de turno, uma das meninas disse pra eu aguardar que iriam me chamar e não me chamaram, tive que ir novamente falar com a outra moça no novo turno.
Quando subi no quarto, iam me colocar num leito com as roupa de cama toda rasgada, mas a infermeira viu e graças ao cuidado dela ela me colocou em outro leite em condições melhores, quando me levaram para o centro cirúrgico e me deixaram aguardando me colocaram num lugar escondido e ninguém conseguia me achar tive que gritar para me encontrarem estavam ligando para alguém porque nem estavam me localizando, a pessoa falou comigo confirmou e depois não sabia que eu estava lá, sinceramente não me senti tratada com humanidade e sim parecia uma linha de produção. A equipe que fez a cirurgia super atenciosos quanto a isso não tenho o que falar foram maravilhosos. Minha cirurgia era por volta das 16:30, às 17h eu já tinha terminado a cirurgia e me levaram pra o quarto somente por volta das 21h e eu estava há horas sem comer e me deram uma bisnaguinha com geleia e chá eu chorei muito porque achei um descaso. A alta foi pessima estava prevista pra sair por volta das 7:30 e fui sair se não me engano às 13:00 fiquei no pé pedindo para o médico só ir lá e falar está liberada enfim..."
ADMINISTRATIVO,"como disse, não foi providenciada acomodação"
ADMINISTRATIVO,Informações confusa
ADMINISTRATIVO,Muito bem recebido
ADMINISTRATIVO,"A demora no atendimento,  demora pra subir pra cirurgia e a demora maior foi pra sala de cirurgia.   Minha cirurgia estava marcada pra 19 horas , fiquei num quartinho imundo , esperando ser chamado.  Mim chamaram 3 da manha .mais de 12 horas em jejum. Péssimo atendimento.  Hospital horrível."
ADMINISTRATIVO,Custou muito eu subir para o quarto
RECEPÇAO,Só a demora pra ser atendido
ADMINISTRATIVO,Primeiro porque cirurgia ocorre tive que acionar a ANS.
ADMINISTRATIVO,Demora
ADMINISTRATIVO,Não tenho nada o que reclamar foi tudo perfeito!
ADMINISTRATIVO,"Desorganizado, quantidade de pessoas excedente ao tamanho do espaço. Depois de horas esperando consegui ser atendida pelo acolhimento a responsável falou que ia resolver mas não resolveu nada péssimo trabalho do acolhimento."
ADMINISTRATIVO,Bom atendimento
ADMINISTRATIVO,Foi ótima
ADMINISTRATIVO,Não souberam me orientar
ADMINISTRATIVO,"Não fiz fisioterapia pelo convênio só tem uma clínica que atende toda região de Sorocaba, o atendimento da clínica péssimo demora 2 dias para retorno pelo whatsapp, agenda muito distante"
ADMINISTRATIVO,Atraso geral
ADMINISTRATIVO,"Equipe muito atenciosa, tirando dúvidas sempre que necessário"
ADMINISTRATIVO,Foi  bom última consulta foi no santa Maria foi um pouco trastono
ADMINISTRATIVO,"Fomos para o exame as 16:00h ficamos na espera até 17:30h quando entramos para fazer o exame de colonoscopia, fizeram a biopsia, mas até hoje dia 15/09/2025, não saiu o resultado da mesma, entro no site faço uma pesquisa, mas não tem a solicitação do exame de biopsia na parte de resultado de exames, só vejo na parte de protocolo mas nunca saí o resultado, quero saber o que aconteceu?"
ADMINISTRATIVO,"Não foi durante a chegada e sim na resolução do problema... Era gestante de alto risco. Fiz o plano em fevereiro e, só consegui um atendimento com a ginecologista de alto risco em maio. Não tive pré-natal. Todas as minhas queixas eram sanadas na emergência... Fui para a emergência com 37 semanas e tive que interromper a minha gestação, pois meu bebê estava sem oxigenação... Tive o diagnóstico do médico que fez a ultrassom as 15h. E ele foi muito bem claro que teria que ser operada o quanto antes... A ginecologista do plantão fez pouco caso. Assim como o pessoal da coordenação. O plano negou a cirurgia e demorou cerca de *cinco horas para liberar a guia para pagamento*... Um absurdo total. Eu poderia ter perdido meu filho naquele momento... Ainda tive que esperar até às 23:48h para que a cesária fosse realizada... No meio do procedimento, a máquina de oxigenação parou.... Meu bebê ficou numa banheira improvisada. Totalmente diferente do bebê que estava dividindo o quarto conosco. Não me medicaram corretamente. A vacina Versa, tomei na saída da maternidade porque questionei a prescrição dela na minha receita de alta. Ou seja, esqueceram de aplicá-la quando eu estava internada."
RECEPÇAO,"O atendimento na recepção não foi bom , a demorar para atender foi muito grande , não tive um lugar para descansar em paz"
ADMINISTRATIVO,Pois o meu plano é de apartamento e após a cirurgia fiquei mas de 40 minutos no corredor na marca e não me levaram pro apartamento
ADMINISTRATIVO,"Não fui transferida para o quarto, meu acompanhante e eu ficamos na enfermaria até a minha alta, perguntamos várias vezes quando seria a minha transferência e eles sempre falavam que não tinha vaga, meu acompanhante teve que dormir em uma cadeira quebrada, que nem se quer dava pra deitar. 
Fiz uma cirurgia complexa, estava exausta, com sono e não dava pra dormir pois era muito barulho de conversa de outros pacientes e enfermeiros também, luz acesa o tempo todo. Foi muito desagradável."""
ADMINISTRATIVO,Não na chegada mas sim  a burocracia na nação da  cirurgia muito  demorado
RECEPÇAO,Havia uma recepcionista ao lado do totem que de pronto nos atendeu e nos orientou
ADMINISTRATIVO,"Bom dia,demorou muito pra ser atendida,pediram pra está lá 7 horas e fui atendidomaisde 9 horas e infelizmente não conseguifazera minha histerocospia,  as meninas muito atenciosas,acho que precisar organização"
ADMINISTRATIVO,"Um pouco de falta de sinalização 
Fica um pouco perdido aonde ir 
A senha nem sempre é pelo totem"
RECEPÇAO,Atendimento foi demorado na recepção não tinha maqueiro na entrada
ADMINISTRATIVO,Não tinha informação correta do local pra dar entrada na papelada e não tinha atendente no momento
ADMINISTRATIVO,Pouca clínicas pra atendimento
MAQUEIRO,"Não tinha maqueiro na hora que eu cheguei nem na hora da alta, quem me levou na cadeira de rodas foi o meu pai, um idosa que também estava operado com 9 pontos nas costas"
ADMINISTRATIVO,Pouca informação na chegada!
ADMINISTRATIVO,"A chegada ao hospital é atendimento dos profissionais foram satisfeito, a insatisfação foi a falta de leito na enfermeira,pois a entrada do paciente ao bloco cirúrgico até a sua saída  o acompanhante permaneceu durante 5h ou mais sem local apropriada ou seja, na havia lugar na enfermaria para a espera do acompanhante a chegada do paciente"
ADMINISTRATIVO,Demora em tudo.
ADMINISTRATIVO,"A insatisfação mesmo foi com a demora dos uros em reconhecer a complexidade do meu drama dizendo que minha disfunção sexual era ""apenas"" psicológico e mandando eu trocar de terapeuta, mesmo eu dizendo que cheguei aos 40 anos de idade virgem e já tendo passado por diversos psicólogos e psiquiatras, meu problema sexual desencadeou uma depressão severa, só fui ouvido quando relatei a psiquiatra, tbm do hapvida, que faria uma besteira com minha vida"
RECEPÇAO,"A recepcao que é de dar entrada de internacao nao tinha funcionario, dai tive que dar entrada na recepçao de pronto atendimento, pedem pra chegarmos antes da hora marcada pelo medico, mas só somos chamados depois do horario"
ADMINISTRATIVO,"""Falta de leitos no pós operatório. 
Fui alocado para um leito improvisado e depois para um leito coletivo, quanto o na verdade o meu plano é para apartamento individual."""
TOTEM,o totem não estava funcionando
ADMINISTRATIVO,Minha insatisfação foi no pós cirúrgico
ADMINISTRATIVO,"A espera longa para o quarto, não ter informação do horário certo para cirurgia"
ADMINISTRATIVO,"Com minha chegada nenhuma insatisfação, mas sim o pós- internamento!! Não foi cumprido o objetivo da internação. Não tinha estoque do medicamento disponível no hospital para meu preparo, não foi prescrito nada para o principal objetivo de meu internamento (exame) como medicação para enjoos. Somente após eu tomar tardiamente o 1o preparo e já ter vomitado toda a medicação começaram a medicar, mas não fez mais efeito, porque já havia em meu histórico, que não podia ser nada fraco e já não tinha surtido efeito e, com isso, a cada 2 horas mesmo sem nenhum motivo ficaram injetando medicação na veia que, naquele momento não adiantava para nada, mesmo no dia do exame que, como disse, já havia vomitado o preparo não sendo possível pela 3a vez fazer o exame. Voltei para casa totalmente insatisfeita, sem fazer o exame corretamente e mais uma vez só me fizeram sofrer fisicamente. Frustação completa."
RECEPÇAO,"Quando cheguei ao hospital com a minha mãe para a internação, o atendimento das recepcionistas deixou muito a desejar. Desde o início, tivemos a sensação de que não éramos notados: elas não olharam para nós e não prestaram atenção até que nós mesmos chamássemos, para então recebermos informações sobre a internação.

Durante todo o processo, agiram como se não houvesse ninguém na frente delas, não forneciam orientações adequadas e, além disso, utilizavam palavrões na recepção ? o que considero totalmente inadequado para o ambiente.

Em outro momento, a médica interfonou pedindo para que eu subisse até ela para conversar sobre a cirurgia da minha mãe. A recepcionista apenas perguntou se a acompanhante da paciente ?Kátia Vanessa? estava presente. Respondi que sim, e a atendente simplesmente desligou o telefone sem dar mais nenhuma informação. Precisei questionar o motivo para então ser informada, de forma breve, que era para eu subir para conversar com a médica.

A impressão que tivemos é que a nossa presença era um incômodo para elas, e isso foi muito desconfortável em um momento tão delicado.

Em contrapartida, gostaria de registrar que tanto o porteiro quanto os maqueiros foram extremamente educados, prestativos e gentis, o que fez bastante diferença no acolhimento."
ADMINISTRATIVO,Ainda está constando que estou internado
RECEPÇAO,A recepcionista não foi muito simpática
ADMINISTRATIVO,"""Quando sair da sala de cirurgia , Fiquei mais de 4 horas na sala de espera pq não tinha quarto para eu ir . Então fiquei nesse período sem me alimentar e sem beber água . 
Só subir para o quarto quando falei que ia levantar e ir embora ou chamar a televisão , se não tinha ficado mais tempo . Pq a equipe de enfermagem e enfermeira falava que não tinha quarto vazio para eu ir ."""
ADMINISTRATIVO,"Muita demora , falaram pra chegar no hospital às 9:30 , que a dirigia ia ocorrer às 10h .
A paciente teia que ficar desjejum de 12h. Assim foi seguido pelo paciente .

Chegamos na recepção às 9h , só foi levado da recepção à recepção da sala de cirurgia às 13h. Uma pessoas de 82 anos , sem se alimentar , nem água podia tomar , pra tanta demorara para fazer a cirugia .
Portanto eu como filha da paciente que já é debilitada e toma dezenas de medicamento , me deixou muito insatisfeita"
ADMINISTRATIVO,Tempo de espera pra internação muito longo
ADMINISTRATIVO,Demora muito atendimento
ADMINISTRATIVO,Demora no atendimento
RECEPÇAO,"Me pediram para chegar muito cedo e só me levaram pra sala de internação horas depois, e depois de eu pedir bastante, já que estava acompanhada de uma filha Autista que não pode ficar aguardando tanto tempo, Cheguei as 10h e entrei já era umas 17h ou mais."
TOTEM,"Totem não é eficaz, se eu estiver precisando de socorro imediato, até eu conseguir liberar o totem já tive um infarto, exemplo!"
ADMINISTRATIVO,Fiquei no perssimo lugar
