elogio_ou_queixa.2,grupo.2,motivo.2,p3,comentario_p3
QUEIXA,ENFERMAGEM,QUALIDADE,2.0,"Equipe atrapalhada, falta comunicação eficiente. Todo dia estava errado o horário dos remédios contínuos que eu havia levado de casa. E teve dias em que quase davam no horário errado. Por sorte eu estava lá."
ELOGIO/QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"Havia umas enfermeiras,educadas e gentil ,já no outro turno mal educadas e grosseira"
QUEIXA,ENFERMAGEM,ACOLHIMENTO,3.0,"Me deixaram passar muito frio
Apenas a enfermeira do centro cirúrgico que  percebeu que eu estava com muito frio e me trouxe um cobertor"
QUEIXA,ENFERMAGEM,CAPACIDADE TECNICA,1.0,Achei elas desparadas
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"Não pude acompanhar o atendimento da equipe ,pois meu filho não saiu do centro cirúrgico e eu não pude acompanha-lo"
QUEIXA,ENFERMAGEM,QUALIDADE,1.0,"Primeiro que vc não sabe quem é quem , as enfermeiras não tem nenhuma identificação qualquer pessoa se vestir o uniforme azul passa por enfermeira, a demora na medicação o mal atendimento , elas parece que estão perdidas eu mesmo fiquei até preocupada em meu filho tomar medicação errada porque elas vem com o medicamento sem nenhuma identificação do paciente nem o nome elas só vão levar a medicação pelo número do quarto que o paciente está!"
QUEIXA,ENFERMAGEM,ACOLHIMENTO,3.0,
QUEIXA,ENFERMAGEM,QUALIDADE,,
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,Apesar de muito acolhedores e empáticos  estavam sobrecarregados e os processos são burocráticas impactando na qualidade e agilidade do atendimento
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"Na noite pós cirúrgico, passei maus  buscados, a sonda vesical de demora ficou obstruída. Passeu a noite com a sensação de bexiga cheia e um pouco de dor, falei com a enfermeira na qual falou que era normal. No dia seguinte informei para o técnico foi qndo percebeu que tava obstruída e não estava eliminando a urina. Qndo o técnico desobstruiu parecia um torneira horta do água.  Poderia ter acontecido algo grave."
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"Falta de informação à acompanhante na sala de espera, além do desconforto nesta. Fui despertado da anestesia com muito barulho. Fiquei bastante assustado e desorientado."
ELOGIO,ENFERMAGEM,QUALIDADE,,"Gostei sim do atendimento, uma ou outra atendente e enfermeira não muito atenciosa, mas foi tudo muito bom. "
QUEIXA,ENFERMAGEM,CONDUTA,3.0,"No momento que estava na sala do pós na SRPA, a equipe foi muito grosseira e forma de passar de uma cama para maca sem humanização porque relatei que estava com dor e falaram que precisava aguardar que passa, a equipe do internamento muito boa sem reclamações"
QUEIXA,ENFERMAGEM,CAPACIDADE TECNICA,1.0,As enfermeiras que trocaram minha medicação. 
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"a capacidade técnica não transpassa a confiança esperada de um espaço de cirurgia,acesso de desconhecidos,informação não tao esclarecedoras quanto ao sucesso ou insucesso da  cirurgia,e acima de tudo ,ao meu ver, não se passa noção de profissionalismo apenas que se é feito ""de qualquer jeito"". Ao menos uma pessoa externa tem essa impressao"
QUEIXA,ENFERMAGEM,TEMPO DE ESPERA,,"A chegada foi bem,o problema foi a gde espera p o uso de medicamentos p aliviar as dores."
ELOGIO/QUEIXA,ENFERMAGEM,QUALIDADE,5.0,"Estou muito Satisfeita com o Atendimento da Enfermagem e insatisfação com a Diretoria e a Gerência bem como a Coordenadora e todos se sentem Deuses e não se tem Respeito e Consideração para com os Pacientes e nos tratam como Lixo. As (Os) Técnicos de Enfermagem do 4 andar são dedicados e superior aos atendimentos, contrário de quem deveria fazer e não o faz ."
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"Não são todos,mas parecem que alguns vão trabalhar insatisfeito e descontando nós pacientes ué estão pagando para serem atendidos"
ELOGIO/QUEIXA,ENFERMAGEM,QUALIDADE,,
QUEIXA,ENFERMAGEM,TEMPO DE ESPERA,,
ELOGIO,ENFERMAGEM,ACOLHIMENTO,5.0,"A equipe de enfermagem em especial, no dia que estivemos ai para cirurgia, foi excepcional, minha filha é autista. Elas nos trataram muito bem."
QUEIXA,ENFERMAGEM,TEMPO DE ESPERA,3.0,"Apenas com a equipe de enfermagem depois da cirurgia 
Demora no atendimento também"
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,Nem sempre faz o seu trabalho correto presiza ter  mais humildade
QUEIXA,ENFERMAGEM,FALTA DE INFORMAÇÃO,2.0,"Era pra eu ter ficado em um quarto antes e depois da cirurgia. Mau acompanhante simplesmente não teve notícias minhas das 6 da manhã até quase 22 da noite. A cirurgia terminou, o médico deu alta, o plantão das 19 chegou e só me liberou as 22hs. Ainda perderam meu atestado."
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"Profissional médio ,em cumplicidade ao paciente não comigo mas para as pessoas que estavam internada no setor onde estiver,observei que o paciente e prioridade não um telefone e uma conversa paralela com o outro colega no horário de serviço"
QUEIXA,ENFERMAGEM,QUALIDADE,1.0,Pós cirurgia uma das enfermeiras fez uma medicação errada passei muito mau a sorte que quando comecei a passar mau meu marido chamou um enfermeiro ele veio e olho e viu que não poderia ser aplicado da forma que ela fez tirou a medicação fora o mau humor dela sem responde uma pergunta que fiz a ela uma equipe quando para centro cirúrgico fiquem em uma sala esperando para ir para sala fazer cirurgia os enfermeiros do setor com bagunça gritaria falando alto palavrão bem desagradável infelizmente  foi ruim
QUEIXA,ENFERMAGEM,TEMPO DE ESPERA,3.0,"Demora na administração dos medicamentos, problemas com aparelhos, falta de tomada para ligação dos equipamentos utilizados por eles"
QUEIXA,ENFERMAGEM,FALTA DE INFORMAÇÃO,2.0,Demoro muito pra da informação sobre o paciente
QUEIXA,ENFERMAGEM,CONDUTA,1.0,"Equipe de enfermagem da sala de recuperação, e do 40 andar totalmente arrogante com o paciente recém operado. Não orientam, reclamam. Eu não admito tal comportamento em ambiente hospitalar."
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,Não gostei fui mal atendida depois da cirurgia
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"Período noturno ótima.
Diurno, deveria ser mais prestativa, quanto a banho, troca de fralda e limpeza"
ELOGIO/QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"Me acordavam de uma em uma hora após sair do CTI pra pegar a digital
Imagine o paciente com desconforto após uma cirurgia de quadril,quando consegue dormir ser acordado
O CTI parece uma feira livre, os profissionais não tem nenhum respeito pelo paciente eles gritam falam alto conversam alto o tempo todo
Quanto ao cuidado ao tratamento do paciente sai impecáveis, fui super bem atendida"
QUEIXA,ENFERMAGEM,QUALIDADE,1.0,"Não teve nenhuma tipo de atenção ,invezados o todo todo."
QUEIXA,ENFERMAGEM,FALTA DE INFORMAÇÃO,2.0,Falta de direcionamento do pós cirúrgico ( cuidados a tomar) fiquei sem informações
QUEIXA,ENFERMAGEM,QUALIDADE,1.0,"Eu odiei São pessoas brutas e ignorante,  gostaria de saber pq escolher essa profissão se não tem paciência de cuida dos outros .
Depois da minha Cesariana me levantei para ir ao banheiro com o apoio da minha filha , nem.a equipe de Enfermagem não me deram apoio para ir ao banheiro não. Odiei os plantão de Enfermagem."
QUEIXA,ENFERMAGEM,QUALIDADE,1.0,"As enfermeiras da noite eram terríveis, estava morrendo de dor e elas dizendo que só tinha dipirona e se eu tomasse agora não podia tomar depois, perguntei se não podiam acionar o plantonista para passar algo mais forte, mas não fizeram, ou seja, passei a noite com dor e com uma dipirona, na verdade todos na enfermaria estavam desse jeito e elas ignorando"
QUEIXA,ENFERMAGEM,QUALIDADE,1.0,"Várias coisas, várias falhas, falta de humanidade, e em muitos casos falta de profissionalismo"
ELOGIO,ENFERMAGEM,QUALIDADE,1.0,Equipe totalmente profissional e atenciosos amei o tratamento que todos me derem
ELOGIO/QUEIXA,ENFERMAGEM,QUALIDADE,3.0,Enfermeiros e médicos muito acolhedores antes da cirurgia porém depois deixou a desejar não tive uma resposta da mudança da minha cirurgia e nem uma visita no pós
QUEIXA,ENFERMAGEM,TEMPO DE ESPERA,3.0,"A equipe era boa, porém poucos profissionais o que levou a demora em responder ao chamado quando era necessário, levando a sofrimento desnecessário da paciente"
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,Teve enfermeira muito ruim
QUEIXA,ENFERMAGEM,ACOLHIMENTO,3.0,"Antes da cirurgia fui para o banho e a enfermeira foi uito rapida me apressando fazendo com que eu ficasse nervosa pois nao consegui me secar direito e foi o dia mais frio do ano, a enfermeira me apressou para eu ficar mais de 15 minutos para ser chamada no C.C."
QUEIXA,ENFERMAGEM,CONDUTA,3.0,"Teve técnica muito arrogante e não só foi comigo,era com todos"
QUEIXA,ENFERMAGEM,QUALIDADE,2.0,Demanda de paciente maior que o número de funcionários
QUEIXA,ENFERMAGEM,CONDUTA,3.0,"Pessoal da enfermagem, não respeitou o meu momento de descanso, pedi para não ser incomodada, acordada quando eu estivesse dormindo e mesmo assim , a enfermagem ao fazer a visita na madrugada, me acordou sem ao menos falar diretamente comigo, uma técnica ou enfermeira estava procurando a minha mão pelos lençóis para fazer a coleta da biometria, desrespeitando a minha privacidade e atrapalhando meu sono. Entravam no quarto o tempo todo para fazer a coleta de biometria, sem explicar qual serviço seria feito, ficando o serviço de fato para depois. A coleta de biometria deveria ser feita somente após a execução do serviço e não antes."
ELOGIO/QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"A enfermeira no pré-operatório mal falou comigo. Muito seca. No centro cirúrgico, enquanto aguardava a cirurgia, nem se aproximavam da minha maca e nem iam falar nada. A cirurgia atrasou por conta de um procedimento anterior ao meu e nem me informaram nada. A gente vai pra uma situação dessas nervosa e não há  nenhum acolhimento de fato. Acho q por isso, algumas pessoas chegam a aumentar a pressão arterial, por conta de se sentir totalmente sozinhos nesse momento. Após a cirurgia, foi tudo bem. O enfermeiro do pós-cirúrgico (observação) e os demais que me acompanharam até sair do hospital foram ótimos.  A capacidade técnica foi ótima tbm!"
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,Tive problema com a separação do material usando ( no caso a âncora e o fio de kishiner) que estava na medida errada da solicitada pelo médico.
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"Bons profissionais, mas com muita demanda, as visitas não eram frequentes."
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,Fui furado 3 vezes em poucas horas perderam o acesso
QUEIXA,ENFERMAGEM,QUALIDADE,2.0,"Erraram atestado, erraram receitas dos remédios, aplicaram um medicamento depois falaram q foi outro."
QUEIXA,ENFERMAGEM,QUALIDADE,2.0,"Meu filho teve um sangramento pelo nariz muito grande e vômitos com coágulos as enfermeiras demoram mais de uma hora para aparecer no quarto, mesmo sendo acionadas. E na saída eu tive que pegar uma cadeira pq meu filho teve uma queda de pressão e a enfermeira nem foi no quarto disse que era normal."
QUEIXA,ENFERMAGEM,QUALIDADE,,
QUEIXA,ENFERMAGEM,COLETA BIOMETRICA,3.0,"A equipe de enfermagem durante a madrugada precisava entrar no meu quarto de hora em hora para passar minha digital no sistema, não consegui descansar depois da cirurgia."
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"Alguns bons outros não, erra na medicação, falta de atenção na transfusão de sangue"
QUEIXA,ENFERMAGEM,TEMPO DE ESPERA,3.0,Muita demora pra atender minhas necessidades
QUEIXA,ENFERMAGEM,QUALIDADE,1.0,Não tive
QUEIXA,ENFERMAGEM,ACOLHIMENTO,3.0,"Praticamente me expulsaram do quarto, eu ainda n estava bem, é tanto q passei mal o caminho todo voltando pra casa"
QUEIXA,ENFERMAGEM,QUALIDADE,2.0,"Não sabiam qual cirurgia eu fiz , eu relatei que estava com muita dor de cabeça pois a cirurgia disseram que era por que eu estava muito tempo com fome  que eu tinha que aguarda e para o quarto . ( Nem para o quarto eu Fui)"
QUEIXA,ENFERMAGEM,CAPACIDADE TECNICA,3.0,"Eu tenho hipertensão e em momento algum me deram remédio pra baixar a minha pressão mesmo sendo relatado que estava alto, falei no prontuário antes de fazer a cirurgia e também durante o tempo que estava no hospital falei várias vezes que tenho pressão alta e que não tem tinha tomado nem um remédio,mas mesmo assim não me derem remédio algum, sempre vinham ferir a pressão mesmo ela tano alta não me deram o remédio. Só vim a tomar o remédio quando eu cheguei em casa"
QUEIXA,ENFERMAGEM,ACOLHIMENTO,2.0,Tinha que ficar indo atrás deles direto
QUEIXA,ENFERMAGEM,FALTA DE INFORMAÇÃO,3.0,desinformação com o que vai ser realizado
QUEIXA,ENFERMAGEM,QUALIDADE,1.0,"Falta de funcionários, demora para atender os pacientes e para dar medicamentos"
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"Conversam muito entre eles enquanto os pacientes ficam esperando, falta também pró atividade."
ELOGIO/QUEIXA,ENFERMAGEM,QUALIDADE,4.0,"Ao ir para o quarto, havia faltado 2 pessoas da enfermagem, então... Os que estavam presentes não conseguiram ,da o suporte necessário para os pacientes,como eu que havia passado por uma cirurgia de médio porte.porém a enfermeira de plantão deu o seu melhor."
QUEIXA,ENFERMAGEM,ACOLHIMENTO,3.0,"A primeira enfermeira que me recepcionou me mandou tomar banho e sumiu , mas não tinha água quente e ficamos esperando pra falar ,mas já tinha passado muito tempo então ela não resolveu a questão e ficou por isso mesmo porque já estava na hora da cirurgia .A segunda que veio com perguntas e os papéis e instruções foi ríspida.A terceira que me recepcionou para a sala de cirurgia já foi muito empática e cuidadosa."
QUEIXA,ENFERMAGEM,CAPACIDADE TECNICA,3.0,"Só a má vontade de trabalhar das enfermeiras, muito grossas e estupidas. Principalmente a que me atendeu assim que eu saí da cirurgia…. Péssima! Mas no dia não estava em condições de ir fazer reclamação. Só as enfermeiras que foram pessimas, não tinha um pingo de jeito pra fazer um acesso."
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"Poderia relatar uma lista enorme de problemas com o plano de saúde de vc aqui no Maranhão, mas seria uma lista enorme, tanto que aqui em casa nós somos 4 planos da Hapvida, que já estou fazendo orçamento pra trocar, pq tá horrível o atendimento aqui"
QUEIXA,ENFERMAGEM,QUALIDADE,1.0,"A equipe em si não parecia ter problemas com a aplicação das técnicas da enfermagem, contudo, estava extremamente sobrecarregaras ao ponto de não conseguirem atender bem todos os pacientes pela falta de profissionais.

Uma das medicações pós-cirurgia que haviam sido receitadas para mim tiveram um atrás de quase 6h, um antibiótico, que é essência na prevenção de infecções."
ELOGIO,ENFERMAGEM,ACOLHIMENTO,1.0,Muito acolhido pela a profissional de quatro
QUEIXA,ENFERMAGEM,QUALIDADE,1.0,Foi somente uma enfermeira que não deixou eu ter acompanhante sendo que a minha colega de quarto tinha acompanhante homem sendo que não pode. A minha acompanhante era mulher e ela não deixou. A minha cirurgia era no joelho eu não podia andar e a minha colega de quarto podia anadar normalmente. Mais foi somente uma enfermeira os demais foram excelentes.
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"A enfermeira que atendeu primeira após cirurgia não atendeu as informações, cama estava com problema para movimentar e não abaixa ou subiu  , ela não nos ajudou, meu filho precisou me carregar para colocar na cama 
A equipe de mais tarde nos atendeu muito bem e entrou em contato com o médico para me medicar e precisei dormir no hospital para ser melhor medicada"
QUEIXA,ENFERMAGEM,CONDUTA,3.0,"Técnica noturna, já no quarto na internação. Muito grosseira"
QUEIXA,ENFERMAGEM,TEMPO DE ESPERA,3.0,Demora para encontrar leito e alimentação
QUEIXA,ENFERMAGEM,QUALIDADE,1.0,"Péssimo, arrogante, despreparo, negligência. Minha mãe teve um AVC no pós operatório
No período de internação ficamos muito desassistidos, toda a rotina e feita por técnicos em enfermagem e alguns são despreparados e preguiçosos. Queria delegar o banho do paciente ao acompanhante que não tem nenhum preparo pra isso"
QUEIXA,ENFERMAGEM,TEMPO DE ESPERA,3.0,Um pouco lenta nos chamados
QUEIXA,ENFERMAGEM,CONDUTA,1.0,"Enfermeiras falando palavrao em minha presença, conversando entre elas falando mal dos
Medicos. Na Uti uma enfermeira esqueceu minha sonda e de outra paciente fechada, se nao fosse o médico autista reparar provavelmente eu teria uma sepse. Na internacao a enfermeira disse que nao poderia refazer meu curativo que estava aberto pois tinha outros pacientes para medicar. Na Uti, 2 enfermeiras ao me dar banho sugeriram eu me limpar sozinha de forma grosseira."
QUEIXA,ENFERMAGEM,QUALIDADE,2.0,"Foram muito confusos e demoraram para fazer a minha admissão. Quando foram o fazer era tarde e eles alegaram que não tinham anestesista mais disponível. Queriam me liberar para que eu ""reagendasse"" a cirurgia, eu não aceitei.
Foram falar com algum chefe e acabaram depois de muito custo conseguindo me encaixar."
QUEIXA,ENFERMAGEM,ACOLHIMENTO,1.0,"depois q minha filha saiu da cirurgia ela ficou por mais tres horas esperando no pos anestesico par ir para o quarto sendo que estava completamente bem. ela estava em jejum há quase 24 horas e ninguem fazia nada para a levar para o quarto, pra dar agua pra ela e algum alimento. tive q recorrer a enfermeira responsavel do andar pra pedir repetidas vezes para que a situação fosse resolvida. qdo ela foi transferida a levaram para um quarto q a maca não entrava e ela teve q descer da maca e ir até dentro do quarto de pé"
ELOGIO,ENFERMAGEM,QUALIDADE,1.0,Tratado com carinho
QUEIXA,ENFERMAGEM,FALTA DE INFORMAÇÃO,1.0,"Nao passavam informações pra família, muito mau educados , enfermeiras aborrecidas, não tem acolhimento pra família aguardar o paciente. Péssimo profissional."
QUEIXA,ENFERMAGEM,CAPACIDADE TECNICA,1.0,"Terceiro a equipe de enfermagem deixa muito a desejar o apoio não é bom, não tem se quer um homem enfermeiro para ajudar a pegá-lo, para banho subir na cama, quando questionei disseram que não tinha nem maqueiro nem enfermeiro naquele setor. Então a estadia dele não foi confortável o trabalho da enfermagem não foi bom em assistência. Como é que um Hospital como esse não tem homens na profissão para ajudar um cadeirante que requer força no peito etc. Como as enfermeiras não podiam fazer a força física ficou por isso mesmo. Outra coisa as medicações as vezes demorava a chegar porque a farmácia tinha que liberar e a espera era longa isso existe"
QUEIXA,ENFERMAGEM,TEMPO DE ESPERA,,
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,Por que sempre o atendimento é com pessoas q trabalham insatisfeito
QUEIXA,ENFERMAGEM,QUALIDADE,1.0,A equipe pós cirúrgica enfermeira de quadro são péssima !!!! Dormem a noite toda ! Só 1 profissional trabalha colhendo a digital ! Não tinha água  mineral pra eu beber ! Comida chegou no quartas às 3h da manhã
QUEIXA,ENFERMAGEM,QUALIDADE,1.0,"Me trataram pelo nome de outro paciente o tempo inteiro, tecnicos de enfermagem mal educados e irritados. Vomitei tantas vezes por questão da anestesia e nenhum fez absolutamente nada."
QUEIXA,ENFERMAGEM,NÃO COMPARECEU ,2.0,Não tivemos visitas de enfermagem estomaterapeuta
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"Me liberou da alta, mesmo eu relatando que estava com muita dor, com muita dificuldade de andar, me deram morfina e me liberaram, tive que ir pro hospital São Bernardo pois a dor nao parava"
QUEIXA,ENFERMAGEM,TEMPO DE ESPERA,3.0,"Demora para atender o paciente, na hora das medicações e intercorrências"
QUEIXA,ENFERMAGEM,TEMPO DE ESPERA,,
ELOGIO/QUEIXA,ENFERMAGEM,QUALIDADE,1.0,"5. Fui atendido pelas enfermeiras que fizeram um excelente trabalho, pois no dia da internação tinha faltado muitos profissionais, causando uma grande demora muito grande no preparo da colonoscopia, mas elas foram muito atenciosas e rápidas muito profissionais."
QUEIXA,ENFERMAGEM,ACOLHIMENTO,3.0,"Após o procedimento qd fui p o quarto não me deram muita atenção, eu estava com muita fome e sede."
QUEIXA,ENFERMAGEM,CONDUTA,3.0,Algumas técnicas muito grosseira
QUEIXA,ENFERMAGEM,TEMPO DE ESPERA,3.0,Demora no atendimento. Mas principalmente pela falta de informações.
QUEIXA,ENFERMAGEM,ACOLHIMENTO,1.0,Agora as enfermeiras técnicos e equipe super atenciosos
QUEIXA,ENFERMAGEM,QUALIDADE,1.0,"Apenas 1 plantão me deu assistência necessária que foi o noturno do dia 10 para o dia 11 o plantão do dia 11 não me deu assistência alguma a enfermagem entrou apenas 1x no quarto e o enfermeiro só vi qdo estava de alta , quando fui sair com meu familiar a técnica me encaminhou andando oq foi muito ruim pq estava recém operada e havia passado muito mal no dia anterior  não me ofereceu uma cadeira de rodas e dizendo q eu poderia muito bem ir andando"
QUEIXA,ENFERMAGEM,QUALIDADE,2.0,"Elas não tinham o que fazer, não tinha lugar pois estava cheio de pessoas na enfermaria se recuperando do pós operatório e gente esperando para operar, tudo muito desorganizado a agenda, muita demora e pouco cuidado com as pessoas que estavam esperando para operar"
QUEIXA,ENFERMAGEM,FALTA DE INFORMAÇÃO,3.0,Era bem difícil conseguir informações sobre o paciente enquanto não podia visitar
QUEIXA,ENFERMAGEM,TEMPO DE ESPERA,3.0,Pouco profissionais e muita espera
QUEIXA,ENFERMAGEM,FALTA DE INFORMAÇÃO,3.0,Perdidos para dar informações.
QUEIXA,ENFERMAGEM,ACOLHIMENTO,1.0,Falta amor e prazer pela profissão tratam com desprezo o paciente
QUEIXA,ENFERMAGEM,FALTA DE INFORMAÇÃO,3.0,Dificuldade para encontrar um quarto apropriado e informações desencontradas
QUEIXA,ENFERMAGEM,CONDUTA,3.0,"Sem empatia. Nós tratam com grosseria, parecia que estava em um hospital público...equipe da enfermagem cirugica eram diferente mais simpáticas."
QUEIXA,ENFERMAGEM,QUALIDADE,1.0,"Não validaram minha dor e nem minhas queixas, me negando medicação"
QUEIXA,ENFERMAGEM,TEMPO DE ESPERA,2.0,Teve  demora em fazer o curativo
QUEIXA,ENFERMAGEM,ACOLHIMENTO,3.0,"Em relação ao acolhimento alguns ,precisa melhorar"
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"Com minha chegada nenhuma insatisfação, mas sim o pós- internamento!! Não foi cumprido o objetivo da internação. Não tinha estoque do medicamento disponível no hospital para meu preparo, não foi prescrito nada para o principal objetivo de meu internamento (exame) como medicação para enjoos. Somente após eu tomar tardiamente o 1o preparo e já ter vomitado toda a medicação começaram a medicar, mas não fez mais efeito, porque já havia em meu histórico, que não podia ser nada fraco e já não tinha surtido efeito e, com isso, a cada 2 horas mesmo sem nenhum motivo ficaram injetando medicação na veia que, naquele momento não adiantava para nada, mesmo no dia do exame que, como disse, já havia vomitado o preparo não sendo possível pela 3a vez fazer o exame. Voltei para casa totalmente insatisfeita, sem fazer o exame corretamente e mais uma vez só me fizeram sofrer fisicamente. Frustação completa."
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,Não tinha funcionário suficiente pra atender as necessidades.
QUEIXA,ENFERMAGEM,QUALIDADE,,
QUEIXA,ENFERMAGEM,ACOLHIMENTO,3.0,"Não foram atenciosas no momento, pedia para avisar meu acompanhante que estava bem, não obtive resposta. O meu acompanhante foi me ver somente na hora que tive alta."
QUEIXA,ENFERMAGEM,TEMPO DE ESPERA,3.0,"Demora no atendimento e sala muito suja, relatei e nao fizeram nada"
QUEIXA,ENFERMAGEM,CAPACIDADE TECNICA,3.0,"Algumas profissionais foram mais gentis, outras nem tanto, algumas meio despreparadas"
