elogio_ou_queixa.3,grupo.3,motivo.3,p4,comentario_p4
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,,"Bom dia. A avaliação não foi tão boa. Na véspera da cirurgia na qual foi cadastrada a dra Rebeka Cavalcante. Eles haviam marcado para 9/07/25 com horário certo. Na véspera avisou a médica que haviam tirado a cirurgia do mapa por não ter material. Teriam que fazer licitação. Então a equipe médica e eu estávamos prontas para o dia seguinte. Então a Dra. Rebeka sugeriu que eu comprasse o material de um fornecedor que ela conhecia. Então comprei no pix. Fomos para o hospital e o material chegou. A cirurgia saiu por conta do esforço da médica que fez com que tivesse o material. Isso foi constrangimento. Eu nervosa, já seria a terceira cirurgia. A indicação para que fosse uroginecologia foram dos ginecologistas e urologista. O PLANO MAO TEM ESSE PROFISSIONAL. ELASO NÃO RETIROU A TELA QUE ESTAVA COLOCADA ERRADA DENTRO DE MIM, MAS FEZ UNS 5 PROCEDIMENTOS E AGORA ESTOU ESPERANDO O RESSARCIMENTO NA QUAL PEDIRAM OS DOCUMENTOS E EU PEGUEI O PRONTUÁRIO NO HOSPITAL NOTRECARE EM ANDARAI RJ. Por uma coisa uma tela que havia dentro de mim e poderia furar minha bexiga. "
ELOGIO,MÉDICO ,QUALIDADE,1.0,"Bom. Médico excelente, pena que foi descredenciado"
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,3.0,"Após a cirurgia a médica só foi me ver porque ligaram p ela, pois estava tendo hemorragia e ela já estava em casa, teve que vim ao hospital."
QUEIXA,MÉDICO ,CAPACIDADE TECNICA,3.0,Falta de profissionalismo
QUEIXA,MÉDICO ,QUALIDADE,2.0,"Um plano de saúde desse nível não ter um neurologista nem sequer de plantão pra sobreaviso, é simplesmente um absurdo. Minha filha convulsionou 2 dias direto. Primeiro, porque o médico de plantão resolveu primeiro tratar o potássio que estava baixo, 129 e não 130. E não entrou logo com o tratamento para infecção urinária que também não era tão grave, no entanto, segundo ele, ela teria primeiro que ser internada pra poder tomar o antibiótico, o que eu achei um burocracia desnecessária. Foi preciso intervenção da neurologista dela que estava viajando de férias, e que me orientou juntamente com o médico a transferência dela pra UTI. Aí, a demora do maqueiro. E também o pior de tudo que foi a dosagem do remédio que tiraria ela da convulsão que estava sendo dado numa dosagem muito baixa. Daí o fato de ela ter convulsionado tanto. Me perdoem, de um modo geral acho a Hapvida até razoável, porém dessa vez foi bastante complicado. Os médicos são clínicos geral e tem situações que é preciso um especialista sim. Felizmente conseguimos falar com a neurologista dela."
QUEIXA,MÉDICO ,QUALIDADE,2.0,Não resolveu meu problema
QUEIXA,MÉDICO ,TEMPO DE ESPERA ,1.0,Depois do exame ainda me deixaram esperando muito tempo para dar alta sem necessidade. Por isso fica aqui a minha indignação e decepção. 
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,1.0,"Só no momento da alta que falhou a comunicação do Hospital com a minha esposa, demoraram para avisá-la que eu já estava de alta. Mas fora isso tudo ok. "
QUEIXA,MÉDICO ,CAPACIDADE TECNICA,5.0,"Fiz cirurgia de hemorroida senti muita dor ao acordar, fui medicada até a última opção que tinha, sai logo em seguida quando melhorei um pouco, mas não achei correto o paciente receber alta, logo em seguida de uma cirurgia tão minuciosa. Anestesia tinha de ser local porque não tinha condições de realizar a raqui, inclusive escutei da própria equipe cirúrgica, isso não era para ser assim, pois deveriam ficar, mas em observação, porque hospital não tinha a estrutura para receber tantos pacientes, foram 13 cirurgias, se não me falhe a memória "
QUEIXA,MÉDICO ,ACOLHIMENTO,1.0,"Sim, o médico não passa para ver os pacientes no pós-operatório nem mesmo fala com os familiares, eu estava sentindo muita dor no pós-operatório alterou até minha pressão e ainda assim recebi alta e na alta questionei como iam me mandar embora com dor a enfermeira perguntou como tinha sido a cirurgia eu respondi que não sabia por que eles parecem que estão operando cachorro, operam e vão embora. Inclusive no mesmo quarto que eu tinha uma senhora que fez retirada da vesícula estava passando muito mal vomitando bastante e o enfermeiro do lado pedindo para ela assinar a Alta, o atendimento de vocês é uma vergonha um descaso com os clientes. "
QUEIXA,MÉDICO ,QUALIDADE,3.0,"Demora no atendimento, tem muitos péssimos médicos, são raros os médicos que prestam "
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,3.0,"No mês de maio, mais precisamente, fui internada para retirada de um nódulo da mama esquerda. E essa retirada não foi feita. Fizeram um corte do mesmo, mas não retiraram nada. Nódulo continua aqui "
QUEIXA,MÉDICO ,QUALIDADE,2.0,"Uma cirurgia que me deu somente 3 dias de atestado, alegando que costuma dar somente 1 dia, porém por causa desta cirurgia passei 30 dias afastado, ao retorar os pontos, a cirurgia ficou aberta( acontece) porém dar somente 3 dias de atestado sem saber como vai ficar a cirurgia, é não se preocupar com a saude do proximo, a outra reclamaçao é deveria ter um retorno automatico, com equipe medica, e não ter que ficar procurando agendar, pois nem sempre tem medico disponivel pós cirurgia, nesse caso eu marquei um medico, onde fui informado que eu deveria ter marcado com a equipe que me operou"
QUEIXA,MÉDICO ,ACOLHIMENTO,3.0,Não recebi visita após cirurgia e nem na alta
QUEIXA,MÉDICO ,ACOLHIMENTO,,
QUEIXA,MÉDICO ,CONDUTA,,Médico muito mal educado
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,3.0,"A cirurgia demorou bastante para começar, o que entendo ser normal. No entanto, achei absurdo ser liberado no mesmo dia, visto que é uma cirurgia delicada, já que é no joelho. Terminou por volta das 18h aproximadamente, e as 21h e pouco recebi alta. A noite foi infernal, de extrema dor. Pelo horário do término, acredito que seria muito mais adequado ter ficado no hospital, pois facilitaria os primeiros cuidados e medicação na primeira noite."
ELOGIO,MÉDICO ,QUALIDADE,,Equipe médica muito atenciosos. 
QUEIXA,MÉDICO ,QUALIDADE,3.0,"Muito rápido no esclarecimento da cirurgia, pois fecharam demais o canal vaginal e não tive retorno . Tive problemas posteriormente"
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,1.0,"o médico que me atendeu esqueceu de assinar minha alta, consequentemente fiquei quase 4 dias lá esperando a boa vontade de alguém me dar alta. "
QUEIXA,MÉDICO ,QUALIDADE,4.0,"""No dia 13/01/2025 passei por uma cirurgia para colocação de um aparelho para substituir um esficter urinário, porém, não resolveu o  meu problema.
Continuo utilizando fraldas e tomando medicamentos.  Está minha situação ocorreu no procedimento que o Dr. Edson fez no dia 10/10/2020 para o alagamento da uretra que após istofiquei com enureze e embora tenha colocado este aparelho o problema continua sem solução. O Dr. Tarcísio ficou de encaminhar um Laudo sobre a minha situação. 
Fico no aguardo de uma resposta. Fico-lhe muito grato pela atenção. A minha insatisfação não  é  com os proficiência e  sim com a colocação de um esficter que .no dia 13/01/2025 foi colocado em mim e que não está resolvendo o meu problema  urinário que continua como antes da colocação do mesmo."""
QUEIXA,MÉDICO ,CAPACIDADE TECNICA,2.0,"Acredito que a intenção é bom inclusive o do Dr. Luiz Mario que foi o responsável pela cirurgia, mas como pós eu tive a paralisia de um lado após a cirurgia,e o remédio repassado pelo profissional não foi acertado,sinto fortes dores nos ossos após a cirurgia."
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,3.0,"Falta de comunicação, finalizou a cirurgia não foi falar com meus acompanhante estou até agora aguardando um retorno dos médico para saber como foi a cirurgia"
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,3.0,"O médico responsável por minha cirurgia não é um profissional de muitas palavras, faltou acolhimento e clareza"
QUEIXA,MÉDICO ,ACOLHIMENTO,1.0,"Dr. Luis Paulo Oliveira Pereira e Gerente Hospitalar,  assim Dr. Fernando Bertola Diretor do Hospital, não atende ninguém e diz para falar com outros pois está sempre ocupado, Dr. Alexandre Wolkoff Diretor do Centro Cirúrgico que diz atender e também se isenta do Paciente, em responder ou dar as devidas Soluções aos problemas apresentados, Mas Dra Adriana Diretora da Enfermagem, Dr. Felix Traumatologia de Quadril que veio me provocar, mas não cai nas suas provocações Dr. Daniel Uvara de Souza, deu Alta no dia da Cirurgia e Dr. Luis Paulo diz ter revertido para Internação, o mesmo Dr. Daniel e Dr. Luis Paulo Fizeram  o preenchimento das minhas Receitas Erradas e sai com elas mesmo assim pois não se achava ele e ele é que deveria ter que refazer e sumiu não achava ela é sai com elas do jeito que estava e até o Cid está colocado errado. Dra Adriana que disse vir conversar e nem sequer apareceu e conforme me foi informado pela sua Subordinada que estava em Reunião e Ocupada. SOMOS apenas Números pois vocês nos tratam Assim, ESQUECEM que nós números é que pagamos os seus Salários e o que Queremos é RESPEITO!"
QUEIXA,MÉDICO ,TEMPO DE ESPERA ,1.0,"Sem visita, liberado meia noite sem avaliação do médico.  Demora para fazer a cirurgia"
QUEIXA,MÉDICO ,ACOLHIMENTO,3.0,Não recebemos visita pós cirurgia
QUEIXA,MÉDICO ,QUALIDADE,3.0,"As consultas são extremamente curtas, na maioria das vezes sem empatia, sensação de que o médico atende sempre com muita pressa."
QUEIXA,MÉDICO ,ACOLHIMENTO,2.0,"Era pra eu ter ficado em um quarto antes e depois da cirurgia. Mau acompanhante simplesmente não teve notícias minhas das 6 da manhã até quase 22 da noite. A cirurgia terminou, o médico deu alta, o plantão das 19 chegou e só me liberou as 22hs. Ainda perderam meu atestado."
QUEIXA,MÉDICO ,CAPACIDADE TECNICA,3.0,Não fizeram o que era pra ter sido feito e talvez tenha que fazer uma nova cirurgia
QUEIXA,MÉDICO ,QUALIDADE,1.0,"O cirurgião não foi um bom profissional,deixou muito a desejar em vários momentos"
QUEIXA,MÉDICO ,ACOLHIMENTO,3.0,Então na verdade o médico foi muito atencioso na hora da cirurgia porém quando fiquei no pós cirúrgico nem se que apareceu na cama para perguntar como estou só as enfermeiras mesmo que me ajudou nessa hora
QUEIXA,MÉDICO ,CAPACIDADE TECNICA,2.0,"Foi deixado objeto dentro do meu corpo, o que prejudicou muito minha recuperação."
QUEIXA,MÉDICO ,QUALIDADE,3.0,"Sobre as visitas, não tinha organização. Subiam mais pessoas do que o permitido."
QUEIXA,MÉDICO ,ACOLHIMENTO,3.0,Deveria ser melhor .Quando termina a cirurgia a médica deveria acompanhar o paciente até a enfermaria
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,3.0,Achei a respostas das perguntas das dúvidas sobre a cirurgia e procedimentos rápidas e sem muita informação
ELOGIO,MÉDICO ,QUALIDADE,1.0,Equipe médica excelente profissionais fiquei muito feliz com o tratamento de todos da equipe. Parabéns
QUEIXA,MÉDICO ,QUALIDADE,2.0,Enfermeiros e médicos muito acolhedores antes da cirurgia porém depois deixou a desejar não tive uma resposta da mudança da minha cirurgia e nem uma visita no pós
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,1.0,"Ao que se refere  ao procedimento a ser realizado ocorreu muitos erros. 
Desde o agendamento que questionei sobre o preparo e fui informada que não teria preparo, informação está  que levou a equipe a fazer procedimento invasivo desnecessário. Comunicação ineficiente da equipe de enfermagem e médica no depto de colonoscopia inexistente.  Não explicaram o procedimento,  deram um papel para assinar onde constava que recebemos a informação porém não aconteceu isso. Sala de procedimento despreparada para intercorrencia, visto que o procedimento foi agendado em ambiente hospitalar exatamente pelo risco de intercorrencia. Ambiente sujo, desorganizado, sem profissionalismo"
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,4.0,Faltou mais informações sobre o pós operatório
QUEIXA,MÉDICO ,CONDUTA,2.0,"Tratamento do médico com minha esposa após minha cirurgia, insinuando que não era para eu estar com a dor que disse a ele, dizendo que minha hérnia não era problema p mim"
QUEIXA,MÉDICO ,TEMPO DE ESPERA ,1.0,"Não tinha pediatra para dar a alta o dia inteiro, só chegou depois das 20h."
QUEIXA,MÉDICO ,ACOLHIMENTO,3.0,"Não estou insatisfeita com eles, só a equipe deveria ser maís atenciosa um pouco maís com os pacientes, mas eles deram atenção"
QUEIXA,MÉDICO ,TEMPO DE ESPERA ,5.0,Minha cirurgia estava marcada às 13:00 e só fui atendido às 16:30
QUEIXA,MÉDICO ,TEMPO DE ESPERA ,3.0,"Cirurgia agendada para às 13h, só fez a cirurgia às 18h, fiquei 5 horas sentado em uma cadeira de rodas desconfortável, com dores de cabeça, pois estava de jejum desde o dia anterior."
QUEIXA,MÉDICO ,COLETA BIOMETRICA,2.0,Só iam pra validar minha digital tirar a pressão e glicose não foram
QUEIXA,MÉDICO ,ACOLHIMENTO,3.0,Não  dão atenção  que precisamos
QUEIXA,MÉDICO ,TEMPO DE ESPERA ,1.0,"A minha insatisfação é em relação ao parto, estava marcado pro dia 10 (40 semanas já de gestação, coisa que não deveria, pois a médica solicitou dia 4), a bolsa estourou no dia 8 23h a noite, chegamos ao hospital 00:18h do dia 9 porém estava tudo autorizado para ser um parto cesaria, e o médico plantonista ficou enrolando, dizendo que não podia fazer pois não era um parto de emergência, que tinha que esperar até às 8h para fazer o parto, se não a emergencia ficaria vazia e poderia chegar alguém com parto de emergência.
Então por isso aconteceu o parto natural, se tivesse feito antes não teria ocorrido isso, minha filha sofreu demais pra neném nascer, pagamos o plano todo mês para ter escolha e mesmo assim nao tivemos"
QUEIXA,MÉDICO ,ACOLHIMENTO,2.0,"Só vi o médico antes da operação quando foi fazer as marcações.Depois não o vi mais .Meu acompanhante ficou horas ,pois foi posto do lado de fora na recepção sem saber o que estava acontecendo ,e depois nem água foi oferecido ,teve que trocar com outro acompanhante para poder ir embora comer ,pois não foi oferecido café e nem almoço,mesmo quando fui para o quarto .Se ele é acompanhante ,acredito que tenha direito de refeição."
QUEIXA,MÉDICO ,NÃO COMPARECEU ,2.0,Insatisfeito. Médico não acompanhou a pós cirurgia
ELOGIO/QUEIXA,MÉDICO ,TEMPO DE ESPERA ,3.0,"O problema especificamente foi com uma anestesista que estava no momento em que eu entrei.

A anestesista que fez a minha cirurgia foi extremamente responsável e cuidadosa. Contudo, o horário era troca de plantão, a anestesista anterior praticamente atrasou a cirurgia.

Fora isso, toda a equipe médica que me atendeu foi muito boa!"
QUEIXA,MÉDICO ,TEMPO DE ESPERA ,1.0,Fique das após médico informar que iria me internar por volta das 14 . Fique na recepção até as 2 da manhã. Depois fui recolhido para uma maca até as 10 da manhã. Sem medicamento para dor embora eu tenha pedido. Ai fui para o quarto sem medicamento até às 18 onde fui para o centro cirúrgico. Fui tratado sem qualquer tipo de consideração. As respostas evasivas e sem firmeza. Muito insatisfeito. Processo de liberação do internamento ridículo. Precisa rever processos internos de auditoria. E de liberação para internar uma vez que médico determinou. Já tenho uma certa idade. Estou pesquisando para tricar de plano juntamente com minha família
QUEIXA,MÉDICO ,CAPACIDADE TECNICA,1.0,"ESTOU SEM ANDAR POR CAUSA DESTE MÉDICO, COM ÓDIO, TIVE QUE REFAZER CIRURGIA QUE ELE ERROU, PASSEI 2x POR TUDO DE RUIM NA MINHA VIDA E MESMO ASSIM, NAO CONSIGO MAIS COLOCAR UM SAPATO NEM AO MENOS PARA TRABALHAR E FUI DEMITIDA.. DR FILIPI RANIERI UM HORROR, DECEPCIONANTE VOU PROCESSAR TUDO, ACABOU COM MINHA VIDA PROFISSIONAL. "
QUEIXA,MÉDICO ,QUALIDADE,3.0,"Me deram alta sem eu estar bem, o médico não veio avaliar pós operatório, não me deu um parecer, e apenas 30 dias depois foi a minha consulta com ele, sem eles ter marcado nada, pq eu por conta tive que ir marcar."
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,2.0,"Ausência de empatia e de informações como seria o procedimento cirúrgico, um completo descanso por parte do médico."
ELOGIO/QUEIXA,MÉDICO ,CAPACIDADE TECNICA,2.0,"Pneumo nota 10.
Vascular perfurou minha artéria esplenica. Tive choque hipovolemico, precisei de transfusao de emergencia. Procedimento de 40 min duraram 3h, quase fui a obito. fora que me indicaram chegar as 6h em jejum e meu procedimento só foi acontecer as 17h."
ELOGIO,MÉDICO ,QUALIDADE,1.0,"Tudo no tempo marcado e o médico muito bom, nota 10"
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,3.0,"Acho que deveria ter passado mais vezes no quarto dar mais atenção tirar mais dúvidas explicar mais o pós, só foi 1 vez é não demorou quase nada"
QUEIXA,MÉDICO ,NÃO COMPARECEU ,3.0,O médico que fez a cirurgia não apareceu mais veio outro. 
ELOGIO,MÉDICO ,QUALIDADE,1.0,Sobre a equipe médica fui muito bem atendida
QUEIXA,MÉDICO ,CAPACIDADE TECNICA,3.0,Os médicos. Não sabem nem passar medicação direito cheguei 1 vez la com a pressão 19/14 ele disse q n estava alta
QUEIXA,MÉDICO ,ACOLHIMENTO,1.0,Me visitaram poucas vezes e foram pouco educados. O médico só me visitou pra liberar
QUEIXA,MÉDICO ,CAPACIDADE TECNICA,2.0,Pois na internação deixará. Ele cair no chão
ELOGIO/QUEIXA,MÉDICO ,CAPACIDADE TECNICA,3.0,Cirurgia realizada na correria pior que o MULTIRAO DO SUS a equipe médica foi cordial tirou as dúvidas mas o pós operatório não teve.
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,2.0,O médico não conversou direito comigo....não me orientou e me mal dirigiu a palavra
QUEIXA,MÉDICO ,CAPACIDADE TECNICA,3.0,Deram alta sem eu estar em condições de tê-la
QUEIXA,MÉDICO ,QUALIDADE,1.0,Falou que não era ele que era para me operar que nem sabia e queria operar uma hérnia só sendo que era bilateral
QUEIXA,MÉDICO ,QUALIDADE,1.0,"Eu fiquei com deficiência pós cirurgia
Fiquei com deficiência por causa da primeira cirurgia a segunda foi bem melhor "
QUEIXA,MÉDICO ,CONDUTA,2.0,Ginecologista - fez vista grossa para a gravidade / o que fez a cirurgia não é nem pouco cordial
QUEIXA,MÉDICO ,ACOLHIMENTO,3.0,Médicos nada atenciosos
QUEIXA,MÉDICO ,CAPACIDADE TECNICA,3.0,"O médico que me operou nem olhou na minha cara, não me deu nem um bom dia, nem se quer se apresentou, só não estou avaliando insatisfeita porque a cirurgia ficou perfeita. 
Também tive problema com a sedação, me disseram que seria sedação geral e não foi, consegui ouvir tudo durante a cirurgia, não foi nada agradável. 
Vou precisar fazer essa mesma cirurgia na perna direita e espero não ter que passar por essa situação novamente!"
QUEIXA,MÉDICO ,QUALIDADE,,Vou ter q refazer a cirurgia não colocaram tela
QUEIXA,MÉDICO ,ACOLHIMENTO,,"Minha insatisfação realmente foi com cirurgião, onde não deu um apoio antes da cirurgia 
Fiz uma pergunta e não foi satisfatório "
QUEIXA,MÉDICO ,QUALIDADE,2.0,"No pós cirúrgico tive muito mal estar desmaios ,o médico veio me atender abriram código amarelo , porém estava com infecção urinária e anemia e não foi me receitado nenhuma medicação , sai apenas com remédio para dor e antiinflamatório, oq foi um absurdo porque em casa fiquei com febre e fraqueza devido a infecção urinária e anemia e eu fiquei com medo de buscar o hospital novamente pois se me deram alta com infecção e anemia e sem receitar medicamentos, não iriam me dar muita atenção novamente tive que buscar atendimento no SUS pra ser medicada"
QUEIXA,MÉDICO ,CONDUTA,,O cirurgião é muito bruto não explicou nada direito me deu atestado de 8 dias e nem sequer perguntou doque eu trabalhada ele me operou e nem comigo falou. Ele é muito bruto. Não pergunta nada já sai fazendo as coisas não põem nem luva nas mãos para tirar os esprinter do meu nariz. Muita falta de respeito. 
QUEIXA,MÉDICO ,TEMPO DE ESPERA ,2.0,"Médico chegou muito fora do horário agendado para a cirurgia e fez com que atrasasse todas, fiquei por mais de 4 horas esperando a minha vez, em jejum de mais de 14 horas sem tomar água em baixo de um ar condicionado matador, pedi um cobertor disseram que não podia me dar pq era só pra quem já tinha operado! Um absurdo"
QUEIXA,MÉDICO ,QUALIDADE,1.0,"A cirurgia que foi feita, após 15 dias pedi uma volta de consulta com o médico que operou e após vários relatos e pedidos disso, nunca fui atendida , houve um contato depois desses inúmeros pedidos que seria marcado uma consulta com o médico que operou para que ele me desse um laudo do que havia sido feito. Porque eu continuava com alguns sintomas que depois da cirurgia não aconteceriam. No dia da retirada dos pontos o médico que me atendeu, perguntou sobre o que havia sido feito e eu relatei os sintomas que estavam acontecendo e ele disse que isso não era para ocorrer mais e como ele não sabia o que havia sido feito me informou que era melhor marcar uma consulta com o médico da cirurgia e falar sobre o que estava acontecendo e pedisse um laudo do que fora feito na cirurgia. Não creio que esse fato tenha a haver com o hospital Notrecare Rio e sim com o médico que fez a cirurgia. E no atendimento quando um paciente faz cirurgia e não tem um acompanhamento do médico que faz os procedimentos. Desta forma, favor entrar em contato para que eu paciente possa ter um retorno e não ficar sem saber do que ocorreu em minha cirurgia. Desde já agradeço o contato mais aguardo uma resposta, uma vez que isso fora feito no mês de julho e hoje estamos no mês de outubro. Se fosse para fazer qualquer coisa após cirúrgico agora seria impossível. Precisam os médicos tratarem os pacientes com mais respeito e humanidade"
QUEIXA,MÉDICO ,QUALIDADE,2.0,Fui com uma avaliação de um Dr. Do HUOL para fazer uma ureteroplastia pra corrigir uma má formação e não foi feito e continuo tendo infecções constante
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,2.0,O médico que fez a minha cirurgia não foi o mesmo médico que me acompanhou e conhecia o meu caso. O cirurgião mal falou comigo e ainda deu um atestado incompleto.
QUEIXA,MÉDICO ,TEMPO DE ESPERA ,4.0,"""O horário da cirurgia não foi respeitado. Estava marcado para às 12h, mas ocorreu depois das 18h. 
A espera ocorreu no mesmo ambiente do pós-operatório. Uma sala fria e sem nenhum conforto. "
QUEIXA,MÉDICO ,CONDUTA,,
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,3.0,"O retorno do pós operatório, informações vagas e perdidas"
QUEIXA,MÉDICO ,COLETA BIOMETRICA,3.0,esse negocio de ter que por digital todas fez que a enfermeira entra no quarto é muito complexo pois complica para nós pacientes como para a enfermeira pois precisamos acordar para por a digital quando estamos domindo
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,3.0,Não tive orientações do pós operatório
QUEIXA,MÉDICO ,QUALIDADE,1.0,"Me negaram medicação, não respeitaram minha via de parto escolhida e nem seguiram meu plano de parto, me deixando sozinha em pleno trabalho de parto"
QUEIXA,MÉDICO ,ACOLHIMENTO,2.0,Após a cirurgia não tive visita e nem orientação médica sobre o pós operatório.
QUEIXA,MÉDICO ,QUALIDADE,3.0,Minha esposa já fez o mesmo procedimento pela terceira vez!!!
QUEIXA,MÉDICO ,ACOLHIMENTO,3.0,"O médico não realizou uma visita antes da cirurgia, só o conheci na hora do procedimento cirúrgico e após a cirurgia o vi no dia seguinte numa breve visita e após isso não tive mais contato, somente no retorno com outro médico que fez o encaminhamento. E o resultado da cirurgia não foi totalmente satisfatório pois tive problemas decorrentes da mesma no local mesmo tomando os cuidados."
QUEIXA,MÉDICO ,ACOLHIMENTO,3.0,"Com minha chegada nenhuma insatisfação, mas sim o pós- internamento!! Não foi cumprido o objetivo da internação. Não tinha estoque do medicamento disponível no hospital para meu preparo, não foi prescrito nada para o principal objetivo de meu internamento (exame) como medicação para enjoos. Somente após eu tomar tardiamente o 1o preparo e já ter vomitado toda a medicação começaram a medicar, mas não fez mais efeito, porque já havia em meu histórico, que não podia ser nada fraco e já não tinha surtido efeito e, com isso, a cada 2 horas mesmo sem nenhum motivo ficaram injetando medicação na veia que, naquele momento não adiantava para nada, mesmo no dia do exame que, como disse, já havia vomitado o preparo não sendo possível pela 3a vez fazer o exame. Voltei para casa totalmente insatisfeita, sem fazer o exame corretamente e mais uma vez só me fizeram sofrer fisicamente. Frustação completa."
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,3.0,Não existiu explicação sobre os procedimentos antes e depois
QUEIXA,MÉDICO ,ACOLHIMENTO,2.0,O médico me fez a visita no leite após a cirurgia e não me deu alta pessoalmente
QUEIXA,MÉDICO ,ACOLHIMENTO,,"""O tempo de permanência no pós parto, muito curto.
Em parto cesario o ideal é permanecer no hospital por no mínimo 48 horas.
Eu fui liberada com 24 horas, ainda sem estar em condições suficientes."""
QUEIXA,MÉDICO ,ACOLHIMENTO,3.0,"Após o período da cirurgia, nem o Dr que realizou a cirurgia nem sua equipe foram me procurar no quarto, para dar algum parecer com relação a cirurgia com explicação sobre como seria o processo pós cirúrgico."
QUEIXA,MÉDICO ,CAPACIDADE TECNICA,1.0,"Cirurgião foi excelente mas anestesista muito fraca. Sem experiência. 
Quando foi pegar minha veia, tentou 4x e nao conseguiu, me machucou muito. Antes nao falou direito comigo e nao explicou sobre a anestesia. No procedimento (anestesia raqui) fez o procedimento de forma incorreta e eu tive cefaleia pos raqui. Tenho dores absurdas até hoje por esse erro. Que nitidamente foi um erro. Isso foi falado para mim pela equipe."
QUEIXA,MÉDICO ,QUALIDADE,3.0,"O primeiro erro: o Médico que opera não é o mesmo Médico que pede a cirurgia, resultando em sistema por parte da administração super falho pois o Médico chega sem informação sobre a Operação e sim só na hora vai se internar sobre qual o tipo de cirurgia - E com a quantidade de cirurgias desses profissionais no mesmo dia resulta em- falta de informação e exames que o médico tem que analisar e decifrar na hora o que deve fazer - Uma verdadeira bagunça com toda equipe, desorganização, correria, pessoal da equipe faltando...etc, mas isso não é referente a está equipe apenas  - fiz 3 cirurgias recentes e todas elas foram uma tremenda bagunça - o local de espera para a ida pra sala cirúrgica é uma verdadeira feira realmente fazer uma cirurgia hoje no Convênio tem que confiar muito em Deus - pois essa dinâmica de vocês abraçarem o mundo com essa produtividade mal feita infelizmente é muito preocupante."
