elogio_ou_queixa,grupo,motivo,comentario_p1
QUEIXA,RECEPÇAO,QUALIDADE,Desinteresse dos profissionais em dar atendimento
QUEIXA,RECEPÇAO,QUALIDADE,A MÃE DA PACIENTE RELATA QUE NO DIA EM QUESTÃO SÓ HAVIA UMA RECEPCIONISTA E O CAOS SE INSTALOU NO LOCAL
ELOGIO,RECEPÇAO,QUALIDADE,fomos bem atendidos e acolhidos
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,A recepcionista não estava no local dela e demorou muito para comparecer
QUEIXA,RECEPÇAO,ACOLHIMENTO,Eu cheguei com muita dor já em trabalho de parto e a atendente só mandou eu ir pro totem e não me auxiliou
QUEIXA,RECEPÇAO,QUALIDADE,Desorganização e informações cruzadas
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"A demora na internação,falta de cobertores no leitor"
QUEIXA,RECEPÇAO,QUALIDADE,"Uso do totem no um momento de urgência,  acho desnecessário"
ELOGIO,RECEPÇAO,QUALIDADE,Muito satisfeito.
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,Não tinha sala de parto disponível. Hospital precisa aumentar
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"Muita demora esperando o Cirurgião , Depois do diagnóstico meu filho ficou esperando 12 horas para o início da cirurgia, nada a reclamar do medico"
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"Acho que poderia ter uma triagem 
Minha cesária estava marcada para dia 08/05 às 15:00
Porém, cheguei na emergência dia 07/05 na parte da noite já com 7cm de dilatação e demorou um pouco a me chamarem, após com a cesária já autorizada demoraram um pouco a fazer o meu cadastro, o médico que realizou a cesária que desceu do centro cirúrgico para agilizar a minha internação, já estava com muita dor.
Se possível gostaria de saber o nome dos médicos que realizaram minha cesária gostei muito dele e da médica, como foi uma correria não me recordo os nomes"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Demora excessiva para o atendimento, mais de 7 horas de espera em um procedimento que foi pago!!

Parto foi pago a parte pois o plano não cobria (carência) e mesmo pagando foi um atendimento péssimo e demorado!"
QUEIXA,RECEPÇAO,QUALIDADE,"No hospital América o pessoal da portaria é muito sem educação, grosseiros, recepcionistas negligentes demonstrando muita mal vontade... demais unidades tudo muito bom..."
QUEIXA,ADMINISTRATIVO,AUTORIZAÇÃO ,Demora para internar
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Ei fiquei muito tempo esperando!
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Demora demais e  as recepcionista muito sem educação e paciência
QUEIXA,RECEPÇAO,QUALIDADE,"Falta de informação do paciente, atendentes mal informados, falta de atenção para quem está na espera"
QUEIXA,RECEPÇAO,QUALIDADE,"A recepcionista, não sabia ao certo  o que fazer. Deu entrada errado no meu procedimento, acredito que ela estava em treinamento.
Quando subi para me preparar para a cirurgia, a enfermeira precisou ligar lá na recepção, para terminar de dar entrada."
QUEIXA,MAQUEIRO,QUALIDADE,Não tinha maqueiro na chegada e a atendente recepcionista estava em troca de turno.
QUEIXA,RECEPÇAO,QUALIDADE,Atendimento dos funcionários e limpeza do ambiente
ELOGIO,RECEPÇAO,QUALIDADE,Atendimento agilidade
QUEIXA,RECEPÇAO,ACOLHIMENTO,A recepção estava indiferente
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,Me deixar esperar muito porque não tinha quarto pronto para mim
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Demorou demais minha internação 
Era pra ser internada às 09:00 cheguei às 08:30 
Antes do pedido como pedem é só consegui a internação após as 12:00"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Quem levou ao hospital foi um vizinho ao qual estava sobe a responsabilidade naquele momento,  tendo em vista, que ele não possuía a documentação necessária, houve demora no atendimento."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Por se tratar de um caso que o paciente estava sentindo muita dor, houve demora e não deram prioridade."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Me agendaram três horas antes do atendimento eu de jejum muito estresse
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Tiver q ficar esperando muito tem, e muitas profissionais passavam por lá, e não dava a mínima. Pelos menos nessa parte foi ruim de ficar esperando pra ser atendida"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Demora para fazer a ficha uma pessoa idosa e estava em jejum eu reclamei
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Fiquei quase 01:00 esperando porque o sistema tinha caído.
QUEIXA,RECEPÇAO,QUALIDADE,Não foram esclarecidos as minhas perguntas
QUEIXA,MAQUEIRO,QUALIDADE,"Depois de dar entrada e precisar de maqueiro 
Foi difícil o tratamento
Na recepecpao já na sala d e medicação precisei me deslocar a pé até a recepção pra colocar a digital
Sem nenhuma empatia de levar o aparelho até a sala de medicação onde eu estava com muita dor"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Me deixaram de jejum durante quase 14h esperando, com a minha cirurgia MARCADA! Me colocaram em uma sala e dali me esqueceram. Sai várias vezes atrás de informações sobre a cirurgia e só me falavam que iria chamar. Pois bem, fiquei de 13:40 até 21h da noite, com sede e fome. Pra dar alta tbm foi uma novela, me deram alta primeiro isso de manhã logo cedo, e veio da alta ao meu bebê que só estava esperando essa alta no final da tarde. LITERALMENTE ABSURDO"
QUEIXA,RECEPÇAO,ACOLHIMENTO,Pq não fazemos uso de apoio qnd chegamos e nem ninguém nos aborda
ELOGIO,RECEPÇAO,QUALIDADE,"o atendimento foi rápido, claro e com gentileza"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,A espera fiquei de 11 horas até as 22 horas para entrar no centro cirurgico
QUEIXA,MAQUEIRO,QUALIDADE,Problemas no trasporte
QUEIXA,MAQUEIRO,TEMPO DE ESPERA,"Fiquei mais de 1h no corredor após a cirurgia, pois o maqueiro não vinha."
QUEIXA,RECEPÇAO,QUALIDADE,"Não queriam realizar nossa entrada, alegando que no sistema deles não constava nenhuma autorização, sendo que estávamos com toda a documentação dada pelos médicos da cesária"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Demora no atendimento e no encaminhamento p sala de espera da cirurgia
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,A demora ao atendimento
QUEIXA,RECEPÇAO,ACOLHIMENTO,"Minha criança é autista nível 3 de suporte e possui epilepsia, inclusive foi operado recentemente no hospital. Nem sempre conseguimos agilizar o atendimento ao usarmos o totem, nem todos os profissionais apresentam preparo para atender crianças na condição de autismo severo que se desregula com o barulho, muita gente. Mas muitos já conhecem a situação do meu filho e sempre tomam medidas para oferecer um atendimento personalizado.  O pessoal da enfermagem são bem atenciosas. O porteiros excelentes. Na minha opinião a parte ruim tá na demora entre a triagem e a recepção."
QUEIXA,RECEPÇAO,QUALIDADE,Até agora não tenho o resultado do exame broncoscopia que minha médica solicitou. Fui lá atrás não me deram nenhuma informação sobre o meu exame.
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Marcaram o horário de entrada,mas passei mais de 40 minutos esperando ser atendida"
QUEIXA,RECEPÇAO,QUALIDADE,"da recepção a sala de pré cirugia o atendimento foi muito vago, sem informações precisar e falta de atenção e direcionamento."
QUEIXA,RECEPÇAO,ACOLHIMENTO,"Os atendentes e recepcionistas não sequer me cumprimentaram e não olharam nos meus olhos, além de me fazerem esperar quase ou mais de 30min"
QUEIXA,RECEPÇAO,ACOLHIMENTO,"As recepcionistas e atendentes não tem muita cortesia, mas nada demais"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,A PACIENTE RELATA MUITA DEMORA PARA SER INTERNADA E DEPOIS PARA QUE O PROCEDIMENTO FOSSE REALIZADO.
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,"Fiquei 13 horas aguardando para sair do pós cirúrgico para o quarto, com a desculpa que não tinha Leito."
QUEIXA,RECEPÇAO,QUALIDADE,"Atendimento desumanizado!
Profissionais e competentes, com posturas cabíveis de processos!"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Demora para subir
QUEIXA,TOTEM,FALHA NO APARELHO,Muitas vezes os totens estão sem funcionar ou sair a pulseira.
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,Fiquei duas horas na mesa de cirurgia esperando um local para ficar
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Tempo de espera
QUEIXA,RECEPÇAO,QUALIDADE,"Ficamos numa recepção sem ninguém para nuns atender 
Tinha uma menina que não era função dela lá na correria"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Demora no internamento
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Demora no atendimento.
QUEIXA,RECEPÇAO,ACOLHIMENTO,"Fiquei perdida e precisei pedir ajuda, foi muito confuso"
QUEIXA,RECEPÇAO,QUALIDADE,Bom primeiramente o que eu acho que não só no vasto Lucena mas há um ponto de oportunidade em todas as unidades que eu a minha esposa agora o meu filho fomos é o atendimento na triagem né vocês precisam melhorar o atendimento precisa melhorar o treinamento porque tive que perguntar para três pessoas algo que uma pessoa bem treinada na recepção que é a triagem poderia me ajudar. Sobre o atendimento eu acho que realmente a recepção de vocês em todo estado de Pernambuco porque escuto muito é o atendimento na triagem a recepção vocês precisa melhorar esse ponto de oportunidade não sei se é treinamento ou sem mudança de profissionais
ELOGIO,ADMINISTRATIVO,QUALIDADE,Fui muito bem atendida do início até alta médica
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Muito demorado
QUEIXA,RECEPÇAO,QUALIDADE,Não me atenderem bem
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Não tinha porteiro a recepção está a uma única pessoa então foi muito demorado e os maqueiro me atendeu muito bem
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,"Não fui acomodada no meu quarto, Passei 6 horas na recepção esperando p ir pra o bloco, fui da recepção direto pra sala de pré operatório."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Tempo de espera
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Relata que houve demora para cirurgia, passou mais de 24 horas sem se alimentar esperando inicio do procedimento."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Demora ao atendimento
QUEIXA,ADMINISTRATIVO,QUALIDADE,"Quando cheguei que foi feito a internação estava previsto para as 15 HS , cheguei antes dei entrada ,  mas só fui internado após as 16hs.

Como também não fui direcionado para o apartamento, juntamente com minha acompanhante, para me preparar pois a cirurgia era eletiva  e tenho  tenho direito a apartamento pelo plano e enfatizo mais ainda fui direto para o bloco cirúrgico, sem estrutura para preparação do paciente, fiz a cirurgia e permaneci na sala de recuperação até o dia seguinte quando tive alta médica, por um médico que não era o previsto e sem acompanhante, pois o setor não prevê acompanhamento.
  E mais ainda após a cirurgia o médico que fez a cirurgia não manteve contato com esse paciente, pois não tinha conhecido que estava na sala de recuperação que é um local de permanência temporária para envio posterior para o leito previsto."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Relata que foi solicitado que chegasse às 22h mas só foi atendida após meia noite, por volta de 1h da manhã o quarto foi liberado."
QUEIXA,ADMINISTRATIVO,QUALIDADE,"O atendimento deveria ser humanizado, os colaboradores deverão atender os pacientes com experiência no que faz, não gostei do atendimento que recebi"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Cheguei na hora que mandaram 05:30, fiquei até às 09:00 horas na recepção e fui direto pra sala de cirurgia, só fui pra o quarto depois da cirurgia às 15:30 da tarde, a gente já chega nervosa e não tem aquele acolhimento de ir pra um quarto de preparar."
QUEIXA,RECEPÇAO,QUALIDADE,eu me direcionei ao totem e fiz meu próprio agendamento
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Muito tempo de espera
QUEIXA,RECEPÇAO,QUALIDADE,"Cheguei tarde da noite, e ninguém se apresentou para dar um suporte"
QUEIXA,RECEPÇAO,QUALIDADE,"Ninguém lhe ajuda em nada, fui pedir ajuda nem bom dia recebi, apontaram pra ir para máquina"
QUEIXA,RECEPÇAO,QUALIDADE,"Chegue as 16h e só fui pro quarto as 19:20 bem em cima da cirurgia, olhe que atrasou pous estava marcada pra 18:30"
QUEIXA,RECEPÇAO,QUALIDADE,"Não temos assistência, realizamos sozinho o atendimento ao totem"
QUEIXA,ADMINISTRATIVO,QUALIDADE,Deveria ter uma sala de espera reservada para as gestantes em trabalho de parto. É muito constrangedor a mulher ficar exposta sentindo dor e todos vendo.
QUEIXA,RECEPÇAO,QUALIDADE,Não teve uma organização na recepção
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Esperei muito tempo na recepção junto com minha acompanhante na recepção, e ao subir para o andar do bloco ficamos esperando em uma cadeira dura e muito frio ambiente, e lá nessa mesma cadeira a minha acompanhante ficou esperando pela minha saída do bloco, onde ela ficou por muito tempo sem saber notícias minhas, já de outros paciente ela via algum ou outro dar notícias, mas da minha pessoa ela não obteve e por perguntar várias vezes por mim, os enfermeiros dizia que tinha que aguardar, eu entrei no bloco por volta das 10hs, e fui pra o qurto por volta das 16hs, ai nesse horário minha acompanhente teve notícias minha, achei um absurdo.
Mais absurdo, foi eu receber alta no mesmo dia, depois de ficar muito tempo em recuperação por minha pressão está alta, e me arrependi de ter ido pra casa, pois passei muito mal em casa, muitas dores e falta de ar, durante a madrugada em casa.
Outro absurdo é o médico dar alta ao paciente pelo sistema, nem pra vim falar com o paciente, fiquei chocada."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Relata que houve demora para a cirurgia, que foi marcada para 11h da manhã e realizada somente às 15:40h. Relata que não foi colocado no soro, nem recebeu alimentação."
QUEIXA,RECEPÇAO,QUALIDADE,Acredito que os atendentes poderiam ser mais prestativos e empáticos com os pacientes.
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,Na chegada demorou 5 horas para acomodar a paciente e depois iniciar o ato cirúrgico. Deram prioridade a outros pacientes e nos deixaram durante 5 horas mal acondicionados
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Demora para subir ,para fazer o jnter namento. Comi de 6 horas de manhã, me pediram para chegar no hospital às 13hs"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Cheguei com contrações e com 6cm dilatação e demoraram no atendimento. Depois do meu marido relatar o fato na recepção e a recepcionista dizer que nada poderia ser feito e que eu tinha que esperar (mesmo com dores e o bebê a ponto de sair ali mesmo) uma estranha teve que intervir, fazendo um movimento para só assim me cederem uma cadeira de rodas e me levarem pra ser atendida. No dia em questão, vi uma outra mãe relatando que o bebê dela MORREU por que estava com dilatação, no mesmo processo que eu e mandaram ela de volta pra casa alegando que ainda não estava na hora. Absurdo!"
QUEIXA,MAQUEIRO,QUALIDADE,quando eu tiver alta eu achei também ruim porque ninguém veio com cadeira de roda para colocar a pessoa para levar até a portaria né eu tive que ficar em pé lá esperando o Uber vem para me buscar. Eu gostei do hospital sendo que tem algumas questões né que tem que ser avaliada né sobre eu cheguei para fazer o prontuário né a preencher lá a ficha acabou que na hora que eu tava preenchendo o rapaz já já me chamou para eu subir lá para o bloco cirúrgico e eu não concluí esse preenchimento então eu achei isso errado né porque se acontecer alguma coisa aquele formulário né são informações de paciente então eu não concluí
QUEIXA,RECEPÇAO,QUALIDADE,"Exemplo: tive bebê recentemente, porém antes de ter, fui para emergência várias vezes, e lá na emergência com dor, eu tive que ter que colocar o dedo lá no totem, colocar CPF! Vocês imaginam a mulher com dor de parto, e ter que ir colocar o dedo na máquina pra ser atendida sem que a recepção faça nada. Ou ajude ?"
QUEIXA,RECEPÇAO,QUALIDADE,Informações desencontradas e falta de aviso quando a minha esposa terminou a cirurgia !
QUEIXA,RECEPÇAO,QUALIDADE,As atendentes não passam as informações corretas. Sem falar que ficamos em uma sala que não tem ninguém para nos auxiliar.
QUEIXA,PORTEIRO,QUALIDADE,Os meus familiares não foram bem recebidos pela portaria
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Achei desorganizado, passei o dia todo no hospital cirurgia marcada para 17:00hrs fui operada as 22:00"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,O tempo de espera para ir para quarto .
QUEIXA,RECEPÇAO,QUALIDADE,"Recepcionista super mal humorada, o porteiro foi super solícito, maqueiro super tranquilo, tempo de espera muito longo até a internação."
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,"""No setor de acolhimento elas não estavam fazendo a admissão mesmo com leito disponível. Depois de ser atendida pelo médico e fazer 
os exames que ele passou, às  22h fui informada de que ainda não poderia fazer meu internamento. Só as 00h pq minha mãe e meu marido
 foram reclamar que isso ocorreu.
Cheguei às 19h25 na emergência com a pressão alta e o papel de indicação para internamento pela minha obstetra e só de meia noite 
algo foi feito e só pq reclamamos."""
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Demora no atendimento, apesar de ter pouquíssima gente na recepção"
QUEIXA,RECEPÇAO,QUALIDADE,"Primero que você chega, faz a ficha sozinho, não passa por uma triagem nem nada, tem de esperar sua vez pra médica avaliar."
QUEIXA,RECEPÇAO,QUALIDADE,Me deram um número para marcação que não existe para reumatologista
QUEIXA,RECEPÇAO,QUALIDADE,"Não foi atendida
 Só vi uma pessoa caindo e ninguém só hospital socorreu.
Foi o próprio paciente que socorreu a mulher grávida"
QUEIXA,ADMINISTRATIVO,REMARCAÇÃO,Não consigo marca médico
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Não tinha ninguém na triagem na hora que cheguei  , fiquei esperando horas pra subir pra sala de pré parto e a nenem quase nasceu na sala de Cardiotoco , saíram comigo correndo de cadeira de rodas quando viram que ela estava quase nascendo"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Recepção demorada
QUEIXA,ADMINISTRATIVO,QUALIDADE,"Minha mãe que fez a cirurgia, ela aguardou quase 4hs para liberarem ela para dentro do hospital, isso pq a pessoa que estava com ela reclamou 2x com a atendente, e só passaram ela para dentro porque como estava sem comer e a pressão caiu. A solicitação era para ela estar na hospital as 8:30 e a cirurgia ocorreu somente as 16:00hs, ela ficou muito tempo sem alimentar."
