elogio_ou_queixa.1,grupo.1,motivo.1,p2,comentario_p2
,NÃO SE APLICA,,3.0,Na verdade não passei por nem um destes assistentes.
,NÃO SE APLICA,,1.0,Não tive esse tipo de atendimento
,NÃO SE APLICA,,3.0,Não tive atendimento de nenhum desses profissionais
,NÃO SE APLICA,,3.0,Porque não houve atendimento com esses profissionais.
,NÃO SE APLICA,,2.0,Não foram oferecidos esse atendimento para mim.
,NÃO SE APLICA,,,
,NÃO SE APLICA,,3.0,Não passei por nenhum desses profissionais então não tem como eu avaliar
,NÃO SE APLICA,,1.0,Não tive esse atendimento
,NÃO SE APLICA,,1.0,"1 . Não tinha assistente social, porque ela entrou na sexta feira. E resto também não tive conhecimento."
,NÃO SE APLICA,,3.0,Nso usei
,NÃO SE APLICA,,5.0,Não tive contato com estes profissionais citados
,NÃO SE APLICA,,1.0,Não tive esses atendimentos
,NÃO SE APLICA,,3.0,Não tive esse atendimento
,NÃO SE APLICA,,2.0,Não houve cirurgia
,NÃO SE APLICA,,3.0,As especialidades citadas acima não foram necessárias para a realização da cirurgia do Théo
,NÃO SE APLICA,,1.0,Não tive acesso a nenhum desses profissionais
,NÃO SE APLICA,,2.0,Não uso essa especialidade
QUEIXA,ASSISTENTE SOCIAL,NÃO COMPARECEU ,1.0,Precisei de assistência social e não tinha no hospital pra relatar minha necessidade de mudança de quarto porque eu estava gestava e me colocaram em acomodação impropria eu como acompanhante
,NÃO SE APLICA,,,
,NÃO SE APLICA,,3.0,E pouco profissional pra muita gente
,NÃO SE APLICA,,2.0,Ele num tá tendo esse acompanhamento
QUEIXA,FONOAUDIOLOGO,NÃO COMPARECEU ,1.0,"Fiz a cirugia da tiroide , preciso de fono e nso estou conseguindo"
,NÃO SE APLICA,,3.0,Não utilizei esses serviços
,NÃO SE APLICA,,1.0,Não fui atendida por esses profissionais
QUEIXA,PSICOLOGA,NÃO COMPARECEU ,,
,NÃO SE APLICA,,1.0,"Não se aplica, não fomos atendidos pelos profissionais citados"
,NÃO SE APLICA,,2.0,Não vi nenhum desses profissionais
,NÃO SE APLICA,,5.0,"não tive acompanhamento com fisioterapeutas, assistentes sociais, psicólogos e fonoaudiólogo"
,NÃO SE APLICA,,3.0,Não fui atendido por esses profissionais
,NÃO SE APLICA,,1.0,N teve
,NÃO SE APLICA,,1.0,Não tive contato com nenhum dos médicos
,NÃO SE APLICA,,3.0,Não vieram
QUEIXA,FISIOTERAPEUTA,QUALIDADE,3.0,"A respeito  da fisioterapia q está fazendo 
Atendimento deixa a desejar"
,NÃO SE APLICA,,3.0,"não cheguei a ser atendido por nenhum,por isso uma nota mediana"
QUEIXA,FISIOTERAPEUTA,QUALIDADE,1.0,"**Assunto: Reclamação sobre atendimento de Fisioterapia e dificuldade de agendamento em Psicologia/Psiquiatria**

Prezados(as) responsáveis 
Venho por meio desta expressar minha profunda insatisfação com os serviços prestados, especificamente em relação à equipe de fisioterapeutas e à dificuldade de acesso a profissionais de saúde mental.

1.  **Fisioterapia:** Tenho conseguido marcar minhas consultas de fisioterapia, porém, infelizmente, nunca consigo ser atendida. Constantemente, os profissionais faltam aos agendamentos, o que tem gerado grande frustração e impedido o acompanhamento necessário para minha saúde.
2.  **Psicologia e Psiquiatria:** Adicionalmente, tenho enfrentado uma grande dificuldade em conseguir agendamentos para consultas com psicólogo e psiquiatra. A falta de disponibilidade desses profissionais tem sido um obstáculo significativo para o meu tratamento e bem-estar.

Solicito, por gentileza, que sejam tomadas as devidas providências para resolver essas questões, garantindo um atendimento de qualidade e o acesso aos profissionais que necessito.

Agradeço a atenção e aguardo um retorno.

Atenciosamente,

Gleyce vilela."
,NÃO SE APLICA,,1.0,Não tive
,NÃO SE APLICA,,1.0,Não tive nenhum atendimento desses profissionais
QUEIXA,PSICOLOGA,QUALIDADE,3.0,Psicólogos fracos
,NÃO SE APLICA,,1.0,Não tive esse atendimento
,NÃO SE APLICA,,1.0,Não tive esse tipo de atendimento em minha cirurgia
,NÃO SE APLICA,,3.0,No caso não tive atendimento com esses profissionais
ELOGIO/QUEIXA,FISIOTERAPEUTA,QUALIDADE,3.0,"Quebrou o meu Andador,  a Dra Samia é a única Fisioterapeuta que dou nota 10"
,NÃO SE APLICA,,1.0,Nao teve essa assistência
,NÃO SE APLICA,,3.0,Não tenho ciência de que foram disponibilizados profissionais dessas áreas para atendimento
,NÃO SE APLICA,,1.0,Eu não sou Roberto Daltro Araújo
,NÃO SE APLICA,,,Não tenho interesse
,NÃO SE APLICA,,,
,NÃO SE APLICA,,3.0,Nunca passou
,NÃO SE APLICA,,2.0,Nem vimos
,NÃO SE APLICA,,3.0,Não tive atendimento com esses profissionais
,NÃO SE APLICA,,3.0,Não tive contato com essa equipe
,NÃO SE APLICA,,3.0,Não teve essas especialidade não
,NÃO SE APLICA,,1.0,Não tive esse atendimento
,NÃO SE APLICA,,3.0,Não tive  contato contato com esses profissionais
,NÃO SE APLICA,,3.0,Não passei com esses profissionais
,NÃO SE APLICA,,2.0,Eu não vi ninguém se a presentar com essa função lá é sai dela sem nenhuma recomendação sobre oque eu tinha que fazer de pois de o perado
,NÃO SE APLICA,,3.0,Não precisei deste profissional
,NÃO SE APLICA,,3.0,"Como foi uma cesariana, não tive contato com nenhum desses profissionais"
,NÃO SE APLICA,,3.0,Não tive contato com nenhum deles
,NÃO SE APLICA,,3.0,Não fui atendido pro né um
,NÃO SE APLICA,,4.0,Nao tive esse atendimento
,NÃO SE APLICA,,1.0,Não tivemos atendimento com nenhum desses profissionais
QUEIXA,TODOS,TEMPO DE ESPERA,3.0,A  demorar
,NÃO SE APLICA,,1.0,Não tive atendimento de nenhum desses profissionais nem antes nem depois da cirurgia
,NÃO SE APLICA,,1.0,Nenhuma
,NÃO SE APLICA,,1.0,Em nenhum momento tive alguma assistência desses nome citados a única pessoa que me ajudou foi a enfermeira mesmo porque de resto não tive nenhum retorno
,NÃO SE APLICA,,3.0,Na vdd não tive contato com nenhum desses especialistas. Pouca informação!
,NÃO SE APLICA,,1.0,Meu filho não foi atendido por esses profissionais.
,NÃO SE APLICA,,1.0,Não fui atendida por essa equipe
,NÃO SE APLICA,,1.0,"Não tive acompanhamento de fisioterapeutas ,assistentes sociais  e o grupo da enfermagem não deu nenhum apoio e nem atenção."
,NÃO SE APLICA,,1.0,Não tive isso no hospital
,NÃO SE APLICA,,3.0,Não fui atendida por nenhum destes profissionais
,NÃO SE APLICA,,3.0,Não tive essa assistência
,NÃO SE APLICA,,2.0,Não recebi nenhum destes profissionais
,NÃO SE APLICA,,2.0,Não teve nenhum acompanhamento
,NÃO SE APLICA,,3.0,não tive atendimento desses profissionais
,NÃO SE APLICA,,3.0,Nao passei com nenhum desses profissionais citados.
,NÃO SE APLICA,,2.0,Não houve atendimento por essa parte da equipe!
,NÃO SE APLICA,,,
,NÃO SE APLICA,,1.0,Não teve
,NÃO SE APLICA,,3.0,"Não tive atendimento de fisioterapeutas, assistentes sociais, psicólogos e fonoaudiólogos."
QUEIXA,TODOS,QUALIDADE,3.0,Demora no agendamento e pouco tempo de atendimento
,NÃO SE APLICA,,3.0,Na verdade não tivemos nenhum profissional acima ##1f446-1f3fc##
,NÃO SE APLICA,,1.0,Não tive atendimento de tais profissionais
,NÃO SE APLICA,,1.0,Não tive atendimento destes profissionais
,NÃO SE APLICA,,2.0,Não tive atendimento com tais profissionais
,NÃO SE APLICA,,3.0,Nenhum desses profissionais foram até mim
,NÃO SE APLICA,,1.0,Não se aplica
,NÃO SE APLICA,,3.0,Não tenho como avaliar porque não fui atendida com nenhum deles
,NÃO SE APLICA,,1.0,Não passei por estes atendimentos
QUEIXA,TODOS,QUALIDADE,3.0,Falta um pouco pra ser melhor
,NÃO SE APLICA,,1.0,Não tive
,NÃO SE APLICA,,3.0,Não tive nenhum desses atendimentos
,NÃO SE APLICA,,2.0,Não tive acompanhamento
,NÃO SE APLICA,,3.0,"Não tive assistência de nenhuma dessas especializações, somente do pessoal da buco-maxilo facial"
,NÃO SE APLICA,,3.0,Não tive atendimento de nenhum desses
,NÃO SE APLICA,,2.0,Não tive atendimento de fisioterapeuta
QUEIXA,TODOS,TEMPO DE ESPERA,3.0,Fiquei no aguardo por muito tempo.
,NÃO SE APLICA,,2.0,"Não há motivo, nunca usei esses serviços."
,NÃO SE APLICA,,2.0,Não tive atendimento com esses profissionais.
,NÃO SE APLICA,,3.0,"Com a equipe não,com o convênio"
,NÃO SE APLICA,,3.0,Nao tive atendimento com esses profissionais .
QUEIXA,TODOS,QUALIDADE,2.0,Não tive a devida atenção
,NÃO SE APLICA,,3.0,Não passei por isso
ELOGIO,FISIOTERAPEUTA,QUALIDADE,3.0,"A fisioterapeuta foi maravilhosa, não tenho o que falar, nem dos médicos."
,NÃO SE APLICA,,3.0,Não tive contato
,NÃO SE APLICA,,1.0,Nunca a minha filha foi nem atendida por esses especialistas
,NÃO SE APLICA,,2.0,Não tive
,NÃO SE APLICA,,1.0,Não fui atendida nenhum desses profissionais
QUEIXA,FISIOTERAPEUTA,NÃO COMPARECEU ,1.0,Pela cirurgia eu precisava de fisioterapia e ngm foi me atender
,NÃO SE APLICA,,1.0,Não tivemos este atendimento citado acima
,NÃO SE APLICA,,3.0,Nao tive atendimento  com essas especialidade
,NÃO SE APLICA,,3.0,Não passei com nenhum deles
,NÃO SE APLICA,,2.0,Não tive o acompanhamento desses profissionais
QUEIXA,FISIOTERAPEUTA,QUALIDADE,3.0,Só tive acesso a fisioterapia. E está tbem estavam em conflito de informação. Uma dizia que tinha que pisar a outra dizia que não.
,NÃO SE APLICA,,3.0,Não tive insatisfação..fui bem atendida
,NÃO SE APLICA,,3.0,"Não tive esses atendimentos acima, no máximo o médico que operou e os técnicos de enfermagem se viseram presente no dia da internação"
QUEIXA,TODOS,QUALIDADE,3.0,Tempo pouco e muita gente
QUEIXA,TODOS,QUALIDADE,2.0,"Pouco acolhimento, muitas pessoas para o mesmo atendimento, desencontro de informações."
,NÃO SE APLICA,,1.0,Não teve isso.
,NÃO SE APLICA,,3.0,Na minha cirurgia não passou  psicóloga  fisioterapia e fonodiologos
,NÃO SE APLICA,,1.0,Não tive nenhuma avaliação
,NÃO SE APLICA,,3.0,nao recebi atendimento desses profissionais mencionado na pergunta acima (2)
ELOGIO,TODOS,QUALIDADE,1.0,Bem orientado quanto ao procedimento
,NÃO SE APLICA,,2.0,Não houve atendimento
,NÃO SE APLICA,,3.0,Não passei com esses medicos
,NÃO SE APLICA,,3.0,Não houve esses profissionais
QUEIXA,TODOS,NÃO COMPARECEU ,1.0,"Nao apareceu nenhum desses profissionais,  até precisei , mais disseram que estavam ocupado e depois vinham . Mais não vieram."
,NÃO SE APLICA,,2.0,Não tive esse atendimento.
,NÃO SE APLICA,,1.0,Não tive nem deles
,NÃO SE APLICA,,,
QUEIXA,TODOS,QUALIDADE,3.0,Eu acho q n fazem o exercício certos e adequados
,NÃO SE APLICA,,1.0,"Desconheço serviço , não tive acesso com tais profissionais"
,NÃO SE APLICA,,3.0,Minha equipe não tinha esse tipo de profissional
QUEIXA,PSICOLOGA,ACOLHIMENTO,3.0,Psicólogo meio irritado
QUEIXA,TODOS,QUALIDADE,3.0,Para fazer é muito pequeno o tempo última vez que eu fiz foi só 20 minutos
,NÃO SE APLICA,,1.0,Não tive atendimento de nenhum desses especialistas. Somente do meu médico e dos enfermeiros da unidade
,NÃO SE APLICA,,2.0,Não obtive acesso a nenhum desses
,NÃO SE APLICA,,1.0,Não tive nenhum desses atendimento embora tenha necessitado.
,NÃO SE APLICA,,1.0,Não tive atendimento com esses profissionais
,NÃO SE APLICA,,3.0,Não tive contato com essa equipe
,NÃO SE APLICA,,3.0,"Não fui atendido por nenhum fisioterapeuta, assistentes sociais, psicólogos ou fonoaudiólogos. "
QUEIXA,ASSISTENTE SOCIAL,NÃO COMPARECEU ,1.0,Não havia assistente social no hospital
QUEIXA,TODOS,QUALIDADE,3.0,Quando eu fui para o quarto tive pouca assistência
,NÃO SE APLICA,,1.0,Não teve nenhuma desses atendimento
QUEIXA,TODOS,QUALIDADE,2.0,Não dar total atenção. Mostrando desinteresse na situação do paciente. Nem tem o trabalho de fazer perguntas para der um diagnóstico preciso
,NÃO SE APLICA,,3.0,Não teve esse atendimento
,NÃO SE APLICA,,3.0,Não fui atendida por nenhum desses profissionais
QUEIXA,FISIOTERAPEUTA,QUALIDADE,3.0,"Só tive atendimento da fisioterapeuta, ela só me levou até o banheiro e voltou comigo e me deu um papel com exercícios pra fazer em casa, mais não demonstrou como era feito esses exercícios. Tive que fazer como eu entendi."
,NÃO SE APLICA,,2.0,Não teve
,NÃO SE APLICA,,2.0,Não tive atendimento
,NÃO SE APLICA,,3.0,Não cheguei a passar com nenhum deles
,NÃO SE APLICA,,3.0,Não houve esses atendimentos
,NÃO SE APLICA,,1.0,"Não tive nenhum desses apoios no hospital, fui mauito mal atendida, fiquei por horas esperando com a roupa da cirurgia em uma cadeira de rodas em baixo do ar condicionado na enfermaria esperando o momento da minha cirurgia sem nenhuma solução, mais de 4 horas de espera"
,NÃO SE APLICA,,,
,NÃO SE APLICA,,3.0,Não tive contato
,NÃO SE APLICA,,3.0,"Não teve insatisfação,mas não passei por esses proficinais"
,NÃO SE APLICA,,3.0,Não se aplica
QUEIXA,TODOS,QUALIDADE,2.0,Muito pouco profissional
,NÃO SE APLICA,,1.0,Não tive atendimento com esses profissionais
,NÃO SE APLICA,,3.0,Não tive esse tipo de atendimento.
QUEIXA,TODOS,TEMPO DE ESPERA,3.0,Demora em comparecer e tirar dúvidas.
QUEIXA,TODOS,TEMPO DE ESPERA,3.0,Demora atendimento
QUEIXA,TODOS,QUALIDADE,1.0,Vcs são péssimos em todos os setores
,NÃO SE APLICA,,1.0,Não tive atendimento deles. Então não posso avaliar. Mas como é obrigatório dar nota dei 1
,NÃO SE APLICA,,3.0,Não tive esse tipo de atendimento
,NÃO SE APLICA,,3.0,não tive atendimento com nenhum desses profissionais
,NÃO SE APLICA,,1.0,Não fui atendida por nenhum desses profissionais
,NÃO SE APLICA,,1.0,"Não tive atendimento com fisioterapeuta, assistente social, psicólogo ou fonoaudiólogos antes ou depois da cirurgia"
,NÃO SE APLICA,,,
,NÃO SE APLICA,,3.0,Na verdade nao tive atendimento com essa equipe portanto nao posso responder algo que nao tive
,NÃO SE APLICA,,3.0,Não tive contato com esses profissionais.
,NÃO SE APLICA,,3.0,"Não passamos com essas especialidades e as que passamos, tiveram muitas informações desencontradas e incompletas"
,NÃO SE APLICA,,,
,NÃO SE APLICA,,3.0,não passei por eles
,NÃO SE APLICA,,3.0,Não tive consulta com eles
QUEIXA,TODOS,FALTA DE INFORMAÇÃO,2.0,Não tive orientações completas
QUEIXA,TODOS,TEMPO DE ESPERA,1.0,Atendimento péssimo
,NÃO SE APLICA,,1.0,Não fui atendido por nenhum
,NÃO SE APLICA,,1.0,Não tive acompanhamento com nenhum destes profissionais
QUEIXA,ASSISTENTE SOCIAL,NÃO COMPARECEU ,1.0,"Bom dia, o hospital  não me apresentou a assistência social."
,NÃO SE APLICA,,1.0,Não tive esses atendimentos
,NÃO SE APLICA,,3.0,Não tive assistencia destes profissionais
,NÃO SE APLICA,,,
,NÃO SE APLICA,,2.0,Não utilizei o serviço desses profissionais
,NÃO SE APLICA,,1.0,O fisioterapeuta a assistente social e os psicólogos não foram nem lá quando  estava na enfermaria
,NÃO SE APLICA,,,
,NÃO SE APLICA,,1.0,Não recebi atendimento desses profissionais
QUEIXA,FONOAUDIOLOGO,QUALIDADE,,
,NÃO SE APLICA,,3.0,Não tive contato com esses profissionais
,NÃO SE APLICA,,2.0,Porque eu não tive estes atendimentos lá
,NÃO SE APLICA,,1.0,Eu não usei a equipe deste setor
,NÃO SE APLICA,,2.0,Não tivemos atendimento com esses proficionais .
,NÃO SE APLICA,,3.0,Não houve atendimento pelos profissionais
,NÃO SE APLICA,,2.0,No período de internação não tive apoio ou comparecimento de nem um dos especialistas acima.
QUEIXA,FONOAUDIOLOGO,QUALIDADE,3.0,Psicólogo e assistente não compareceram e o atendimento do fonoaudiólogo deixou a desejar
,NÃO SE APLICA,,3.0,Sem acesso
,NÃO SE APLICA,,,
QUEIXA,TODOS,TEMPO DE ESPERA,,
,NÃO SE APLICA,,3.0,Não tive atendimento
,NÃO SE APLICA,,,
,NÃO SE APLICA,,5.0,"Não tive , pq fiquei pouco tempo lá a cirurgia foi cedo sair a noite só foi a enfermagem não tive contato com os profissionais sai no mesmo dia"
,NÃO SE APLICA,,2.0,Não tive atendimento com nenhum desses profissionais
,NÃO SE APLICA,,3.0,"Eu não tive atendimento destas áreas citadas, ou se tive não foi identificado a mim. Na verdade a resposta correta seria não tenho opinião sobre estas áreas."
QUEIXA,FISIOTERAPEUTA,CONDUTA,3.0,"Somente uma das fisioterapeutas não foi gentil o necessário,  fez comentários desnecessários."
,NÃO SE APLICA,,3.0,Não teve contato com nenhum destes médicos
,NÃO SE APLICA,,1.0,Nenhum desses profissionais apareceu durante o período de internação.
QUEIXA,FISIOTERAPEUTA,QUALIDADE,3.0,Vou falar da fisioterapia já que o plano cobre vários tipos de cirurgia e na hora da recuperação a fisioterapia não é específica
QUEIXA,ASSISTENTE SOCIAL,ACOLHIMENTO,2.0,fiquei insatisfeito pelo fato de a assistência social não ajudar a minha mãe que estava me acompanhando a instrui-la.
,NÃO SE APLICA,,3.0,Não  tive atendimento com esses profissionais a cima mencionados!
,NÃO SE APLICA,,3.0,Não tive contato com nenhum desses proficionais.
,NÃO SE APLICA,,,
,NÃO SE APLICA,,3.0,Nao tive acesso a esses profissionais
QUEIXA,TODOS,ACOLHIMENTO,3.0,Foram no quarto só no dia da minha alta
,NÃO SE APLICA,,2.0,Não tive acompanhamento
QUEIXA,FISIOTERAPEUTA,QUALIDADE,3.0,O fizilterapeuta veio até o quarto me levou pra caminhar aí passei mal e ele não voltou mais
,NÃO SE APLICA,,,
,NÃO SE APLICA,,2.0,Não tive este tipo de atendimento
,NÃO SE APLICA,,,
,NÃO SE APLICA,,3.0,Não utilizo
,NÃO SE APLICA,,2.0,Não teve esses atendimentos.
ELOGIO,TODOS,QUALIDADE,1.0,"Bom atendimento 
Fiz as cirurgias estou muito satisfeita"
,NÃO SE APLICA,,2.0,Nao teve atendimento de nenhum profissional citado
,NÃO SE APLICA,,4.0,"Não houve nenhuma indicação para esses profissionais, não posso avaliar esse quesito!"
,NÃO SE APLICA,,1.0,Não utilizei nem um destes serviços
,NÃO SE APLICA,,3.0,Não fui atendido por eles
,NÃO SE APLICA,,3.0,Não tive acesso a nenhum desses profissionais
,NÃO SE APLICA,,2.0,"1 Não tive atendimento com nenhum desses profissionais citados.

2 Fui liberada às 23:20 da noite, se não tivesse condições de pegar um Uber para voltar para casa ficaria aonde?

3 Os enfermeiros do plantão que foram me ver, 2 no caso em momentos diferentes, pedi remédio pois estava com muita dor de cabeça e nenhum dos dois levou. Na recepção do andar na hora de sair, tornei a solicitar o remédio e a resposta foi que não poderia me dar pois eu estava de alta.

4 *A falta de atenção com os pacientes do pós operatório é muito grande*"
,NÃO SE APLICA,,1.0,"Nunca passei com nenhum acima, por isso não consigo avaliar, um atendimento que nunca tive"
,NÃO SE APLICA,,,
QUEIXA,TODOS,QUALIDADE,2.0,O mesmo problema
,NÃO SE APLICA,,,
,NÃO SE APLICA,,,
,NÃO SE APLICA,,3.0,Não usei esse serviço
,NÃO SE APLICA,,1.0,"Não tive atendimento de nenhum deles, embora precisasse do fisioterapeuta, psicólogo"
QUEIXA,FISIOTERAPEUTA,ACOLHIMENTO,2.0,Tive um problema com a marcação da fisioterapia e informei isso ao médico Dr Denis Yoshida e o mesmo jogou a responsabilidade de não ter iniciado a fisioterapia na data que ele estipulou a mim o médico me deu apenas duas semanas de atestado sendo que eu estou com dificuldade para andar ainda
,NÃO SE APLICA,,,
QUEIXA,FISIOTERAPEUTA,TEMPO DE ESPERA,1.0,O fisioterapeuta demorou muitoooo para passar no meu leito
QUEIXA,TODOS,FALTA DE INFORMAÇÃO,3.0,Não conversaram comigo a respeito do da recuperação. Tive alta no dia seguinte e hoje estou com dificuldade para urinar
,NÃO SE APLICA,,2.0,Não tive esse acompanhamento
,NÃO SE APLICA,,1.0,Não tive nenhum dessas especialidade como após a cirurgia
,NÃO SE APLICA,,3.0,Não passei com nenhum desses profissionais.
,NÃO SE APLICA,,1.0,Não tive nenhuma avaliação por esse profissional
,NÃO SE APLICA,,3.0,Não tivemos contato com fisioterapeuta
,NÃO SE APLICA,,1.0,Não tive atendimento por nenhuma dessas especialidades
ELOGIO,TODOS,QUALIDADE,1.0,Muito prestativos
,NÃO SE APLICA,,3.0,Não tive nenhum desses profissionais
,NÃO SE APLICA,,1.0,Não tive acompanhamento de nenhum destes profissionais
,NÃO SE APLICA,,1.0,"não tive contato com eles, mas por algum motivo estão me perguntando"
QUEIXA,TODOS,ACOLHIMENTO,2.0,Primeiramente agente nem ver eles ..quando precisamos não achamos nem mesmo os médicos na urgência e emergencia
,NÃO SE APLICA,,1.0,"Não fui atendido por esses profissionais acima citado, então não tem como avaliar."
,NÃO SE APLICA,,3.0,Ela não teve acompanhamento com fisioterapeuta nem fonoaudiólogos
QUEIXA,TODOS,TEMPO DE ESPERA,,
,NÃO SE APLICA,,3.0,Não houve suporte
,NÃO SE APLICA,,1.0,"Não tive contato com esses profissionais, eles existem na hapvida no pós operatório?????"
,NÃO SE APLICA,,3.0,Não posso avaliar não foi necessário esses tipos de atendimeto
QUEIXA,TODOS,ACOLHIMENTO,3.0,Não encontramos os profissionais facilmente
,NÃO SE APLICA,,3.0,Durante os dias que estive no hospital não tive nenhum atendimento com esses profissionais.
,NÃO SE APLICA,,3.0,Não foi necessário esse tipo de atendimento
,NÃO SE APLICA,,2.0,Nunca  consegui passar com nenhum deles
,NÃO SE APLICA,,3.0,Não tive nenhum tipo de contato com nenhuma dessas especialidades!
ELOGIO,TODOS,QUALIDADE,1.0,Todos profissionais bem preparados e atenciosos
ELOGIO,TODOS,QUALIDADE,1.0,Fui bem atendida
,NÃO SE APLICA,,,
,NÃO SE APLICA,,3.0,"Não se aplica. 
Não fomos atendidos por tais profissionais"
,NÃO SE APLICA,,3.0,Não utilizado esse serviço
,NÃO SE APLICA,,2.0,Não fui orientada por ninguem. Só tiraram minhas digitais de 1/1 hora
,NÃO SE APLICA,,3.0,Eu não tive atendimento com esses profissionais
,NÃO SE APLICA,,3.0,Não tive acesso a esses profissionais
,NÃO SE APLICA,,3.0,Não usei o serviço
,NÃO SE APLICA,,3.0,Não precisou
,NÃO SE APLICA,,1.0,Não houve atendimento com esses profissionais.e não teve opção
QUEIXA,PSICOLOGA,QUALIDADE,3.0,Psicólogo  acho que demora na resolução  e os pacientes desiste
,NÃO SE APLICA,,1.0,Não tiver atendendo com nenhum desses profissionais
QUEIXA,FONOAUDIOLOGO,QUALIDADE,2.0,"Não tive visitas de psicólogo,  e fono so na UTI,  mas não fui orientada a nada"
QUEIXA,TODOS,QUALIDADE,3.0,Simples no evoluir nas consultas
QUEIXA,TODOS,QUALIDADE,2.0,O ajuda estava muito fraco
QUEIXA,FISIOTERAPEUTA,QUALIDADE,3.0,Poucos profissionais pra muitos pacientes em atendimento na fisioterapia
QUEIXA,FISIOTERAPEUTA,QUALIDADE,3.0,Pouco assistido pelo fisioterapeuta. Não ouve exercícios específicos
,NÃO SE APLICA,,3.0,Eu não tive assistência desses profissionais
,NÃO SE APLICA,,1.0,Não tive acompanhamento de nenhum desses médicos pós cirurgia.
QUEIXA,TODOS,NÃO COMPARECEU ,3.0,Apenas tive contato com a fono.
,NÃO SE APLICA,,1.0,Nao tive nenhuma visita deste medicos
,NÃO SE APLICA,,1.0,"Não tive nenhum tipo de acolhimento por parte desses profissionais e olhe que eu precisei, mas NINGUÉM ACOLHEU"
,NÃO SE APLICA,,2.0,Não tive esse profissional
,NÃO SE APLICA,,3.0,Não tivemos atendimento com estes profissionais
,NÃO SE APLICA,,3.0,"Não tive contato com equipe de fisioterapia, psicólogos e fono"
,NÃO SE APLICA,,1.0,Não passei por eles não conheço o serviço
,NÃO SE APLICA,,1.0,Não recebi  atendimento  com esses profissionais
QUEIXA,FONOAUDIOLOGO,QUALIDADE,2.0,Não tive orientação da fonoaudióloga desde o início para orientar no amamentar
,NÃO SE APLICA,,3.0,não tive necessidade de visita por parte desses profissionais
,NÃO SE APLICA,,1.0,Não tive acesso a esse tipo de atendimento
,NÃO SE APLICA,,1.0,Não tive esse tipo de atendimento
,NÃO SE APLICA,,3.0,Não fui atendida por esses profissionais
,NÃO SE APLICA,,2.0,Não tive atendimento desses profissionais
,NÃO SE APLICA,,,
,NÃO SE APLICA,,1.0,Não teve nenhuma equipe dessa no dia da cirurgia
,NÃO SE APLICA,,3.0,"O pois cirúrgico não tive a visita de nenhum citados a cima, nem do médico que fez a cirurgia."
,NÃO SE APLICA,,4.0,Não teve
,NÃO SE APLICA,,,
