elogio_ou_queixa,grupo,motivo,comentario_p1
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"foi solicitada a chegada para internacao as 6h da manha e depois de muitos desencontros e acionar a coordenacao medica, a paciente idosa e ha quase 48h sem se alimentar foi internada quase meio dia. depois de internada houve mais demora para iniciar o preparo que comecou quase as 14h foram muitos desencontros e falhas no atendimento de todos os setores envolvidos. chegando ao ponto do medico subir para pegar a paciente. apos o exame mais espera para liberar a alimentacao, retirar o acesso e efetivar a alta que ja estava prescrita pelo medico. saimos do hospital mais de 21h"
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,"sim, com relacao ao leito compartilhado o que deixa o paciente e acompanhante um pouco incomodados. no meu caso tinha outra paciente com uma acompanhante mulher e eu com meu esposo."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,demora para realizar o cadastro de entrada
QUEIXA,ADMINISTRATIVO,QUALIDADE,desorganizado
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"uma demora de quase 3 horas esperando e meu filho chorando com fome, porem ele nao podia comer por conta da cirurgia"
QUEIXA,ADMINISTRATIVO,ACOLHIMENTO,tem que melhorar a ajuda para o aleitamento materno
QUEIXA,ADMINISTRATIVO,QUALIDADE,porque ainda nao consegui fazer acupuntura
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"a unica coisa que me deixou muito insatisfeita foi com a demora, estava marcada para 11 horas foi feita as 5 da tarde, meu filho passou mal de tanta fome e sede. fora isso foi tudo otimo. mas a demora sem explicacao foi o mais revoltante."
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,demorou um pouco
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,foi porque meu plano e pra apartamento eles me colocaram em enfermaria eu so nao gostei disso
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,fique mais de uma hora na recepcao e depois que fui liberado so fui atendido depois das 17h
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,muita demora pra ser chamada para ser chamada no centro cirurgico
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,sim foi muita demora pra atender cheguei la 9 horas eso fui atendida as13 00 fiquei todo esse tempo e jejum sendo que fiquei de jejum em casa das 20 horas do dia anterior estava com muita fome e so fui atendidaad13 00 porque fui reclamar que estava passando mal por ta muito tempo de jejum
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"marcou as 5 00 da manha entrei para o bloco as 11 00 jejum foi muito longo, fome, cede, passando mal. deveria ver essa questao e marcar no horario mesmo 6 horas de atraso"
QUEIXA,RECEPÇAO,QUALIDADE,"despreparo dos funcionarios na recepcao, falta de banheiro. fiquei ao ponto de desistir da cirurgia pois o lugar me passou inseguranca"
QUEIXA,ADMINISTRATIVO,QUALIDADE,foi preciso entrar pelo p. s. apoio nenhum
QUEIXA,ADMINISTRATIVO,QUALIDADE,chegamos as 3hs antes como foi pedido e ficamos esperando por muito tempo sem nenhuma informacao. cirurgia deveria ocorrer 11hs. foi para o centro cirurgico as 15hs. operado as 17hs. chegou no quarto as 19hs. solicitado para deixar o hospital a meia noite do mesmo dia.
QUEIXA,ADMINISTRATIVO,QUALIDADE,"tinha uma consulta no proctologista, porem nao encontrei a clinica e so gastei dinheiro com app 1f621 sacanagem ..."
QUEIXA,ADMINISTRATIVO,QUALIDADE,me veio uma moca quando eu havia subido pro terceiro andar se nao me engano me informa que meu filho nao estava com cirurgia agendada nao lembro como ela se apresento falei como nao se o hospital me ligou ontem me confirmou tudo correto so vou sair daqui com meu filho operado e uma cirurgia necessaria
ELOGIO,ADMINISTRATIVO,QUALIDADE,cordialidade de todos
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,a demora no atendimento
QUEIXA,ADMINISTRATIVO,QUALIDADE,"era pra eu ter ficado em um quarto antes e depois da cirurgia. mau acompanhante simplesmente nao teve noticias minhas das 6 da manha ate quase 22 da noite. a cirurgia terminou, o medico deu alta, o plantao das 19 chegou e so me liberou as 22hs. ainda perderam meu atestado."
QUEIXA,RECEPÇAO,ACOLHIMENTO,falta de empatia e organizacao de colaboradores na recepcao
QUEIXA,ADMINISTRATIVO,QUALIDADE,a rapidez no atendimento local muito cheio e tbm nao agravel
QUEIXA,ADMINISTRATIVO,QUALIDADE,por que foi tudo em cima da hora e nem explicaram muito as coisas
QUEIXA,ADMINISTRATIVO,QUALIDADE,tem vez que nao tem lugar pra sentar de tao cheio fora a demora pra atender
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,a espera
QUEIXA,ADMINISTRATIVO,QUALIDADE,"muita demora na recepcao para realizar o internamento, profissionais mal educadas, ambiente desagradavel, ar condicionado fazendo barulho. pior que um hospital do sus."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"demora no atendimento na chegada ao guiche,na recepcao"
QUEIXA,ADMINISTRATIVO,QUALIDADE,"3. passei dor ,fome, falta de agua"
QUEIXA,ADMINISTRATIVO,QUALIDADE,e tempo de espera para abertura de ficha tendo em vista que a paciente e totalmente acamada e ficamos na sala aguardado por mais de 30 min a abertura da ficha sem contar que biometria facil nao fazia o reconhecimento
ELOGIO,ADMINISTRATIVO,QUALIDADE,excelente
QUEIXA,ADMINISTRATIVO,QUALIDADE,entao cheguei muito cedo com minha acompanhante 1 hora antes do horario marcado da cirurgia porem quando fui internado no quarto demorou muito para nos atender fora que a cirurgia estava marcada para de manha fui fazer ja era quase noite compreendo que nesse dia tinha muitas cirurgias para ser realizadas porem e uma falta de organizacao do hospital por isso minha insatisfacao
ELOGIO,ADMINISTRATIVO,QUALIDADE,"desculpe, apertei o botao errado, o correto e muito satisfeito, a cirurgia foi um sucesso e fomos maravilhosamente bem recebidos, do comeco ao fim!"
ELOGIO,ADMINISTRATIVO,QUALIDADE,bem atendida
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"achei demorado e sem informacao, me marcaram para chegar la as 9h em jejum e no entanto so consegui dar entrada depois das 11h mesmo tendo chegado antes das 9h. e so fui operada apos as 13h"
ELOGIO,RECEPÇAO,QUALIDADE,"tenho dificuldade em usar o totem, quanto os porteiros e recepcionistas sao muito bons e educados"
QUEIXA,ADMINISTRATIVO,ACOLHIMENTO,"pq fui mal informada sobre onde esperar, dai eu fui a primeira a chegar, e a ultima a fazer a cirurgia."
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,"falta de organizacao, ps junto com quem ja esta agendado, sempre sem leito, ja estava com minha cirurgia agendada, porem tive que ficar internado no centro de recuperacao por falta de leitos"
QUEIXA,ADMINISTRATIVO,ACOLHIMENTO,"quando eu cheguei no hospital nem as recepcionista e porteiro nem olharam pra minha cara cheguei com muita dor , mais gracas a deus minha filha estava comigo me dando apoio ."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"o medico ja estava esperando no centro cirurgico e a recepcionista enrolando para me subir, ao subir tive que sair correndo para o centro cirurgico"
QUEIXA,RECEPÇAO,ACOLHIMENTO,nao sabiamos para onde ir nao conheciamos o hospital e o atendente nao nos deu uma direcao apenas mandou aguardar
QUEIXA,RECEPÇAO,QUALIDADE,"a equipe da recepcao atendeu bem, porem ocorreu falhas, nao me foi entregue o comprovante de internacao"
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,a acomodacao. pago plano com apartamento e ficamos na infermaria.
QUEIXA,ADMINISTRATIVO,QUALIDADE,"bem, minha ficha teve um erro, terminei o procedimento mas fiquei esperando porque errou entao achei um pouco insatisfeito com isso, quando fui trocar a roupa fiquei so como pede pra levar acompanhante e nao deixa ele com vc pra ajudar vc ."
ELOGIO,RECEPÇAO,QUALIDADE,"otimo atendimento, fui bem recebido pela equipe medica"
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"mandaram chegar antes das 06 00 e demoraram muito para chamar , subir para sala de preparacao mais de 07 00 ."
QUEIXA,ADMINISTRATIVO,QUALIDADE,"nao consegue ter o atendimento, a central marcou o dia da fisioterapia apos a cirurgia, quando cheguei na clinica fui informada que nao poderia ser atendida que a marcacao tinha sido um erro. fiquei muito chateada com toda a situacao, alem que estava com os pontos e sentindo dor, sair de casa me esforcando para poder ter a consulta e fui frustada"
QUEIXA,RECEPÇAO,ACOLHIMENTO,pessoal da recepcao bem grossos. voce chega la nervosa 6h da manha para fazer cirurgia e parece que as mulheres da recepcao estao trabalhando por obrigacao. cara fechada e sem educacao.
QUEIXA,ADMINISTRATIVO,QUALIDADE,"demora do atendimento ate a ida para o quarto. a nutricionista passou somente 1 vez, e a dieta tive que reclamar por duas vezes que estava errada."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,demora no atendimento da recepcao somente 2pessoas pra atender
QUEIXA,ADMINISTRATIVO,QUALIDADE,poucas informacoes
QUEIXA,RECEPÇAO,ACOLHIMENTO,nao tive acolhimento de psicologos e fisioterapeutas entao nao tem como avaliar e so tenho uma reclamacao que e com o recepcionista na hora da minha saida quando fui pedi uma declaracao para meu acompanhante e ele foi super rude e ignorante fora isso eu dou sim para os outros
QUEIXA,RECEPÇAO,ACOLHIMENTO,"as recepcionista de cara feia, da um bom dia, quase nao responde"
QUEIXA,ADMINISTRATIVO,AUTORIZAÇÃO ,"minha insatisfacao nao e com os profissionais em especifico, pois foram todos muito gentis. o problema e que me foi dito por mensagem e me foi entregue uma folha no hospital pedindo pra chegar 3 horas antes da cirurgia, que aconteceria as 6h. cheguei de madrugada e apoia minha chegada falaram que eu so poderia entrar no hospital depois das 6h. tive que ficar na recepcao esperando autorizarem a minha entrada. por que me pedir pra chegar 3h da manha se bem entrar no hospital eu poderia?"
QUEIXA,RECEPÇAO,ACOLHIMENTO,"me informaram para chegar no hospital as 11h, dei entrada com a recepcionista que solicitou que eu aguardasse e somente as 13h quando fui perguntar se teria algum retorno sobre a minha cirurgia, fui informado que na verdade a minha cirurgia estava agendada para as 15h, ou seja, eu poderia ter sido avisado antes"
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"cheguei antes das 3 horas previstas, e mesmo assim, so me atenderam 3 horas dps, fiquei 3 horas esperando na recepcao para ser atendida e me levarem para o quarto. so subi pro quarto dps do horario previsto da cirurgia o que fez atrasar tudo"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,demora na recepcao
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"cirurgia agendada para as 13h, so fez a cirurgia as 18h, fiquei 5 horas sentado em uma cadeira de rodas desconfortavel, com dores de cabeca, pois estava de jejum desde o dia anterior."
QUEIXA,ADMINISTRATIVO,QUALIDADE,ok. tenho so a reclamar com esse plano horrivel nao responder a gente preciso do meu exame que nao me deram
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,"nao acharam vaga no quarto pra mim entao nao tenho como havaliar melhoro servico de enxoval,as enfermeiras disse que nao poderiam me da nada pra comer em quanto eu nao fosse pra o quarto entao nao posso havaliar tambem, eu acredito e que teresa de lisie e um hospital grande que tem condicoes financeiras mas precisa de uma equipe interna mas organizada falta equipe organizacional mas treinada ,equipamentos modernos e um leitos menos lotados. hoje tenho medo de fazer outra cirurgia la e passar pelas mesma coisas ou pior"
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,demorou pra subir pra cirurgia
QUEIXA,ADMINISTRATIVO,FALHA NO APARELHO,nao aparece minha biometria e tenho que passar pela recepcao.
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"descaso no atendimento da recepcao.aguardei mais que o tempo informado de espera e quando ultrapassou o horario ainda tive que ficar perguntando ,so assim me chamou para fazer a ficha ,sendo que poderia ter feito no momento que cheguei pois eu era a unica esperando.mas aguardou ultrapassar o horario depois da 5hs e mesmo assim nao chamou e continuava sendo a unica esperando ,so fez quando fui reclamar e ja era quase 6hs."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,mta espera pra vir um recepcionista atender
ELOGIO,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,"cheguei para operar nao tinha leito, tive de ficar praticamente os 2 dias no repouso da cirurgia lotado sem acesso a visitas"
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,demora pra subir pro internamento
QUEIXA,RECEPÇAO,QUALIDADE,"quando eu fui fala com uma recepcionista, nao gostei do tratamento dela com a minha pessoa. gostaria que as recepcionistas fossem mais atenciosas e simpatica com o melhor atendimento possivel para os pacientes."
QUEIXA,ADMINISTRATIVO,QUALIDADE,"hospital muito pequeno, nao suporta a capacidade de pessoas que tem o plano de saude, superlotacao, tanto eu quanto a minha filha passamos por cirurgia no guaras e foi terrivel, bloco cirurgico super lotado, atrasamos horassss a cirurgia marcada, e depois de operada ainda tivemos que ficar esperando desocupar um leite pra ser transferida pra a enfermaria 1f926 1f3fd 200d 2640 fe0f 1f926 1f3fd 200d 2640 fe0f sinceramente muito ruim o servico aqui"
QUEIXA,MAQUEIRO,TEMPO DE ESPERA,"tive um aborrecimento com a demora do maqueiro no dia da minha alta,fora isso na a reclamar."
QUEIXA,PORTEIRO,ACOLHIMENTO,nao me recordo de ter um porteiro no momento da minha chegada.
QUEIXA,RECEPÇAO,QUALIDADE,quase perdi o horariop da cirurgia por falta de comunicacao da recepcionista
QUEIXA,ADMINISTRATIVO,QUALIDADE,internacao e muito cedo para quem mora longe e uma atendente so para quem esta em jejum que chega no horario marcado que e 6 horas da manha
QUEIXA,ADMINISTRATIVO,QUALIDADE,"depois da cirurgia nao fui medicada apos cirurgia para dor , como foi cirurgia ortopedica tive muita dor so fui medicada apos reclamar a preocupacao foi com a saida que estava programada para a tarde"
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"muita demora ate subir para o quarto, mais de 5 horas esperando na recepcao"
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,eu cheguei as 4 da manha e fiquei muito tempo esperando.
ELOGIO,ADMINISTRATIVO,QUALIDADE,fui bem atendido
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,muita demora
QUEIXA,ADMINISTRATIVO,ACOLHIMENTO,"depois que tiraram as senhas ninguem te atende, tem que ficar pedindo licenca pra atendente pra poder ser atendido, as 3 horas de antecedencia sao gastas logo na chegada"
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,muita demora pra localizar o que e necessario ser feito
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"nos viemos de fora aguardamos a ultima pessoa ser atendida quando chegou nossa vez tivemos que aguardar mais 30minutos para sermos atendidos, alegando que estava cedo sendo que falarmos para nos chegarmos 3horas antes para fazer o procedimento."
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,"a estrutura foi improvisada, muitas reclamacoes em relacao a organizacao dos leitos. demora para descer da cirurgia por falta de leito"
ELOGIO,ADMINISTRATIVO,QUALIDADE,bom atendimento
ELOGIO,ADMINISTRATIVO,QUALIDADE,pessoal muito educados
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,"a insatisfacao nao se deu por conta da equipe de enfermagem, eles foram otimos. e sim pela a superlotacao so hospital. temos direito a apartamento e neste dia, nao havia vaga, meu filho realizou a cirurgia e a noite tivemos que sair do hospital. alem de que, somos do interior do estado. por isso nao sentimos o acolhimento."
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"me deixaram esperando muito tempo em um box, pos o banho"
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"fui informado que deveria me internar as 4 horas da manha, fui para o quarto ja eram mais de 9 da manha"
ELOGIO,ADMINISTRATIVO,QUALIDADE,muito bem atendido
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,muita demora para todo o processo de intervencao e pre operatorio
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,fila de espera enorme
QUEIXA,ADMINISTRATIVO,QUALIDADE,"ao chegar na recepcao era bem na troca de turno, uma das meninas disse pra eu aguardar que iriam me chamar e nao me chamaram, tive que ir novamente falar com a outra moca no novo turno. quando subi no quarto, iam me colocar num leito com as roupa de cama toda rasgada, mas a infermeira viu e gracas ao cuidado dela ela me colocou em outro leite em condicoes melhores, quando me levaram para o centro cirurgico e me deixaram aguardando me colocaram num lugar escondido e ninguem conseguia me achar tive que gritar para me encontrarem estavam ligando para alguem porque nem estavam me localizando, a pessoa falou comigo confirmou e depois nao sabia que eu estava la, sinceramente nao me senti tratada com humanidade e sim parecia uma linha de producao. a equipe que fez a cirurgia super atenciosos quanto a isso nao tenho o que falar foram maravilhosos. minha cirurgia era por volta das 16 30, as 17h eu ja tinha terminado a cirurgia e me levaram pra o quarto somente por volta das 21h e eu estava ha horas sem comer e me deram uma bisnaguinha com geleia e cha eu chorei muito porque achei um descaso. a alta foi pessima estava prevista pra sair por volta das 7 30 e fui sair se nao me engano as 13 00 fiquei no pe pedindo para o medico so ir la e falar esta liberada enfim..."
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,"como disse, nao foi providenciada acomodacao"
QUEIXA,ADMINISTRATIVO,QUALIDADE,informacoes confusa
ELOGIO,ADMINISTRATIVO,ACOLHIMENTO,muito bem recebido
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"a demora no atendimento, demora pra subir pra cirurgia e a demora maior foi pra sala de cirurgia. minha cirurgia estava marcada pra 19 horas , fiquei num quartinho imundo , esperando ser chamado. mim chamaram 3 da manha .mais de 12 horas em jejum. pessimo atendimento. hospital horrivel."
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,custou muito eu subir para o quarto
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,so a demora pra ser atendido
QUEIXA,ADMINISTRATIVO,AUTORIZAÇÃO ,primeiro porque cirurgia ocorre tive que acionar a ans.
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,demora
ELOGIO,ADMINISTRATIVO,QUALIDADE,nao tenho nada o que reclamar foi tudo perfeito!
QUEIXA,ADMINISTRATIVO,QUALIDADE,"desorganizado, quantidade de pessoas excedente ao tamanho do espaco. depois de horas esperando consegui ser atendida pelo acolhimento a responsavel falou que ia resolver mas nao resolveu nada pessimo trabalho do acolhimento."
ELOGIO,ADMINISTRATIVO,QUALIDADE,bom atendimento
ELOGIO,ADMINISTRATIVO,QUALIDADE,foi otima
QUEIXA,ADMINISTRATIVO,ACOLHIMENTO,nao souberam me orientar
QUEIXA,ADMINISTRATIVO,QUALIDADE,"nao fiz fisioterapia pelo convenio so tem uma clinica que atende toda regiao de sorocaba, o atendimento da clinica pessimo demora 2 dias para retorno pelo whatsapp, agenda muito distante"
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,atraso geral
ELOGIO,ADMINISTRATIVO,ACOLHIMENTO,"equipe muito atenciosa, tirando duvidas sempre que necessario"
ELOGIO,ADMINISTRATIVO,QUALIDADE,foi bom ultima consulta foi no santa maria foi um pouco trastono
QUEIXA,ADMINISTRATIVO,QUALIDADE,"fomos para o exame as 16 00h ficamos na espera ate 17 30h quando entramos para fazer o exame de colonoscopia, fizeram a biopsia, mas ate hoje dia 15 09 2025, nao saiu o resultado da mesma, entro no site faco uma pesquisa, mas nao tem a solicitacao do exame de biopsia na parte de resultado de exames, so vejo na parte de protocolo mas nunca sai o resultado, quero saber o que aconteceu?"
QUEIXA,ADMINISTRATIVO,QUALIDADE,"nao foi durante a chegada e sim na resolucao do problema... era gestante de alto risco. fiz o plano em fevereiro e, so consegui um atendimento com a ginecologista de alto risco em maio. nao tive pre natal. todas as minhas queixas eram sanadas na emergencia... fui para a emergencia com 37 semanas e tive que interromper a minha gestacao, pois meu bebe estava sem oxigenacao... tive o diagnostico do medico que fez a ultrassom as 15h. e ele foi muito bem claro que teria que ser operada o quanto antes... a ginecologista do plantao fez pouco caso. assim como o pessoal da coordenacao. o plano negou a cirurgia e demorou cerca de cinco horas para liberar a guia para pagamento ... um absurdo total. eu poderia ter perdido meu filho naquele momento... ainda tive que esperar ate as 23 48h para que a cesaria fosse realizada... no meio do procedimento, a maquina de oxigenacao parou.... meu bebe ficou numa banheira improvisada. totalmente diferente do bebe que estava dividindo o quarto conosco. nao me medicaram corretamente. a vacina versa, tomei na saida da maternidade porque questionei a prescricao dela na minha receita de alta. ou seja, esqueceram de aplica la quando eu estava internada."
QUEIXA,RECEPÇAO,QUALIDADE,"o atendimento na recepcao nao foi bom , a demorar para atender foi muito grande , nao tive um lugar para descansar em paz"
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,pois o meu plano e de apartamento e apos a cirurgia fiquei mas de 40 minutos no corredor na marca e nao me levaram pro apartamento
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,"nao fui transferida para o quarto, meu acompanhante e eu ficamos na enfermaria ate a minha alta, perguntamos varias vezes quando seria a minha transferencia e eles sempre falavam que nao tinha vaga, meu acompanhante teve que dormir em uma cadeira quebrada, que nem se quer dava pra deitar. fiz uma cirurgia complexa, estava exausta, com sono e nao dava pra dormir pois era muito barulho de conversa de outros pacientes e enfermeiros tambem, luz acesa o tempo todo. foi muito desagradavel."
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,nao na chegada mas sim a burocracia na nacao da cirurgia muito demorado
ELOGIO,RECEPÇAO,ACOLHIMENTO,havia uma recepcionista ao lado do totem que de pronto nos atendeu e nos orientou
