comentario_p1,previsao,probabilidade_de_acerto
totem sem funcionar,QUEIXA,97.2%
deveriam ser mais rapidos e ser mais atenciosos ate porque e uma rede privada.,QUEIXA,93.22%
"falta de empatia no atendimento com os pacientes, falta de apoio e comunicacao",QUEIXA,97.71%
"geralmente nunca tem niguem pra auxiliar, como o fluxo do hapvida ta igual ou pior que uma upa,super lotado,apenas uma pessoa so nao da conta de auxiliar na porta,no totem,ate porque os recepcionista so ficam sentados em atendimento la..",QUEIXA,97.98%
recepcao ok . mais a forma da preparacao e espera da sirugia orivel. todos juntos. homems. mulheres . idoso e jovem. ate pessoas doentes no mesmo lugar. esperando ser chamado,QUEIXA,97.02%
desculpa eu errei,OUTROS,86.29%
totem nao funcionava,QUEIXA,97.25%
"estava com contracoes, minha bolsa ja havia estourado e demorou bastante para que eu pudesse ser atendida",QUEIXA,97.3%
muito descaso,OUTROS,85.14%
muita gente no hospital,QUEIXA,96.44%
"so tenho a questionar o momento que ficamos fazendo todo o preparo, tipo o local que a gente fica, e a demora do leito para aguardar o momento da cirurgia.",QUEIXA,97.13%
hospital muito cheio e desorganizado,OUTROS,85.48%
recepcionista bastante antipatica,OUTROS,72.94%
os maqueiro ajuda em nada,QUEIXA,93.77%
haviam dois colaboradores conversando proximo ao totem que ate dificultaram minha aproximacao,QUEIXA,94.84%
boa noite. cheguei para ser internada as 00h porem fiquei ate mais ou menos 1 30.h 2h da manha para conseguir um.leito. perderam minha ficha e meu documento dentro do hospital,QUEIXA,97.87%
sempre foi muito bem recebido e atendido por todos.,ELOGIO,99.74%
ok. devido a demora da cirurgia que estava marcado pra 06 00 da manha no domingo e foi realizado as 17 00 no domingo.,QUEIXA,96.94%
falta de leito,QUEIXA,97.93%
pessimo,QUEIXA,94.55%
nao tive suporte necessario falta de maqueiro e as recepcionista malmorada,QUEIXA,97.72%
atendimento muito lento,OUTROS,74.87%
passa pelo comeco do parto na sala de medicacao foi constragedor,QUEIXA,96.28%
muita ruim,QUEIXA,90.5%
"a coordenadora da area, falou comigo 1x e me explicou algumas coisas, foi bom, mas so estava presente pela manha, o resto dia nao estava mais la. nao vejo sentido. o caso da minha mae, era um ca de pancreas e sim, nos sempre tivemos conhecimento da gravidade. mas mesmo assim, eu acredito que o paciente nao deve ser tratado como sem jeito , merece respeito e cuidado ate o ultimo suspiro. e esse descaso, percebi no hapvida ao longo dos 15 meses que andamos em medicos, clinicas, consultorios.",QUEIXA,97.48%
na chegada foi tudo bem,OUTROS,69.02%
"os recepcionistas que ficam na chegada do hospital pronto socorro parecem que trabalham forcados. mal humorados, nao nos orientam bem. sempre que preciso ir ao hospital sinto que os recepcionistas de forma geral estao muito insatisfeitos com a funcao que exercem.",QUEIXA,96.53%
se vim transferida de uma unidade chegando la tive q espero ainda pra uma nova avaliacao sendo q vim transferida,QUEIXA,91.17%
ops era o 5,QUEIXA,95.69%
"nao tinha maqueiro nao tinha cadeira pois entrei praticamente desmaiada a moca que fica no balcao nunca quer ajudar podendo fazer a entrega ja que quando entro sempre estou mal, ela sempre mandar ir para totem podendo adiantar o processo ja que volto para o balcao pois sou prioridade",QUEIXA,97.78%
nao tenho interesse,OUTROS,82.79%
demora no atendimento e sem saber dar explicacoes simples sobre a ordem de atendimento,QUEIXA,97.58%
desculpe e 5,ELOGIO,91.67%
o seguranca pegou no meu braco no momento que eu estava indo ao banheiro. assim que eu melhorar irei ao hospital para resolver isso.,QUEIXA,97.22%
"sobre o meu leito que so foi liberado no outro dia depois da minha alta , e zero atencao pra minha esposa que tava me acompahado. achei uma faltar de respeito, e no meu caso translado, moto no iguatu e minha cirurgia foi em fortaleza, sao quase 8 horas de onibus",QUEIXA,98.25%
sublima print agradece seu contato. como podemos ajudar?,OUTROS,83.2%
esperei um dia para pode ir p o quarto.. antes disso fiquei em uma poltrona. com frio e fome,QUEIXA,97.63%
"a equipe que me atendeu no primeiro plantao,achou que eu estava fingindo com a dor , na troca de plantao que deram atencao a gravidade do problema estava tendo um infarto no intestino.me deram o atendimento necessario.",QUEIXA,97.08%
desculpe e 5,ELOGIO,91.67%
bom dia,OUTROS,67.39%
desculpa respondi errado,ELOGIO,99.55%
"desculpe , nota 5",ELOGIO,95.81%
"muita demora para atender e para o procedimento, esperei mais de 10 horas para efetuarem o procedimento cirurgico",QUEIXA,98.07%
demora,QUEIXA,98.06%
vcs descredenciaram mais da metade das especialidades medicas no abc agora preciso de um clinico hepatologista e vcs querem que entre ida e volta eu me desloque 74km com 2 drenos pos cirurgico pendurado para ter atendimento medico. isso e no minimo ridiculo vcs tinham 3 medicos nessa especialidade no abc vcs descredenciaram e nao credenciaram outro e no abc solicito credenciamento,QUEIXA,97.38%
fiz a cirurgia e nao me colocaram no quarto me deixaram na enfermaria,QUEIXA,97.59%
bom dia,OUTROS,67.39%
"o hospital nao da suporte nas vacinas e no exame rn esperam 24 horas e te mandam embora sem o rn ter tomado a bcg e exame do pezinho, ai marcam em um laboratorio lotado pra ir depois com um rn, vcs nao tem cuidado nenhum e empatia pelo puerperio da mae, so querem que desocupe logo o quarto um absurdo!",QUEIXA,98.06%
sem sistema travado,QUEIXA,95.47%
"cheguei por volta das 6 30 e por estar proximo a troca de plantao, houve demora no atendimento na recepcao da maternidade... poderiam ter dado entrada na minha internacao, pois foi algo rapido...",QUEIXA,96.38%
entao demorou muito,QUEIXA,93.76%
reembolso referente ao convenio,OUTROS,83.21%
demora pra liberar internacao,QUEIXA,97.98%
"falta de orientacoes quanto aos procedimentos, orientacoes confusas e diferentes fornecidas aos pacientes, demora de mais de 4h para realizacao de procedimentos que haviam sido agendados. alem disso, agendamento confuso. convenio libera exames para hospitais que nao realizam os mesmos",QUEIXA,96.14%
errei,OUTROS,85.24%
muito satisfeito,ELOGIO,93.51%
"funcionarios,imcapacitados",OUTROS,86.17%
vou muito satisfeito ou seja foi top 1f44f 1f64f 1f64c,ELOGIO,90.32%
"sou o acompanhante cheguei ao hospital com a ambulancia para realizar cateterismo do paciente titular, me informado que a que deveria ir pra uma recepcao, nao era, me mandaram pra outra nao era, e cheguei na que era nao tinha ninguem pra atender esperei por 10 min e nada, e o paciente estava na area de emergencia sem eu acompanhar em quanto isso. ninguem me atendeu voltei pro pronto socorro, so ai me ajudaram a chegar no mesmo lugar que esperei por 10 min.",QUEIXA,98.27%
falta de suporte e tempo de espera na recepcao,QUEIXA,98.17%
mandei alternativa errada,OUTROS,76.95%
tempo de espera muito longo. tempo para alta muito curto.,QUEIXA,97.75%
pessoas atrapalhadas e pouco pra colaborar,QUEIXA,97.56%
dificuldade em encontrar especialista.,QUEIXA,91.2%
"conversas paralelas entre o apoio do totem, a porteira.",QUEIXA,94.4%
demora no atendimento.,QUEIXA,97.91%
desculpa errei era 5,OUTROS,74.48%
pois nao fiz o bloqueio por conta nao me avisaram,QUEIXA,96.56%
ninguem para orientacao no totem,QUEIXA,97.57%
"a demora, sabendo da urgencia do paciente, recem operada, com sangramento externo",QUEIXA,91.06%
"a minha estava em pre obito nao tivemos sequer um auxilio para que fosse direto para o quarto expondo a paciente e os familiares a situacoes de altissimo estresse, sendo um momento tao delicado ainda tivemos que praticamente discutir para conseguirmos um quarto e poder oferecer o minimo de dignidade nessa fase final.",QUEIXA,97.88%
errei o corretor e 5,OUTROS,85.24%
"me pediram pra comparecer com 3 horas de antecedencia . como a cirurgia estava marcada pras 10 horas, compareci as 6 45 . mas fiquei aguardando ate as 8 horas. quando fui questionar eu tinha que pegar uma senha pra ser atendido, a atendente me disse que nao porque ja havia sido agendadoa a cirurgia. entao questionei o porque da demora. ai me disseram que era por causa da troca de turno. ai eu pergunto pra que essas 3 horas de antecedencia ?",QUEIXA,98.26%
nao tenho interesse,OUTROS,82.79%
fui ao hospital 3 vezes nesta semana. em 1 das vezes o atendimento foi demorado.,QUEIXA,95.63%
era 5,QUEIXA,95.69%
recebimento otimo pelas atententes,ELOGIO,99.95%
"pra comecar marcou pra internar as 10 00 hrs da manha e a cirurgia as 13 00 porem ele foi chamado pra cirurgia as 16 00 mas foi feito depois das 17 00 sendo que meu e idoso com 79 anos e diabetico e depois da cirurgia que ele voltou da anestesia nao veio embora ate concordo pela idade ,mas ele ficou na observacao ate no outro dia nao mandou pro quarto pra ter mais conforto e teve que ficar uma companhia nas pessimas condicoes de leito e depois o medico disse que ia dar alta pra ele bem de manha e foi dado a alta depois das 14 00 hrs entao deixo a minha indignacao pq eu fiz uma cirurgia no sus e nao fui mal acolhida como meu pai e sendo que nao pagamos barato o convenio deles",QUEIXA,98.22%
"muitas pessoas na recepcao inclusive atrapalhando a passagem de emergencias, no meu caso a chegada ate a maternidade que fica na mesma unidade so que em outro local.",QUEIXA,96.84%
nao estou insatisfeito so acho que vou medio a recepcao,QUEIXA,95.68%
tinha apenas uma pessoa na recepcao,QUEIXA,97.93%
"p estacionar , no desembarque de um idoso",QUEIXA,96.0%
qual cirurgia?,QUEIXA,95.12%
"muito tumulto, apenas 1 recepcionista para atender e ainda com cara de insatisfeita com o trabalho.",QUEIXA,97.13%
5 muito satisfeito,ELOGIO,93.51%
"cheguei no hospital era mais ou menos 02 45 da manha, com muito sangramento. nao tinha nenhuma atendente nos guiche, so um seguranca. falei pra ele que estava em trabalho de parto e com muito sangramento e ele pediu que eu fosse ate o toten e retirasse a pulseira. eu em trabalho de parto, quase morrendo de dor, com muito sangramento, ter que informar um monte de dados pra dar entrada no hospital ? isso ja foi um erro gravissimo do hospital.",QUEIXA,98.18%
"o medico fez um excelente trabalho com a equipe, so tenho a pontuar que demorou de surgir quarto livre",QUEIXA,95.74%
nao sabiam para qual setor me enviar,QUEIXA,95.88%
"insatisfacao total, pois ja imaginava o iria acontecer",OUTROS,85.23%
"outra coisa que me aborreceu muito foi a falta de humanidade de ver os funcionarios trabalharem em funcao de uma maquina, que o tempo todo estao atras de pacientes para colocarem a digital, sendo escravos desse controle e muitas das vezes nao conseguem realizar seu servico com qualidade ,pois demanda tempo em fazer a maquina funcionar,toda hora da problema, enquanto poderiam estar fazendo seu trabalho, estao ansiosos correndo atras de digitais. o medico que operou o femur tive so o controle de 15 dias, pois ele saiu do convenio. a dificuldade que tive pra agendar outro especialista me gerou muito desgaste, me deixando muito insatisfeita com servico, quase tive que pagar uma consulta particular ou acionar a justica. o msm esta acontecendo com o medico que realizou a cirurgia do tornozelo., muito dificil agendar consulta com ele. poucos medicos para muita gente e cidades, pois concentram todo mundo em um unico local para essa especialidade. esta faltando mais organizacao e um pouco mais de empatia com os usuarios, pois realizei a cirurgia no lifecenter, o retorno e na clinica minerva onde nao tem o servico de raio x, e os pacientes ,como eu, sem locomocao, a dificuldade e desconforto em se locomover p tirar raio x em um lugar e ir p a consulta em outro. afinal acho que nao custa tentar se colocar um pouquinho no lugar do outro. enfim ,estamos pagando por isso neh. desculpe me pelo desabafo, mas realmente depois de juncao da hapvida com meu convenio esta deixando muito a desejar. estao querendo abracar o mundo, mas nao estao dando conta de manter a qualidade, so acumulando trabalho em cima dos funcionarios sem pensar na saude mental deles. meus sobrinhos e amigos iam contratar o convenio, mas desistiram depois de ver meu sofrimento. eu tbm nao indico mais ,por enquanto nao, se nao melhorar.",QUEIXA,98.03%
cheguei 7 horas e so fui atendida as 11 horas,QUEIXA,96.5%
"ops, muito satisfeito, numero 5",ELOGIO,93.51%
demora ao ser recepcionado,QUEIXA,98.07%
nao tenho interesse,OUTROS,82.79%
sem maqueiro,QUEIXA,96.1%
5 na verdade,OUTROS,87.13%
errei,OUTROS,85.24%
nao tenho interesse,OUTROS,82.79%
"pior dia da minha vida, paguei 6000. para nao ter acolhimento de nenhum medico ou enfermeira. fiquei na sala de medicacao ate 8 cm, sentindo dor, querendo cesaria, o quarto de parto. me subiram pro quarto e nao tinha ninguem comigo durante muito tempo, so nao pari sozinha no banheiro pq segurei, chegaram medico e enfermeiro quando ja estava a cabeca pra fora, depois do parto fiquei mais 6 horas na sala de parto ate liberar o quarto, toda cheia de sangue meu marido nao pode nem ir no banheiro. nao devia ter quarto nem sala de parto disponivel pra mim, um descaso total, o processo vem!",QUEIXA,98.26%
eu estava com muitas dores e houve uma demora no atendimento.,QUEIXA,97.58%
eu achei confiante,QUEIXA,94.36%
errei,OUTROS,85.24%
atendimento muito demorado,QUEIXA,94.65%
falta orientacao por parte do pessoal da recepcao e ajuda para o totem,QUEIXA,96.48%
corrigindo 5,OUTROS,85.24%
demora no atendimento cheguei cedo fui atendido a noite,QUEIXA,93.97%
nao fiz cirurgia nenhuma estou aguardando fazer ablacao que a hapvida nao da nenhum retorno,QUEIXA,97.54%
hospital com falta de funcionarios no dia da cirurgia. demora pra conseguir um maqueiro,QUEIXA,98.28%
avaliei errado,ELOGIO,91.6%
marcaram pra eu internar as 5 e so internei as 6 30,QUEIXA,97.43%
falta alguem para dar informacoes na portaria,QUEIXA,95.76%
ela tava passando muito mal a demora na internacao foi muito,QUEIXA,97.53%
muita demora num local que os pacientes gritavam falavam alto entre eles e ao celular. precisam realmente colocarem normas para os pacientes. tenho um treinamento em bioseguranca e isto nao pode acontecer a normas de silencio nos ambientes hospitalares. nao tenho queixas do pessoal do hospital fomos muito bem atendidas. mais os pacientes sao sem nocao. minha mae estava com pneumonia 87 anos nun ambiente que parece msnicomio,QUEIXA,96.98%
o atendimento e rapido na recepcao mais quando cha a ora da medicacao e uma tortura.,QUEIXA,96.82%
"quanto a cirurgia tudo bem mas, meu documentos da liberacao mim entregaram de outra pessoa inclusive a minha receita onde eu comprei os remedios e tomei, sorte que nao sou alergica a dipirona ,vcs disseram que foi esquecimento meu.",QUEIXA,96.34%
"atendimento humanizado, medicos atenciosos, rapidez nas aprovacao de autorizacao para exames e procedimentos",OUTROS,57.7%
fiquei no hospital parecendo o acougue. tenho uma ressonancia p fazer ainda nao consegui fazer,QUEIXA,96.8%
pessimo atendimento nao quero conta com esse plano,QUEIXA,93.95%
so tinha uma recepcionista atendendo as demandas e o sistema estava fora do ar.,QUEIXA,97.51%
cheguei as 11 da manha e fiquei sozinha a espera da cirurgia que ocorreu 20 hrs muita desorganizacao,QUEIXA,97.63%
o hospital como um todo e pessimo,QUEIXA,94.23%
coloquei errado desculpa,ELOGIO,99.44%
nao tenho interesse,OUTROS,82.79%
estou aguardando um retorno de um protocolo que solicitei ja tem 2 meses e ate hoje nao tive nenhum retorno,QUEIXA,97.14%
"tudo, meu marido nao tinha cadeira ele teve q ir andando pra emergencia enfartando",QUEIXA,97.58%
ja foi relatado,QUEIXA,93.27%
prefiro nao comentar,QUEIXA,97.42%
desculpa votei errado 5,ELOGIO,99.55%
"boa tarde na verdade maqueiro porteiro recepcionista totem, foi tudo bem.",OUTROS,52.54%
"sempre que e necessario o apoio de um maqueiro, a espera e muito grande , as vezes nos fazendo desistir",QUEIXA,97.03%
"quantidade enorme de pessoas, muita espera",QUEIXA,95.25%
perdao,OUTROS,85.24%
desculpa coloquei errado,ELOGIO,99.44%
referente ao atendimento da recepcao nao tenho nenhuma queixa..,QUEIXA,95.51%
nao havia leito disponivel para aguardar ate o horario da cirurgia,QUEIXA,98.01%
"a demora na espera da cirurgia, dei entrada as 09hrs da manha e so fui pra sala de cirurgia as 22 30",QUEIXA,98.18%
"na emergencia, o acompanhante, que fica conduzindo a cadeira de rodas com o paciente para cima e para baixo, exceto qdo vai para outros setores realizar exames, absurdo isso! as idoso empurrando cadeira de rodas c jovem.",QUEIXA,97.82%
"desculpa. seria o 5, muito satisfeito. equipe maravilhosa , compete te e atenciosa.",ELOGIO,98.35%
"foi algo pontual no periodo em que estive internada um agente de portaria foi desrespeitoso com meu esposo, algo beirando a atitude racista, foi um pouco truculento. o fato foi relatado na epoca a assistente social. tirando esse fato isolado, sempre fui muito bem atendida e acolhida",OUTROS,50.46%
5 errei,OUTROS,85.24%
muito cheio,OUTROS,88.64%
perdao quis dizer numero 5,OUTROS,51.03%
errei,OUTROS,85.24%
totem sem pulseira recepcionistas no celular,QUEIXA,95.6%
pede pra chegar cedinho sendo que esperamos mais de 2 horas,QUEIXA,97.86%
as recepcionista deveriam ser mais simpaticas. cheguei no hospital e ainda tive que esperar autorizacao para poder fazer a cirurgia.,QUEIXA,98.0%
"a maioria das funcionarias do guiche, de cara de feia como se estivesse atendendo a gente em troca de favores, responde grosseiramente.",QUEIXA,97.43%
"demorou muito pra se fazer a coleta da digital, marcaram muita gente no mesmo horario",QUEIXA,97.99%
"sem informacoes , sem retornos , ninguem dizia nada.",QUEIXA,97.5%
cheguei atraves da ambulancia,QUEIXA,93.73%
caotico,OUTROS,85.24%
teve bastante espera para subir para o quarto,QUEIXA,97.67%
capibaribe,OUTROS,85.24%
vaqueiro demorou um pouco a chegar esperei muito na recepcao,QUEIXA,97.72%
nao tem um bom atendimento na recepcao,QUEIXA,97.09%
maqueiro relatando no elevador sobre problemas dele com a equipe da uti. sabe o quanto e desgastante pra paciente e acompanhante ficar em hospital? voces tem os registros ai e infelizmente meu filho vai com uma certa frequencia por conta da diabetes. e ainda ter que ta escutando reclamacao de funcionarios? absurdo,QUEIXA,97.53%
na hora de minha mae sair do hospital precisava de uma cadeira de rodas e nao atenderam o meu pedido. tive que descer de elevador agarrada com as bolsas e segurando minha mae com 83 anos.,QUEIXA,98.07%
"e na entrada para o bloco cirurgico a atendente me deixou ainda mais nervosa e ansiosa na hora de preencher o relatorio pra fazer a cirurgia , pois a mesma ficou me pressionando para preencher logo , nao teve nem um cuidados com o momento delicado.",QUEIXA,98.12%
desculpa seria o 5,OUTROS,89.62%
o porteiro nao estava na porta. os pacientes chegava precisando de cadeira de roda e ele nao ajudava. passou boa parte do tempo sentado na recepcao.,QUEIXA,97.03%
o atendimento da recepcao as vezes deixa a desejar,QUEIXA,93.81%
digitei a tecla errada,OUTROS,76.95%
a demora na recepcao e pouco assentos,QUEIXA,98.11%
"pessima administracao e suporte ao paciente! solicitei a troca de quarto desde a entrada e ninguem da coordenacao subiu, pois meu filho estava ao lado de uma paciente de 12 anos, com alguma bacteria que ninguem sabia o que era, inclusive ela encontra se na area de isolamento! meu filho tem 2 meses. gracas a deus ele nao morreu, porque na observacao a saturacao do meu filho chegou a 76 e disseram que estava normal e errado o equipamento e nao utilizaram oxigenio no meu filho e nem chamaram fisioterapeuta respiratoria!tenho tudo e mais um pouco como provas de todos os descuidos e desumanidade que voces fizeram com o me filho! estou decepcionada, pois nunca achei um plano ruim, mas agora esta pessimo!",QUEIXA,97.58%
resposta incorreta,OUTROS,74.45%
atendimento rapido,ELOGIO,99.1%
seria muito satisfeito,OUTROS,87.6%
minha mae esteve sim internada no hospital ariano suassuna mas nao fez nenhuma cirurgia,QUEIXA,97.15%
nao tenho interesse,OUTROS,82.79%
ai foi muito boa!,OUTROS,55.64%
demora,QUEIXA,98.06%
"recepcionista muito fraco e despreparado nao passa informacao correta sao inseguros e maqueiros horriveis no final de semana desaparecem, passei quase um hora a espera de um maqueiro para me transferir para o setor de semi intesiva, travando todo o atendimento do medico",QUEIXA,97.71%
precisa melhorar o atendimento,OUTROS,76.67%
tive varios contratempos ate acontecer a cirurgia...tornaram minha cirurgia de urgencia em eletiva.....,QUEIXA,96.87%
falta de triagem e longa espera,QUEIXA,97.49%
"recepcao, parece que estao muito insatisfeitos com o emprego",QUEIXA,92.87%
foram quase 3 horas para autorizacao de internamento.,QUEIXA,97.29%
"muito tempo de espera para realizar o exame, eu tenho prioridade relatei e fui atendida como um paciente sem prioridade.",QUEIXA,95.79%
a comunicacao e muito confusa. o que dizem na emergencia nao condiz com o dizem,QUEIXA,97.74%
"muito cuidados desde a chegada ate a minha saida, porteiros bem treinados e educados.",ELOGIO,94.32%
nao tenho interesse,OUTROS,82.79%
desculpa era o 4 satisfeito,ELOGIO,97.15%
"a desorganizacao do bloco cirurgico, atraso no procedimento que estava agendado para 19h do dia 14 agosto de 2025 e so aconteceu apos 00h do dia 15 08. estrutura pessima para assepsia pre operatoria, nao me colocaram num quarto",QUEIXA,96.97%
me informaram um horario pra internacao e so fui internada 4 horas depois do previsto,QUEIXA,97.62%
uma senhora de 96 anos nao tem condicoes de se esticar pra colocar a digital.,QUEIXA,97.76%
"acho q a seguranca para entrar no hospital e muito fraca, todo mundo tem acesso nao tem nenhuma seguranca pra entrar para fazer visitas",QUEIXA,95.97%
desorganizado. estava sendo acompanhado por um medico e a cirurgia foi realizada por outro.,QUEIXA,95.16%
