grupo,comentario_p1
ADMINISTRATIVO,"foi solicitada a chegada para internacao as 6h da manha e depois de muitos desencontros e acionar a coordenacao medica, a paciente idosa e ha quase 48h sem se alimentar foi internada quase meio dia. depois de internada houve mais demora para iniciar o preparo que comecou quase as 14h foram muitos desencontros e falhas no atendimento de todos os setores envolvidos. chegando ao ponto do medico subir para pegar a paciente. apos o exame mais espera para liberar a alimentacao, retirar o acesso e efetivar a alta que ja estava prescrita pelo medico. saimos do hospital mais de 21h"
ADMINISTRATIVO,"sim, com relacao ao leito compartilhado o que deixa o paciente e acompanhante um pouco incomodados. no meu caso tinha outra paciente com uma acompanhante mulher e eu com meu esposo."
RECEPÇAO,demora para realizar o cadastro de entrada
ADMINISTRATIVO,desorganizado
ADMINISTRATIVO,"uma demora de quase 3 horas esperando e meu filho chorando com fome, porem ele nao podia comer por conta da cirurgia"
ADMINISTRATIVO,tem que melhorar a ajuda para o aleitamento materno
ADMINISTRATIVO,porque ainda nao consegui fazer acupuntura
RECEPÇAO,"a unica coisa que me deixou muito insatisfeita foi com a demora, estava marcada para 11 horas foi feita as 5 da tarde, meu filho passou mal de tanta fome e sede. fora isso foi tudo otimo. mas a demora sem explicacao foi o mais revoltante."
ADMINISTRATIVO,demorou um pouco
ADMINISTRATIVO,foi porque meu plano e pra apartamento eles me colocaram em enfermaria eu so nao gostei disso
ADMINISTRATIVO,fique mais de uma hora na recepcao e depois que fui liberado so fui atendido depois das 17h
ADMINISTRATIVO,muita demora pra ser chamada para ser chamada no centro cirurgico
ADMINISTRATIVO,sim foi muita demora pra atender cheguei la 9 horas eso fui atendida as13 00 fiquei todo esse tempo e jejum sendo que fiquei de jejum em casa das 20 horas do dia anterior estava com muita fome e so fui atendidaad13 00 porque fui reclamar que estava passando mal por ta muito tempo de jejum
ADMINISTRATIVO,"marcou as 5 00 da manha entrei para o bloco as 11 00 jejum foi muito longo, fome, cede, passando mal. deveria ver essa questao e marcar no horario mesmo 6 horas de atraso"
RECEPÇAO,"despreparo dos funcionarios na recepcao, falta de banheiro. fiquei ao ponto de desistir da cirurgia pois o lugar me passou inseguranca"
ADMINISTRATIVO,foi preciso entrar pelo p. s. apoio nenhum
ADMINISTRATIVO,chegamos as 3hs antes como foi pedido e ficamos esperando por muito tempo sem nenhuma informacao. cirurgia deveria ocorrer 11hs. foi para o centro cirurgico as 15hs. operado as 17hs. chegou no quarto as 19hs. solicitado para deixar o hospital a meia noite do mesmo dia.
ADMINISTRATIVO,"tinha uma consulta no proctologista, porem nao encontrei a clinica e so gastei dinheiro com app 1f621 sacanagem ..."
ADMINISTRATIVO,me veio uma moca quando eu havia subido pro terceiro andar se nao me engano me informa que meu filho nao estava com cirurgia agendada nao lembro como ela se apresento falei como nao se o hospital me ligou ontem me confirmou tudo correto so vou sair daqui com meu filho operado e uma cirurgia necessaria
ADMINISTRATIVO,cordialidade de todos
ADMINISTRATIVO,a demora no atendimento
ADMINISTRATIVO,"era pra eu ter ficado em um quarto antes e depois da cirurgia. mau acompanhante simplesmente nao teve noticias minhas das 6 da manha ate quase 22 da noite. a cirurgia terminou, o medico deu alta, o plantao das 19 chegou e so me liberou as 22hs. ainda perderam meu atestado."
RECEPÇAO,falta de empatia e organizacao de colaboradores na recepcao
ADMINISTRATIVO,a rapidez no atendimento local muito cheio e tbm nao agravel
ADMINISTRATIVO,por que foi tudo em cima da hora e nem explicaram muito as coisas
ADMINISTRATIVO,tem vez que nao tem lugar pra sentar de tao cheio fora a demora pra atender
ADMINISTRATIVO,a espera
ADMINISTRATIVO,"muita demora na recepcao para realizar o internamento, profissionais mal educadas, ambiente desagradavel, ar condicionado fazendo barulho. pior que um hospital do sus."
RECEPÇAO,"demora no atendimento na chegada ao guiche,na recepcao"
ADMINISTRATIVO,"3. passei dor ,fome, falta de agua"
ADMINISTRATIVO,e tempo de espera para abertura de ficha tendo em vista que a paciente e totalmente acamada e ficamos na sala aguardado por mais de 30 min a abertura da ficha sem contar que biometria facil nao fazia o reconhecimento
ADMINISTRATIVO,excelente
ADMINISTRATIVO,entao cheguei muito cedo com minha acompanhante 1 hora antes do horario marcado da cirurgia porem quando fui internado no quarto demorou muito para nos atender fora que a cirurgia estava marcada para de manha fui fazer ja era quase noite compreendo que nesse dia tinha muitas cirurgias para ser realizadas porem e uma falta de organizacao do hospital por isso minha insatisfacao
ADMINISTRATIVO,"desculpe, apertei o botao errado, o correto e muito satisfeito, a cirurgia foi um sucesso e fomos maravilhosamente bem recebidos, do comeco ao fim!"
ADMINISTRATIVO,bem atendida
ADMINISTRATIVO,"achei demorado e sem informacao, me marcaram para chegar la as 9h em jejum e no entanto so consegui dar entrada depois das 11h mesmo tendo chegado antes das 9h. e so fui operada apos as 13h"
RECEPÇAO,"tenho dificuldade em usar o totem, quanto os porteiros e recepcionistas sao muito bons e educados"
ADMINISTRATIVO,"pq fui mal informada sobre onde esperar, dai eu fui a primeira a chegar, e a ultima a fazer a cirurgia."
ADMINISTRATIVO,"falta de organizacao, ps junto com quem ja esta agendado, sempre sem leito, ja estava com minha cirurgia agendada, porem tive que ficar internado no centro de recuperacao por falta de leitos"
ADMINISTRATIVO,"quando eu cheguei no hospital nem as recepcionista e porteiro nem olharam pra minha cara cheguei com muita dor , mais gracas a deus minha filha estava comigo me dando apoio ."
RECEPÇAO,"o medico ja estava esperando no centro cirurgico e a recepcionista enrolando para me subir, ao subir tive que sair correndo para o centro cirurgico"
RECEPÇAO,nao sabiamos para onde ir nao conheciamos o hospital e o atendente nao nos deu uma direcao apenas mandou aguardar
RECEPÇAO,"a equipe da recepcao atendeu bem, porem ocorreu falhas, nao me foi entregue o comprovante de internacao"
ADMINISTRATIVO,a acomodacao. pago plano com apartamento e ficamos na infermaria.
ADMINISTRATIVO,"bem, minha ficha teve um erro, terminei o procedimento mas fiquei esperando porque errou entao achei um pouco insatisfeito com isso, quando fui trocar a roupa fiquei so como pede pra levar acompanhante e nao deixa ele com vc pra ajudar vc ."
RECEPÇAO,"otimo atendimento, fui bem recebido pela equipe medica"
ADMINISTRATIVO,"mandaram chegar antes das 06 00 e demoraram muito para chamar , subir para sala de preparacao mais de 07 00 ."
ADMINISTRATIVO,"nao consegue ter o atendimento, a central marcou o dia da fisioterapia apos a cirurgia, quando cheguei na clinica fui informada que nao poderia ser atendida que a marcacao tinha sido um erro. fiquei muito chateada com toda a situacao, alem que estava com os pontos e sentindo dor, sair de casa me esforcando para poder ter a consulta e fui frustada"
RECEPÇAO,pessoal da recepcao bem grossos. voce chega la nervosa 6h da manha para fazer cirurgia e parece que as mulheres da recepcao estao trabalhando por obrigacao. cara fechada e sem educacao.
ADMINISTRATIVO,"demora do atendimento ate a ida para o quarto. a nutricionista passou somente 1 vez, e a dieta tive que reclamar por duas vezes que estava errada."
RECEPÇAO,demora no atendimento da recepcao somente 2pessoas pra atender
ADMINISTRATIVO,poucas informacoes
RECEPÇAO,nao tive acolhimento de psicologos e fisioterapeutas entao nao tem como avaliar e so tenho uma reclamacao que e com o recepcionista na hora da minha saida quando fui pedi uma declaracao para meu acompanhante e ele foi super rude e ignorante fora isso eu dou sim para os outros
RECEPÇAO,"as recepcionista de cara feia, da um bom dia, quase nao responde"
ADMINISTRATIVO,"minha insatisfacao nao e com os profissionais em especifico, pois foram todos muito gentis. o problema e que me foi dito por mensagem e me foi entregue uma folha no hospital pedindo pra chegar 3 horas antes da cirurgia, que aconteceria as 6h. cheguei de madrugada e apoia minha chegada falaram que eu so poderia entrar no hospital depois das 6h. tive que ficar na recepcao esperando autorizarem a minha entrada. por que me pedir pra chegar 3h da manha se bem entrar no hospital eu poderia?"
RECEPÇAO,"me informaram para chegar no hospital as 11h, dei entrada com a recepcionista que solicitou que eu aguardasse e somente as 13h quando fui perguntar se teria algum retorno sobre a minha cirurgia, fui informado que na verdade a minha cirurgia estava agendada para as 15h, ou seja, eu poderia ter sido avisado antes"
ADMINISTRATIVO,"cheguei antes das 3 horas previstas, e mesmo assim, so me atenderam 3 horas dps, fiquei 3 horas esperando na recepcao para ser atendida e me levarem para o quarto. so subi pro quarto dps do horario previsto da cirurgia o que fez atrasar tudo"
RECEPÇAO,demora na recepcao
ADMINISTRATIVO,"cirurgia agendada para as 13h, so fez a cirurgia as 18h, fiquei 5 horas sentado em uma cadeira de rodas desconfortavel, com dores de cabeca, pois estava de jejum desde o dia anterior."
ADMINISTRATIVO,ok. tenho so a reclamar com esse plano horrivel nao responder a gente preciso do meu exame que nao me deram
ADMINISTRATIVO,"nao acharam vaga no quarto pra mim entao nao tenho como havaliar melhoro servico de enxoval,as enfermeiras disse que nao poderiam me da nada pra comer em quanto eu nao fosse pra o quarto entao nao posso havaliar tambem, eu acredito e que teresa de lisie e um hospital grande que tem condicoes financeiras mas precisa de uma equipe interna mas organizada falta equipe organizacional mas treinada ,equipamentos modernos e um leitos menos lotados. hoje tenho medo de fazer outra cirurgia la e passar pelas mesma coisas ou pior"
ADMINISTRATIVO,demorou pra subir pra cirurgia
ADMINISTRATIVO,nao aparece minha biometria e tenho que passar pela recepcao.
RECEPÇAO,"descaso no atendimento da recepcao.aguardei mais que o tempo informado de espera e quando ultrapassou o horario ainda tive que ficar perguntando ,so assim me chamou para fazer a ficha ,sendo que poderia ter feito no momento que cheguei pois eu era a unica esperando.mas aguardou ultrapassar o horario depois da 5hs e mesmo assim nao chamou e continuava sendo a unica esperando ,so fez quando fui reclamar e ja era quase 6hs."
ADMINISTRATIVO,"no geral estou satisfeito com o plano hapvida, mas se vc precisar de algum apoio de funcionarios dos hospitais ai deixa um pouco a desejar."
RECEPÇAO,mta espera pra vir um recepcionista atender
ADMINISTRATIVO,"cheguei para operar nao tinha leito, tive de ficar praticamente os 2 dias no repouso da cirurgia lotado sem acesso a visitas"
ADMINISTRATIVO,demora pra subir pro internamento
RECEPÇAO,"quando eu fui fala com uma recepcionista, nao gostei do tratamento dela com a minha pessoa. gostaria que as recepcionistas fossem mais atenciosas e simpatica com o melhor atendimento possivel para os pacientes."
ADMINISTRATIVO,"hospital muito pequeno, nao suporta a capacidade de pessoas que tem o plano de saude, superlotacao, tanto eu quanto a minha filha passamos por cirurgia no guaras e foi terrivel, bloco cirurgico super lotado, atrasamos horassss a cirurgia marcada, e depois de operada ainda tivemos que ficar esperando desocupar um leite pra ser transferida pra a enfermaria 1f926 1f3fd 200d 2640 fe0f 1f926 1f3fd 200d 2640 fe0f sinceramente muito ruim o servico aqui"
MAQUEIRO,"tive um aborrecimento com a demora do maqueiro no dia da minha alta,fora isso na a reclamar."
PORTEIRO,nao me recordo de ter um porteiro no momento da minha chegada.
RECEPÇAO,quase perdi o horariop da cirurgia por falta de comunicacao da recepcionista
ADMINISTRATIVO,internacao e muito cedo para quem mora longe e uma atendente so para quem esta em jejum que chega no horario marcado que e 6 horas da manha
ADMINISTRATIVO,"depois da cirurgia nao fui medicada apos cirurgia para dor , como foi cirurgia ortopedica tive muita dor so fui medicada apos reclamar a preocupacao foi com a saida que estava programada para a tarde"
ADMINISTRATIVO,"muita demora ate subir para o quarto, mais de 5 horas esperando na recepcao"
ADMINISTRATIVO,eu cheguei as 4 da manha e fiquei muito tempo esperando.
ADMINISTRATIVO,fui bem atendido
ADMINISTRATIVO,muita demora
ADMINISTRATIVO,"depois que tiraram as senhas ninguem te atende, tem que ficar pedindo licenca pra atendente pra poder ser atendido, as 3 horas de antecedencia sao gastas logo na chegada"
ADMINISTRATIVO,muita demora pra localizar o que e necessario ser feito
ADMINISTRATIVO,"nos viemos de fora aguardamos a ultima pessoa ser atendida quando chegou nossa vez tivemos que aguardar mais 30minutos para sermos atendidos, alegando que estava cedo sendo que falarmos para nos chegarmos 3horas antes para fazer o procedimento."
ADMINISTRATIVO,"a estrutura foi improvisada, muitas reclamacoes em relacao a organizacao dos leitos. demora para descer da cirurgia por falta de leito"
ADMINISTRATIVO,bom atendimento
ADMINISTRATIVO,pessoal muito educados
ADMINISTRATIVO,"a insatisfacao nao se deu por conta da equipe de enfermagem, eles foram otimos. e sim pela a superlotacao so hospital. temos direito a apartamento e neste dia, nao havia vaga, meu filho realizou a cirurgia e a noite tivemos que sair do hospital. alem de que, somos do interior do estado. por isso nao sentimos o acolhimento."
ADMINISTRATIVO,"me deixaram esperando muito tempo em um box, pos o banho"
ADMINISTRATIVO,"fui informado que deveria me internar as 4 horas da manha, fui para o quarto ja eram mais de 9 da manha"
ADMINISTRATIVO,muito bem atendido
ADMINISTRATIVO,muita demora para todo o processo de intervencao e pre operatorio
ADMINISTRATIVO,fila de espera enorme
ADMINISTRATIVO,"ao chegar na recepcao era bem na troca de turno, uma das meninas disse pra eu aguardar que iriam me chamar e nao me chamaram, tive que ir novamente falar com a outra moca no novo turno. quando subi no quarto, iam me colocar num leito com as roupa de cama toda rasgada, mas a infermeira viu e gracas ao cuidado dela ela me colocou em outro leite em condicoes melhores, quando me levaram para o centro cirurgico e me deixaram aguardando me colocaram num lugar escondido e ninguem conseguia me achar tive que gritar para me encontrarem estavam ligando para alguem porque nem estavam me localizando, a pessoa falou comigo confirmou e depois nao sabia que eu estava la, sinceramente nao me senti tratada com humanidade e sim parecia uma linha de producao. a equipe que fez a cirurgia super atenciosos quanto a isso nao tenho o que falar foram maravilhosos. minha cirurgia era por volta das 16 30, as 17h eu ja tinha terminado a cirurgia e me levaram pra o quarto somente por volta das 21h e eu estava ha horas sem comer e me deram uma bisnaguinha com geleia e cha eu chorei muito porque achei um descaso. a alta foi pessima estava prevista pra sair por volta das 7 30 e fui sair se nao me engano as 13 00 fiquei no pe pedindo para o medico so ir la e falar esta liberada enfim..."
ADMINISTRATIVO,"como disse, nao foi providenciada acomodacao"
ADMINISTRATIVO,informacoes confusa
ADMINISTRATIVO,muito bem recebido
ADMINISTRATIVO,"a demora no atendimento, demora pra subir pra cirurgia e a demora maior foi pra sala de cirurgia. minha cirurgia estava marcada pra 19 horas , fiquei num quartinho imundo , esperando ser chamado. mim chamaram 3 da manha .mais de 12 horas em jejum. pessimo atendimento. hospital horrivel."
ADMINISTRATIVO,custou muito eu subir para o quarto
RECEPÇAO,so a demora pra ser atendido
ADMINISTRATIVO,primeiro porque cirurgia ocorre tive que acionar a ans.
ADMINISTRATIVO,demora
ADMINISTRATIVO,nao tenho nada o que reclamar foi tudo perfeito!
ADMINISTRATIVO,"desorganizado, quantidade de pessoas excedente ao tamanho do espaco. depois de horas esperando consegui ser atendida pelo acolhimento a responsavel falou que ia resolver mas nao resolveu nada pessimo trabalho do acolhimento."
ADMINISTRATIVO,bom atendimento
ADMINISTRATIVO,foi otima
ADMINISTRATIVO,nao souberam me orientar
ADMINISTRATIVO,"nao fiz fisioterapia pelo convenio so tem uma clinica que atende toda regiao de sorocaba, o atendimento da clinica pessimo demora 2 dias para retorno pelo whatsapp, agenda muito distante"
ADMINISTRATIVO,atraso geral
ADMINISTRATIVO,"equipe muito atenciosa, tirando duvidas sempre que necessario"
ADMINISTRATIVO,foi bom ultima consulta foi no santa maria foi um pouco trastono
ADMINISTRATIVO,"fomos para o exame as 16 00h ficamos na espera ate 17 30h quando entramos para fazer o exame de colonoscopia, fizeram a biopsia, mas ate hoje dia 15 09 2025, nao saiu o resultado da mesma, entro no site faco uma pesquisa, mas nao tem a solicitacao do exame de biopsia na parte de resultado de exames, so vejo na parte de protocolo mas nunca sai o resultado, quero saber o que aconteceu?"
ADMINISTRATIVO,"nao foi durante a chegada e sim na resolucao do problema... era gestante de alto risco. fiz o plano em fevereiro e, so consegui um atendimento com a ginecologista de alto risco em maio. nao tive pre natal. todas as minhas queixas eram sanadas na emergencia... fui para a emergencia com 37 semanas e tive que interromper a minha gestacao, pois meu bebe estava sem oxigenacao... tive o diagnostico do medico que fez a ultrassom as 15h. e ele foi muito bem claro que teria que ser operada o quanto antes... a ginecologista do plantao fez pouco caso. assim como o pessoal da coordenacao. o plano negou a cirurgia e demorou cerca de cinco horas para liberar a guia para pagamento ... um absurdo total. eu poderia ter perdido meu filho naquele momento... ainda tive que esperar ate as 23 48h para que a cesaria fosse realizada... no meio do procedimento, a maquina de oxigenacao parou.... meu bebe ficou numa banheira improvisada. totalmente diferente do bebe que estava dividindo o quarto conosco. nao me medicaram corretamente. a vacina versa, tomei na saida da maternidade porque questionei a prescricao dela na minha receita de alta. ou seja, esqueceram de aplica la quando eu estava internada."
RECEPÇAO,"o atendimento na recepcao nao foi bom , a demorar para atender foi muito grande , nao tive um lugar para descansar em paz"
ADMINISTRATIVO,pois o meu plano e de apartamento e apos a cirurgia fiquei mas de 40 minutos no corredor na marca e nao me levaram pro apartamento
ADMINISTRATIVO,"nao fui transferida para o quarto, meu acompanhante e eu ficamos na enfermaria ate a minha alta, perguntamos varias vezes quando seria a minha transferencia e eles sempre falavam que nao tinha vaga, meu acompanhante teve que dormir em uma cadeira quebrada, que nem se quer dava pra deitar. fiz uma cirurgia complexa, estava exausta, com sono e nao dava pra dormir pois era muito barulho de conversa de outros pacientes e enfermeiros tambem, luz acesa o tempo todo. foi muito desagradavel."
ADMINISTRATIVO,nao na chegada mas sim a burocracia na nacao da cirurgia muito demorado
RECEPÇAO,havia uma recepcionista ao lado do totem que de pronto nos atendeu e nos orientou
ADMINISTRATIVO,"bom dia,demorou muito pra ser atendida,pediram pra esta la 7 horas e fui atendidomaisde 9 horas e infelizmente nao conseguifazera minha histerocospia, as meninas muito atenciosas,acho que precisar organizacao"
ADMINISTRATIVO,um pouco de falta de sinalizacao fica um pouco perdido aonde ir a senha nem sempre e pelo totem
RECEPÇAO,atendimento foi demorado na recepcao nao tinha maqueiro na entrada
ADMINISTRATIVO,nao tinha informacao correta do local pra dar entrada na papelada e nao tinha atendente no momento
ADMINISTRATIVO,pouca clinicas pra atendimento
MAQUEIRO,"nao tinha maqueiro na hora que eu cheguei nem na hora da alta, quem me levou na cadeira de rodas foi o meu pai, um idosa que tambem estava operado com 9 pontos nas costas"
ADMINISTRATIVO,pouca informacao na chegada!
ADMINISTRATIVO,"a chegada ao hospital e atendimento dos profissionais foram satisfeito, a insatisfacao foi a falta de leito na enfermeira,pois a entrada do paciente ao bloco cirurgico ate a sua saida o acompanhante permaneceu durante 5h ou mais sem local apropriada ou seja, na havia lugar na enfermaria para a espera do acompanhante a chegada do paciente"
ADMINISTRATIVO,demora em tudo.
ADMINISTRATIVO,"a insatisfacao mesmo foi com a demora dos uros em reconhecer a complexidade do meu drama dizendo que minha disfuncao sexual era apenas psicologico e mandando eu trocar de terapeuta, mesmo eu dizendo que cheguei aos 40 anos de idade virgem e ja tendo passado por diversos psicologos e psiquiatras, meu problema sexual desencadeou uma depressao severa, so fui ouvido quando relatei a psiquiatra, tbm do hapvida, que faria uma besteira com minha vida"
RECEPÇAO,"a recepcao que e de dar entrada de internacao nao tinha funcionario, dai tive que dar entrada na recepcao de pronto atendimento, pedem pra chegarmos antes da hora marcada pelo medico, mas so somos chamados depois do horario"
ADMINISTRATIVO,"falta de leitos no pos operatorio. fui alocado para um leito improvisado e depois para um leito coletivo, quanto o na verdade o meu plano e para apartamento individual."
TOTEM,o totem nao estava funcionando
ADMINISTRATIVO,minha insatisfacao foi no pos cirurgico
ADMINISTRATIVO,"a espera longa para o quarto, nao ter informacao do horario certo para cirurgia"
ADMINISTRATIVO,"com minha chegada nenhuma insatisfacao, mas sim o pos internamento!! nao foi cumprido o objetivo da internacao. nao tinha estoque do medicamento disponivel no hospital para meu preparo, nao foi prescrito nada para o principal objetivo de meu internamento exame como medicacao para enjoos. somente apos eu tomar tardiamente o 1o preparo e ja ter vomitado toda a medicacao comecaram a medicar, mas nao fez mais efeito, porque ja havia em meu historico, que nao podia ser nada fraco e ja nao tinha surtido efeito e, com isso, a cada 2 horas mesmo sem nenhum motivo ficaram injetando medicacao na veia que, naquele momento nao adiantava para nada, mesmo no dia do exame que, como disse, ja havia vomitado o preparo nao sendo possivel pela 3a vez fazer o exame. voltei para casa totalmente insatisfeita, sem fazer o exame corretamente e mais uma vez so me fizeram sofrer fisicamente. frustacao completa."
RECEPÇAO,"quando cheguei ao hospital com a minha mae para a internacao, o atendimento das recepcionistas deixou muito a desejar. desde o inicio, tivemos a sensacao de que nao eramos notados elas nao olharam para nos e nao prestaram atencao ate que nos mesmos chamassemos, para entao recebermos informacoes sobre a internacao. durante todo o processo, agiram como se nao houvesse ninguem na frente delas, nao forneciam orientacoes adequadas e, alem disso, utilizavam palavroes na recepcao ? o que considero totalmente inadequado para o ambiente. em outro momento, a medica interfonou pedindo para que eu subisse ate ela para conversar sobre a cirurgia da minha mae. a recepcionista apenas perguntou se a acompanhante da paciente ?katia vanessa? estava presente. respondi que sim, e a atendente simplesmente desligou o telefone sem dar mais nenhuma informacao. precisei questionar o motivo para entao ser informada, de forma breve, que era para eu subir para conversar com a medica. a impressao que tivemos e que a nossa presenca era um incomodo para elas, e isso foi muito desconfortavel em um momento tao delicado. em contrapartida, gostaria de registrar que tanto o porteiro quanto os maqueiros foram extremamente educados, prestativos e gentis, o que fez bastante diferenca no acolhimento."
ADMINISTRATIVO,ainda esta constando que estou internado
RECEPÇAO,a recepcionista nao foi muito simpatica
ADMINISTRATIVO,"quando sair da sala de cirurgia , fiquei mais de 4 horas na sala de espera pq nao tinha quarto para eu ir . entao fiquei nesse periodo sem me alimentar e sem beber agua . so subir para o quarto quando falei que ia levantar e ir embora ou chamar a televisao , se nao tinha ficado mais tempo . pq a equipe de enfermagem e enfermeira falava que nao tinha quarto vazio para eu ir ."
ADMINISTRATIVO,"muita demora , falaram pra chegar no hospital as 9 30 , que a dirigia ia ocorrer as 10h . a paciente teia que ficar desjejum de 12h. assim foi seguido pelo paciente . chegamos na recepcao as 9h , so foi levado da recepcao a recepcao da sala de cirurgia as 13h. uma pessoas de 82 anos , sem se alimentar , nem agua podia tomar , pra tanta demorara para fazer a cirugia . portanto eu como filha da paciente que ja e debilitada e toma dezenas de medicamento , me deixou muito insatisfeita"
ADMINISTRATIVO,tempo de espera pra internacao muito longo
ADMINISTRATIVO,demora muito atendimento
ADMINISTRATIVO,demora no atendimento
RECEPÇAO,"me pediram para chegar muito cedo e so me levaram pra sala de internacao horas depois, e depois de eu pedir bastante, ja que estava acompanhada de uma filha autista que nao pode ficar aguardando tanto tempo, cheguei as 10h e entrei ja era umas 17h ou mais."
TOTEM,"totem nao e eficaz, se eu estiver precisando de socorro imediato, ate eu conseguir liberar o totem ja tive um infarto, exemplo!"
ADMINISTRATIVO,fiquei no perssimo lugar
ADMINISTRATIVO,"nao teve leito, entao nao tive direto a ficar com acompanhante nem visita . passei varias horas sentindo dor e nao tinha medico"
ADMINISTRATIVO,marcou para chegar as 06 00da manha e so consegui ser internado as 12 00hs
